heuristic,trial,originalIndividualAvgTime,originalIndividualLOC,originalIndividualCharacters,bestIndividualAvgTime,bestIndividualLOC,bestIndividualCharacters,time,better
HC,0,"5435",195,5435,"5321",194,5321,"26,454",true
HC,1,"5435",195,5435,"5321",194,5321,"26,494",true
HC,2,"5435",195,5435,"5321",194,5321,"27,488",true
HC,3,"5435",195,5435,"5321",194,5321,"26,483",true
HC,4,"5435",195,5435,"5321",194,5321,"27,341",true
HC,5,"5435",195,5435,"5321",194,5321,"26,491",true
HC,6,"5435",195,5435,"5321",194,5321,"26,547",true
HC,7,"5435",195,5435,"5321",194,5321,"27,422",true
HC,8,"5435",195,5435,"5321",194,5321,"27,355",true
HC,9,"5435",195,5435,"5321",194,5321,"27,382",true
HC,10,"5435",195,5435,"5365",192,5365,"26,385",true
HC,11,"5435",195,5435,"5321",194,5321,"26,489",true
HC,12,"5435",195,5435,"5321",194,5321,"29,415",true
HC,13,"5435",195,5435,"5321",194,5321,"28,593",true
HC,14,"5435",195,5435,"5321",194,5321,"27,448",true
HC,15,"5435",195,5435,"5321",194,5321,"27,345",true
HC,16,"5435",195,5435,"5321",194,5321,"28,414",true
HC,17,"5435",195,5435,"5321",194,5321,"27,503",true
HC,18,"5435",195,5435,"5321",194,5321,"27,522",true
HC,19,"5435",195,5435,"5321",194,5321,"26,461",true
HC,20,"5435",195,5435,"5321",194,5321,"28,459",true
HC,21,"5435",195,5435,"5321",194,5321,"28,366",true
HC,22,"5435",195,5435,"5321",194,5321,"27,44",true
HC,23,"5435",195,5435,"5321",194,5321,"28,4",true
HC,24,"5435",195,5435,"5321",194,5321,"27,304",true
HC,25,"5435",195,5435,"5321",194,5321,"27,371",true
HC,26,"5435",195,5435,"5321",194,5321,"27,301",true
HC,27,"5435",195,5435,"5321",194,5321,"27,442",true
HC,28,"5435",195,5435,"5321",194,5321,"26,471",true
HC,29,"5435",195,5435,"5321",194,5321,"28,453",true
RD,
RD,
RD,
RD,
RD,4,"5435",195,5435,"5188",189,5188,"894,595",true
RD,5,"5435",195,5435,"5253",189,5253,"884,458",true
RD,6,"5435",195,5435,"5139",188,5139,"985,293",true
RD,7,"5435",195,5435,"5156",189,5156,"988,561",true
RD,8,"5435",195,5435,"5139",188,5139,"933,182",true
RD,
RD,10,"5435",195,5435,"5302",190,5302,"858,713",true
RD,11,"5435",195,5435,"5139",188,5139,"973,078",true
RD,12,"5435",195,5435,"5139",188,5139,"968,479",true
RD,
RD,
RD,
RD,
RD,17,"5435",195,5435,"5139",188,5139,"853,027",true
RD,18,"5435",195,5435,"5270",190,5270,"890,639",true
RD,
RD,
RD,21,"5435",195,5435,"5238",187,5238,"840,419",true
RD,22,"5435",195,5435,"5139",188,5139,"1056,612",true
RD,23,"5435",195,5435,"5139",188,5139,"987,066",true
RD,24,"5435",195,5435,"5139",188,5139,"981,584",true
RD,25,"5435",195,5435,"5139",188,5139,"1082,423",true
RD,
RD,
RD,28,"5435",195,5435,"5151",189,5151,"958,944",true
RD,29,"5435",195,5435,"5139",188,5139,"1110,832",true
