heuristic,trial,originalIndividualAvgTime,originalIndividualLOC,originalIndividualCharacters,bestIndividualAvgTime,bestIndividualLOC,bestIndividualCharacters,time,better
HC,0,"6891",193,6891,"6891",193,6891,"26,284",false
HC,1,"6891",193,6891,"6891",193,6891,"26,438",false
HC,2,"6891",193,6891,"6891",193,6891,"26,453",false
HC,3,"6891",193,6891,"6891",193,6891,"26,721",false
HC,4,"6891",193,6891,"6891",193,6891,"27,099",false
HC,5,"6891",193,6891,"6891",193,6891,"26,282",false
HC,6,"6891",193,6891,"6891",193,6891,"26,489",false
HC,7,"6891",193,6891,"6891",193,6891,"26,392",false
HC,8,"6891",193,6891,"6891",193,6891,"26,26",false
HC,9,"6891",193,6891,"6891",193,6891,"26,119",false
HC,10,"6891",193,6891,"6891",193,6891,"25,171",false
HC,
HC,
HC,13,"6891",193,6891,"6891",193,6891,"19,941",false
HC,
HC,15,"6891",193,6891,"6891",193,6891,"29,215",false
HC,16,"6891",193,6891,"6891",193,6891,"29,071",false
HC,17,"6891",193,6891,"6891",193,6891,"29,36",false
HC,18,"6891",193,6891,"6891",193,6891,"29,481",false
HC,19,"6891",193,6891,"6891",193,6891,"27,503",false
HC,20,"6891",193,6891,"6891",193,6891,"27,054",false
HC,21,"6891",193,6891,"6891",193,6891,"26,466",false
HC,22,"6891",193,6891,"6891",193,6891,"29,157",false
HC,23,"6891",193,6891,"6891",193,6891,"29,298",false
HC,24,"6891",193,6891,"6891",193,6891,"29,214",false
HC,25,"6891",193,6891,"6891",193,6891,"28,978",false
HC,26,"6891",193,6891,"6891",193,6891,"28,12",false
HC,27,"6891",193,6891,"6891",193,6891,"29,136",false
HC,28,"6891",193,6891,"6891",193,6891,"26,364",false
HC,29,"6891",193,6891,"6891",193,6891,"26,371",false
RD,0,"6891",193,6891,"6853",192,6853,"1993,357",true
RD,1,"6891",193,6891,"6853",192,6853,"2060,494",true
RD,2,"6891",193,6891,"6861",192,6861,"2133,849",true
RD,3,"6891",193,6891,"6851",192,6851,"1971,773",true
RD,4,"6891",193,6891,"6861",192,6861,"2133,878",true
RD,5,"6891",193,6891,"6861",192,6861,"2141,393",true
RD,6,"6891",193,6891,"6853",192,6853,"2007,048",true
RD,7,"6891",193,6891,"6853",192,6853,"1773,08",true
RD,8,"6891",193,6891,"6861",192,6861,"2077,235",true
RD,9,"6891",193,6891,"6861",192,6861,"2026,356",true
RD,10,"6891",193,6891,"6848",192,6848,"943,705",true
RD,
RD,
RD,13,"6891",193,6891,"6851",192,6851,"1742,447",true
RD,
RD,15,"6891",193,6891,"6861",192,6861,"2015,835",true
RD,16,"6891",193,6891,"6861",192,6861,"2005,463",true
RD,17,"6891",193,6891,"6861",192,6861,"2004,387",true
RD,18,"6891",193,6891,"6861",192,6861,"2033,249",true
RD,19,"6891",193,6891,"6861",192,6861,"2057,398",true
RD,
RD,
RD,
RD,
RD,
RD,
RD,
RD,
RD,
RD,
