Lib;Heuristic;Trial;Lines;% Improved Loc;Chars;% Improved Chars;Instructions;% Improved Instructions;Time Spent
plivo-node;Original;-;1;0;12318;0;9604;0;0
plivo-node;RD;6;1;0;11293;0.08321156031823349;8727;0.09131611828404831;NaN
plivo-node;GA;N/A;1;0;12318;0;9604;0;0
plivo-node;GA2;N/A;1;0;12318;0;9604;0;0
plivo-node;HC;0;1;0;11983;0.0271959733723007;9374;0.02394835485214494;NaN
plivo-node;HC2;N/A;1;0;12318;0;9604;0;0
plivo-node;HC3;N/A;1;0;12318;0;9604;0;0
plivo-node;HC4;N/A;1;0;12318;0;9604;0;0
plivo-node;HC5;N/A;1;0;12318;0;9604;0;0
plivo-node;HC52;N/A;1;0;12318;0;9604;0;0
