heuristic,trial,originalIndividualAvgTime,originalIndividualLOC,originalIndividualCharacters,bestIndividualAvgTime,bestIndividualLOC,bestIndividualCharacters,time,better
HC,0,"3686",133,3686,"3269",122,3269,"22,03",true
HC,1,"3686",133,3686,"3269",122,3269,"22,024",true
HC,2,"3686",133,3686,"3269",122,3269,"22,053",true
HC,3,"3686",133,3686,"3269",122,3269,"22,039",true
HC,4,"3686",133,3686,"3269",122,3269,"21,988",true
HC,
HC,
HC,
HC,8,"3686",133,3686,"3269",122,3269,"24,022",true
HC,9,"3686",133,3686,"3269",122,3269,"22,018",true
HC,10,"3686",133,3686,"3269",122,3269,"22,04",true
HC,11,"3686",133,3686,"3269",122,3269,"22,014",true
HC,12,"3686",133,3686,"3269",122,3269,"22,031",true
HC,13,"3686",133,3686,"3269",122,3269,"22,027",true
HC,14,"3686",133,3686,"3269",122,3269,"22,032",true
HC,15,"3686",133,3686,"3269",122,3269,"26,045",true
HC,16,"3686",133,3686,"3269",122,3269,"22,036",true
HC,17,"3686",133,3686,"3269",122,3269,"23,026",true
HC,18,"3686",133,3686,"3269",122,3269,"22,029",true
HC,19,"3686",133,3686,"3269",122,3269,"22",true
HC,20,"3686",133,3686,"3269",122,3269,"23,013",true
HC,21,"3686",133,3686,"3269",122,3269,"23,028",true
HC,22,"3686",133,3686,"3269",122,3269,"22,015",true
HC,23,"3686",133,3686,"3269",122,3269,"22,049",true
HC,24,"3686",133,3686,"3269",122,3269,"22,008",true
HC,25,"3686",133,3686,"3269",122,3269,"22,055",true
HC,26,"3686",133,3686,"3269",122,3269,"22,031",true
HC,27,"3686",133,3686,"3269",122,3269,"22,011",true
HC,28,"3686",133,3686,"3269",122,3269,"23,639",true
HC,29,"3686",133,3686,"3269",122,3269,"22,031",true
RD,0,"3686",133,3686,"2781",106,2781,"483,351",true
RD,1,"3686",133,3686,"2781",106,2781,"815,709",true
RD,2,"3686",133,3686,"2797",107,2797,"975,06",true
RD,3,"3686",133,3686,"2781",106,2781,"887,811",true
RD,4,"3686",133,3686,"2795",105,2795,"609,085",true
RD,
RD,
RD,
RD,8,"3686",133,3686,"2781",106,2781,"1066,619",true
RD,9,"3686",133,3686,"2817",107,2817,"884,124",true
RD,10,"3686",133,3686,"2781",106,2781,"350,118",true
RD,11,"3686",133,3686,"2781",106,2781,"701,8",true
RD,12,"3686",133,3686,"2781",106,2781,"869,687",true
RD,13,"3686",133,3686,"2781",106,2781,"366,203",true
RD,14,"3686",133,3686,"2817",107,2817,"1186,327",true
RD,15,"3686",133,3686,"2781",106,2781,"1005,322",true
RD,16,"3686",133,3686,"2781",106,2781,"522,681",true
RD,17,"3686",133,3686,"2781",106,2781,"678,577",true
RD,18,"3686",133,3686,"2781",106,2781,"905,403",true
RD,19,"3686",133,3686,"3323",123,3323,"370,98",true
RD,20,"3686",133,3686,"2781",106,2781,"647,487",true
RD,21,"3686",133,3686,"2885",110,2885,"606,882",true
RD,22,"3686",133,3686,"2781",106,2781,"1028,37",true
RD,23,"3686",133,3686,"2781",106,2781,"623,346",true
RD,24,"3686",133,3686,"2817",107,2817,"763,976",true
RD,25,"3686",133,3686,"2817",107,2817,"809,469",true
RD,26,"3686",133,3686,"2817",107,2817,"634,87",true
RD,27,"3686",133,3686,"2890",111,2890,"840,785",true
RD,28,"3686",133,3686,"2781",106,2781,"1120,282",true
RD,29,"3686",133,3686,"2781",106,2781,"681,943",true
