Lib;Heuristic;Trial;Lines;% Improved Loc;Chars;% Improved Chars;Instructions;% Improved Instructions;Time Spent
tleaf;Original;-;1;0;1722;0;1563;0;0
tleaf;RD;4;1;0;1323;0.23170731707317074;1220;0.21944977607165708;NaN
tleaf;GA;N/A;1;0;1722;0;1563;0;0
tleaf;GA2;N/A;1;0;1722;0;1563;0;0
tleaf;HC;0;1;0;1570;0.08826945412311266;1397;0.10620601407549585;NaN
tleaf;HC2;N/A;1;0;1722;0;1563;0;0
tleaf;HC3;N/A;1;0;1722;0;1563;0;0
tleaf;HC4;N/A;1;0;1722;0;1563;0;0
tleaf;HC5;N/A;1;0;1722;0;1563;0;0
tleaf;HC52;N/A;1;0;1722;0;1563;0;0
