heuristic,trial,originalIndividualAvgTime,originalIndividualLOC,originalIndividualCharacters,bestIndividualAvgTime,bestIndividualLOC,bestIndividualCharacters,time,better
HC,
HC,1,"6883",209,6883,"6742",205,6742,"42,074",true
HC,2,"6883",209,6883,"6742",205,6742,"42,223",true
HC,3,"6883",209,6883,"6742",205,6742,"42,241",true
HC,4,"6883",209,6883,"6742",205,6742,"41,205",true
HC,5,"6883",209,6883,"6742",205,6742,"41,37",true
HC,6,"6883",209,6883,"6880",209,6880,"40,248",true
HC,7,"6883",209,6883,"6742",205,6742,"41,457",true
HC,8,"6883",209,6883,"6742",205,6742,"42,221",true
HC,9,"6883",209,6883,"6742",205,6742,"42,676",true
HC,10,"6883",209,6883,"6742",205,6742,"42,193",true
HC,11,"6883",209,6883,"6742",205,6742,"41,31",true
HC,12,"6883",209,6883,"6742",205,6742,"41,585",true
HC,13,"6883",209,6883,"6742",205,6742,"41,355",true
HC,14,"6883",209,6883,"6742",205,6742,"42,346",true
HC,15,"6883",209,6883,"6855",208,6855,"41,399",true
HC,16,"6883",209,6883,"6742",205,6742,"41,281",true
HC,17,"6883",209,6883,"6742",205,6742,"40,34",true
HC,18,"6883",209,6883,"6742",205,6742,"40,422",true
HC,19,"6883",209,6883,"6742",205,6742,"41,411",true
HC,20,"6883",209,6883,"6742",205,6742,"41,182",true
HC,21,"6883",209,6883,"6742",205,6742,"41,553",true
HC,22,"6883",209,6883,"6742",205,6742,"42,116",true
HC,23,"6883",209,6883,"6742",205,6742,"41,262",true
HC,24,"6883",209,6883,"6742",205,6742,"41,22",true
HC,25,"6883",209,6883,"6855",208,6855,"41,384",true
HC,26,"6883",209,6883,"6742",205,6742,"41,217",true
HC,27,"6883",209,6883,"6880",209,6880,"41,298",true
HC,28,"6883",209,6883,"6742",205,6742,"42,279",true
HC,29,"6883",209,6883,"6855",208,6855,"41,208",true
RD,
RD,1,"6883",209,6883,"6544",198,6544,"1698,393",true
RD,2,"6883",209,6883,"6559",197,6559,"1459,373",true
RD,3,"6883",209,6883,"6544",198,6544,"1658,412",true
RD,4,"6883",209,6883,"6544",198,6544,"1542,937",true
RD,5,"6883",209,6883,"6544",198,6544,"1461,447",true
RD,6,"6883",209,6883,"6559",197,6559,"1513,197",true
RD,7,"6883",209,6883,"6544",198,6544,"1655,06",true
RD,8,"6883",209,6883,"6544",198,6544,"1584,115",true
RD,9,"6883",209,6883,"6719",204,6719,"1558,506",true
RD,10,"6883",209,6883,"6544",198,6544,"1562,62",true
RD,11,"6883",209,6883,"6559",197,6559,"1531,041",true
RD,12,"6883",209,6883,"6540",198,6540,"1507,158",true
RD,13,"6883",209,6883,"6559",197,6559,"1648,025",true
RD,14,"6883",209,6883,"6544",198,6544,"1273,796",true
RD,15,"6883",209,6883,"6559",197,6559,"1504,402",true
RD,16,"6883",209,6883,"6547",198,6547,"1509,078",true
RD,17,"6883",209,6883,"6559",197,6559,"1603,368",true
RD,18,"6883",209,6883,"6559",197,6559,"1640,764",true
RD,19,"6883",209,6883,"6540",198,6540,"1371,593",true
RD,20,"6883",209,6883,"6540",198,6540,"1581,583",true
RD,21,"6883",209,6883,"6540",198,6540,"1640,34",true
RD,22,"6883",209,6883,"6806",208,6806,"1693,479",true
RD,23,"6883",209,6883,"6540",198,6540,"1208,467",true
RD,24,"6883",209,6883,"6544",198,6544,"1672,858",true
RD,25,"6883",209,6883,"6544",198,6544,"1641,144",true
RD,26,"6883",209,6883,"6540",198,6540,"1537,571",true
RD,27,"6883",209,6883,"6559",197,6559,"1206,365",true
RD,28,"6883",209,6883,"6540",198,6540,"1602,92",true
RD,29,"6883",209,6883,"6544",198,6544,"1646,413",true
