heuristic,trial,originalIndividualAvgTime,originalIndividualLOC,originalIndividualCharacters,bestIndividualAvgTime,bestIndividualLOC,bestIndividualCharacters,time,better
HC,0,"5435",195,5435,"5321",194,5321,"34,874",true
HC,1,"5435",195,5435,"5321",194,5321,"36,489",true
HC,2,"5435",195,5435,"5321",194,5321,"35,569",true
HC,3,"5435",195,5435,"5321",194,5321,"35,533",true
HC,4,"5435",195,5435,"5321",194,5321,"35,796",true
HC,5,"5435",195,5435,"5321",194,5321,"35,667",true
HC,6,"5435",195,5435,"5321",194,5321,"34,703",true
HC,7,"5435",195,5435,"5321",194,5321,"35,755",true
HC,8,"5435",195,5435,"5321",194,5321,"34,657",true
HC,9,"5435",195,5435,"5321",194,5321,"37,655",true
HC,10,"5435",195,5435,"5321",194,5321,"31,544",true
HC,11,"5435",195,5435,"5321",194,5321,"34,599",true
HC,12,"5435",195,5435,"5321",194,5321,"36,506",true
HC,13,"5435",195,5435,"5321",194,5321,"34,775",true
HC,14,"5435",195,5435,"5321",194,5321,"35,719",true
HC,15,"5435",195,5435,"5321",194,5321,"35,852",true
HC,16,"5435",195,5435,"5321",194,5321,"35,712",true
HC,17,"5435",195,5435,"5321",194,5321,"36,608",true
HC,18,"5435",195,5435,"5321",194,5321,"34,741",true
HC,19,"5435",195,5435,"5321",194,5321,"37,753",true
HC,20,"5435",195,5435,"5321",194,5321,"35,905",true
HC,21,"5435",195,5435,"5321",194,5321,"34,828",true
HC,22,"5435",195,5435,"5321",194,5321,"36,772",true
HC,23,"5435",195,5435,"5321",194,5321,"35,944",true
HC,24,"5435",195,5435,"5321",194,5321,"39,763",true
HC,25,"5435",195,5435,"5321",194,5321,"38,843",true
HC,26,"5435",195,5435,"5321",194,5321,"35,814",true
HC,27,"5435",195,5435,"5321",194,5321,"36,708",true
HC,28,"5435",195,5435,"5321",194,5321,"35,055",true
HC,29,"5435",195,5435,"5321",194,5321,"33,782",true
RD,0,"5435",195,5435,"5193",191,5193,"878,139",true
RD,1,"5435",195,5435,"5151",188,5151,"925,655",true
RD,2,"5435",195,5435,"5084",187,5084,"926,549",true
RD,3,"5435",195,5435,"5084",187,5084,"956,69",true
RD,4,"5435",195,5435,"5084",187,5084,"895,769",true
RD,5,"5435",195,5435,"5084",187,5084,"993,169",true
RD,6,"5435",195,5435,"5121",188,5121,"952,579",true
RD,7,"5435",195,5435,"5084",187,5084,"1047,343",true
RD,8,"5435",195,5435,"5084",187,5084,"970,706",true
RD,9,"5435",195,5435,"5084",187,5084,"1026,85",true
RD,10,"5435",195,5435,"4831",180,4831,"751,283",true
RD,11,"5435",195,5435,"5139",188,5139,"950,302",true
RD,12,"5435",195,5435,"5084",187,5084,"876,403",true
RD,13,"5435",195,5435,"5084",187,5084,"889,927",true
RD,14,"5435",195,5435,"5084",187,5084,"904,402",true
RD,15,"5435",195,5435,"5084",187,5084,"980,561",true
RD,16,"5435",195,5435,"5255",192,5255,"876,35",true
RD,17,"5435",195,5435,"5101",188,5101,"776,576",true
RD,18,"5435",195,5435,"5084",187,5084,"968,784",true
RD,19,"5435",195,5435,"5084",187,5084,"901,344",true
RD,20,"5435",195,5435,"5084",187,5084,"943,743",true
RD,21,"5435",195,5435,"5084",187,5084,"963,265",true
RD,22,"5435",195,5435,"5084",187,5084,"954,991",true
RD,23,"5435",195,5435,"5084",187,5084,"958,201",true
RD,24,"5435",195,5435,"5084",187,5084,"1002,592",true
RD,25,"5435",195,5435,"5084",187,5084,"979,894",true
RD,26,"5435",195,5435,"5198",188,5198,"853,408",true
RD,27,"5435",195,5435,"5101",188,5101,"1010,616",true
RD,28,"5435",195,5435,"5121",188,5121,"907,483",true
RD,29,"5435",195,5435,"5188",189,5188,"963,595",true
