heuristic,trial,originalIndividualAvgTime,originalIndividualLOC,originalIndividualCharacters,bestIndividualAvgTime,bestIndividualLOC,bestIndividualCharacters,time,better
HC,0,"6891",193,6891,"6891",193,6891,"27,587",false
HC,1,"6891",193,6891,"6891",193,6891,"26,867",false
HC,2,"6891",193,6891,"6891",193,6891,"26,429",false
HC,3,"6891",193,6891,"6891",193,6891,"26,921",false
HC,4,"6891",193,6891,"6891",193,6891,"26,968",false
HC,5,"6891",193,6891,"6891",193,6891,"26,911",false
HC,6,"6891",193,6891,"6891",193,6891,"27,563",false
HC,7,"6891",193,6891,"6891",193,6891,"27,037",false
HC,8,"6891",193,6891,"6891",193,6891,"27,032",false
HC,9,"6891",193,6891,"6891",193,6891,"26,75",false
HC,10,"6891",193,6891,"6891",193,6891,"24,583",false
HC,
HC,
HC,13,"6891",193,6891,"6891",193,6891,"21,415",false
HC,
HC,15,"6891",193,6891,"6891",193,6891,"27,061",false
HC,16,"6891",193,6891,"6891",193,6891,"26,907",false
HC,17,"6891",193,6891,"6891",193,6891,"28,558",false
HC,18,"6891",193,6891,"6891",193,6891,"26,888",false
HC,19,"6891",193,6891,"6891",193,6891,"27,286",false
HC,20,"6891",193,6891,"6891",193,6891,"27,676",false
HC,21,"6891",193,6891,"6891",193,6891,"27,133",false
HC,22,"6891",193,6891,"6891",193,6891,"26,82",false
HC,23,"6891",193,6891,"6891",193,6891,"27,092",false
HC,24,"6891",193,6891,"6891",193,6891,"27,065",false
HC,25,"6891",193,6891,"6891",193,6891,"28,487",false
HC,26,"6891",193,6891,"6891",193,6891,"27,254",false
HC,27,"6891",193,6891,"6891",193,6891,"28,027",false
HC,28,"6891",193,6891,"6891",193,6891,"27,362",false
HC,29,"6891",193,6891,"6891",193,6891,"27,304",false
RD,0,"6891",193,6891,"6866",192,6866,"2129,384",true
RD,1,"6891",193,6891,"6866",192,6866,"2077,199",true
RD,2,"6891",193,6891,"6866",192,6866,"2060,339",true
RD,3,"6891",193,6891,"6866",192,6866,"2086,113",true
RD,4,"6891",193,6891,"6866",192,6866,"2077,786",true
RD,5,"6891",193,6891,"6861",192,6861,"2066,715",true
RD,6,"6891",193,6891,"6861",192,6861,"2110,152",true
RD,7,"6891",193,6891,"6866",192,6866,"2051,052",true
RD,8,"6891",193,6891,"6866",192,6866,"2120,958",true
RD,9,"6891",193,6891,"6848",192,6848,"1058,696",true
RD,10,"6891",193,6891,"6853",192,6853,"1542,946",true
RD,
RD,
RD,13,"6891",193,6891,"6848",192,6848,"1712,209",true
RD,
RD,15,"6891",193,6891,"6866",192,6866,"2148,609",true
RD,16,"6891",193,6891,"6861",192,6861,"2011,493",true
RD,17,"6891",193,6891,"6868",193,6868,"981,931",true
RD,18,"6891",193,6891,"6856",192,6856,"2003,525",true
RD,19,"6891",193,6891,"6866",192,6866,"2125,853",true
RD,20,"6891",193,6891,"6866",192,6866,"2182,095",true
RD,21,"6891",193,6891,"6866",192,6866,"2063,936",true
RD,22,"6891",193,6891,"6866",192,6866,"2107,856",true
RD,23,"6891",193,6891,"6866",192,6866,"2123,027",true
RD,24,"6891",193,6891,"6866",192,6866,"2068,849",true
RD,25,"6891",193,6891,"6853",192,6853,"1204,812",true
RD,26,"6891",193,6891,"6866",192,6866,"2069,697",true
RD,27,"6891",193,6891,"6848",192,6848,"1369,72",true
RD,28,"6891",193,6891,"6866",192,6866,"2129,79",true
RD,29,"6891",193,6891,"6866",192,6866,"2059,223",true
