heuristic,trial,originalIndividualAvgTime,originalIndividualLOC,originalIndividualCharacters,bestIndividualAvgTime,bestIndividualLOC,bestIndividualCharacters,time,better
HC,0,"22934",609,22934,"22418",598,22418,"223,608",true
HC,1,"22934",609,22934,"22292",595,22292,"219,339",true
HC,2,"22934",609,22934,"22292",595,22292,"216,34",true
HC,3,"22934",609,22934,"22418",598,22418,"223,986",true
HC,4,"22934",609,22934,"22292",595,22292,"223,117",true
HC,5,"22934",609,22934,"22498",600,22498,"223,548",true
HC,6,"22934",609,22934,"22292",595,22292,"217,82",true
HC,7,"22934",609,22934,"22292",595,22292,"219,41",true
HC,8,"22934",609,22934,"22292",595,22292,"218,801",true
HC,9,"22934",609,22934,"22292",595,22292,"219,316",true
HC,10,"22934",609,22934,"22292",595,22292,"222,069",true
HC,11,"22934",609,22934,"22418",598,22418,"222,243",true
HC,12,"22934",609,22934,"22498",600,22498,"214,776",true
HC,13,"22934",609,22934,"22292",595,22292,"223,249",true
HC,14,"22934",609,22934,"22418",598,22418,"228,505",true
HC,15,"22934",609,22934,"22292",595,22292,"220,861",true
HC,16,"22934",609,22934,"22292",595,22292,"222,868",true
HC,17,"22934",609,22934,"22292",595,22292,"220,719",true
HC,18,"22934",609,22934,"22559",601,22559,"221,089",true
HC,
HC,20,"22934",609,22934,"22292",595,22292,"222,497",true
HC,21,"22934",609,22934,"22292",595,22292,"223,604",true
HC,22,"22934",609,22934,"22418",598,22418,"222,172",true
HC,
HC,24,"22934",609,22934,"22292",595,22292,"220,744",true
HC,25,"22934",609,22934,"22498",600,22498,"221,629",true
HC,26,"22934",609,22934,"22292",595,22292,"222,065",true
HC,27,"22934",609,22934,"22292",595,22292,"222,36",true
HC,
HC,29,"22934",609,22934,"22292",595,22292,"224,084",true
RD,0,"22934",609,22934,"22260",595,22260,"4258,049",true
RD,1,"22934",609,22934,"22260",595,22260,"4365,016",true
RD,2,"22934",609,22934,"21525",585,21525,"4066,343",true
RD,3,"22934",609,22934,"22260",595,22260,"4216,707",true
RD,4,"22934",609,22934,"22034",591,22034,"4157,638",true
RD,5,"22934",609,22934,"22251",595,22251,"4138,733",true
RD,6,"22934",609,22934,"22303",596,22303,"4298,674",true
RD,7,"22934",609,22934,"22199",594,22199,"4307,566",true
RD,8,"22934",609,22934,"21785",587,21785,"4120,622",true
RD,9,"22934",609,22934,"21564",586,21564,"4067,743",true
RD,10,"22934",609,22934,"22043",591,22043,"4138,868",true
RD,11,"22934",609,22934,"21783",586,21783,"4112,381",true
RD,12,"22934",609,22934,"22043",591,22043,"4115,323",true
RD,13,"22934",609,22934,"22364",597,22364,"4299,091",true
RD,14,"22934",609,22934,"21906",590,21906,"4128,033",true
RD,15,"22934",609,22934,"22303",596,22303,"4298,199",true
RD,16,"22934",609,22934,"22371",598,22371,"4334,174",true
RD,17,"22934",609,22934,"22251",595,22251,"4136,009",true
RD,18,"22934",609,22934,"22144",590,22144,"4338,192",true
RD,
RD,20,"22934",609,22934,"21960",590,21960,"4171,449",true
RD,21,"22934",609,22934,"21937",590,21937,"4168,63",true
RD,22,"22934",609,22934,"22260",595,22260,"4325,152",true
RD,23,"22934",609,22934,"21674",585,21674,"4203,473",true
RD,24,"22934",609,22934,"21577",585,21577,"4272,579",true
RD,25,"22934",609,22934,"21726",586,21726,"4024,316",true
RD,26,"22934",609,22934,"21991",590,21991,"4345,846",true
RD,27,"22934",609,22934,"22364",597,22364,"4357,05",true
RD,28,"22934",609,22934,"22260",595,22260,"4313,883",true
RD,29,"22934",609,22934,"22147",593,22147,"4248,952",true
