heuristic,trial,originalIndividualAvgTime,originalIndividualLOC,originalIndividualCharacters,bestIndividualAvgTime,bestIndividualLOC,bestIndividualCharacters,time,better
HC,0,"3686",133,3686,"3645",132,3645,"46,197",true
HC,1,"3686",133,3686,"3255",122,3255,"46,09",true
HC,2,"3686",133,3686,"3268",122,3268,"47,198",true
HC,3,"3686",133,3686,"3255",122,3255,"54,152",true
HC,4,"3686",133,3686,"3268",122,3268,"48,044",true
HC,
HC,
HC,
HC,8,"3686",133,3686,"3255",122,3255,"43,088",true
HC,9,"3686",133,3686,"3255",122,3255,"43,047",true
HC,10,"3686",133,3686,"3255",122,3255,"46,148",true
HC,11,"3686",133,3686,"3255",122,3255,"45,07",true
HC,12,"3686",133,3686,"3268",122,3268,"46,153",true
HC,13,"3686",133,3686,"3255",122,3255,"52,119",true
HC,14,"3686",133,3686,"3268",122,3268,"51,157",true
HC,15,"3686",133,3686,"3255",122,3255,"24,07",true
HC,16,"3686",133,3686,"3255",122,3255,"48,107",true
HC,17,"3686",133,3686,"3645",132,3645,"49,174",true
HC,18,"3686",133,3686,"3255",122,3255,"44,054",true
HC,19,"3686",133,3686,"3255",122,3255,"40,064",true
HC,20,"3686",133,3686,"3255",122,3255,"45,063",true
HC,21,"3686",133,3686,"3255",122,3255,"47,088",true
HC,22,"3686",133,3686,"3645",132,3645,"46,12",true
HC,23,"3686",133,3686,"3255",122,3255,"50,193",true
HC,24,"3686",133,3686,"3658",132,3658,"42,157",true
HC,25,"3686",133,3686,"3255",122,3255,"52,151",true
HC,26,"3686",133,3686,"3255",122,3255,"47,098",true
HC,27,"3686",133,3686,"3645",132,3645,"47,152",true
HC,28,"3686",133,3686,"3255",122,3255,"24,018",true
HC,29,"3686",133,3686,"3255",122,3255,"39,072",true
RD,0,"3686",133,3686,"2855",110,2855,"775,74",true
RD,1,"3686",133,3686,"2743",105,2743,"902,186",true
RD,2,"3686",133,3686,"2769",105,2769,"597,595",true
RD,3,"3686",133,3686,"2743",105,2743,"1047,52",true
RD,4,"3686",133,3686,"2743",105,2743,"548,254",true
RD,
RD,
RD,
RD,8,"3686",133,3686,"2779",106,2779,"310,099",true
RD,9,"3686",133,3686,"2747",105,2747,"449,919",true
RD,10,"3686",133,3686,"2759",106,2759,"642,757",true
RD,11,"3686",133,3686,"2847",109,2847,"350,515",true
RD,12,"3686",133,3686,"2755",106,2755,"535,301",true
RD,13,"3686",133,3686,"2775",105,2775,"651,977",true
RD,14,"3686",133,3686,"2759",106,2759,"960,277",true
RD,15,"3686",133,3686,"2779",106,2779,"501,053",true
RD,16,"3686",133,3686,"2743",105,2743,"728,363",true
RD,17,"3686",133,3686,"2781",106,2781,"751,296",true
RD,18,"3686",133,3686,"2743",105,2743,"826,839",true
RD,19,"3686",133,3686,"2842",107,2842,"460,845",true
RD,20,"3686",133,3686,"2743",105,2743,"869,116",true
RD,21,"3686",133,3686,"2779",106,2779,"460,726",true
RD,22,"3686",133,3686,"2805",106,2805,"656,878",true
RD,23,"3686",133,3686,"2779",106,2779,"858,543",true
RD,24,"3686",133,3686,"2743",105,2743,"673,213",true
RD,25,"3686",133,3686,"2743",105,2743,"833,997",true
RD,26,"3686",133,3686,"2743",105,2743,"943,031",true
RD,27,"3686",133,3686,"2781",106,2781,"904,489",true
RD,28,"3686",133,3686,"2781",106,2781,"663,82",true
RD,29,"3686",133,3686,"2743",105,2743,"801,776",true
