heuristic,trial,originalIndividualAvgTime,originalIndividualLOC,originalIndividualCharacters,bestIndividualAvgTime,bestIndividualLOC,bestIndividualCharacters,time,better
HC,
HC,1,"6883",209,6883,"6451",199,6451,"55,907",true
HC,2,"6883",209,6883,"6341",196,6341,"54,397",true
HC,3,"6883",209,6883,"6341",196,6341,"54,081",true
HC,4,"6883",209,6883,"6341",196,6341,"56,197",true
HC,5,"6883",209,6883,"6341",196,6341,"56,079",true
HC,6,"6883",209,6883,"6341",196,6341,"55,061",true
HC,7,"6883",209,6883,"6422",201,6422,"54,692",true
HC,8,"6883",209,6883,"6341",196,6341,"55,286",true
HC,9,"6883",209,6883,"6341",196,6341,"54,639",true
HC,10,"6883",209,6883,"6341",196,6341,"55,277",true
HC,11,"6883",209,6883,"6378",199,6378,"55,237",true
HC,12,"6883",209,6883,"6393",199,6393,"55,084",true
HC,13,"6883",209,6883,"6341",196,6341,"54,996",true
HC,14,"6883",209,6883,"6341",196,6341,"54,144",true
HC,15,"6883",209,6883,"6341",196,6341,"55,211",true
HC,16,"6883",209,6883,"6379",198,6379,"55,079",true
HC,17,"6883",209,6883,"6701",203,6701,"53,828",true
HC,18,"6883",209,6883,"6341",196,6341,"54,387",true
HC,19,"6883",209,6883,"6341",196,6341,"56,19",true
HC,20,"6883",209,6883,"6341",196,6341,"56,993",true
HC,21,"6883",209,6883,"6341",196,6341,"54,092",true
HC,22,"6883",209,6883,"6400",198,6400,"54,363",true
HC,23,"6883",209,6883,"6436",199,6436,"56,006",true
HC,24,"6883",209,6883,"6341",196,6341,"55,015",true
HC,25,"6883",209,6883,"6341",196,6341,"53,72",true
HC,26,"6883",209,6883,"6341",196,6341,"53,74",true
HC,27,"6883",209,6883,"6341",196,6341,"57,402",true
HC,28,"6883",209,6883,"6378",199,6378,"55,077",true
HC,29,"6883",209,6883,"6341",196,6341,"55,158",true
RD,
RD,1,"6883",209,6883,"6016",183,6016,"1541,988",true
RD,2,"6883",209,6883,"6031",182,6031,"1547,45",true
RD,3,"6883",209,6883,"6329",193,6329,"1574,167",true
RD,4,"6883",209,6883,"6310",194,6310,"1571,442",true
RD,5,"6883",209,6883,"5985",182,5985,"1507,086",true
RD,6,"6883",209,6883,"6329",193,6329,"1540,333",true
RD,7,"6883",209,6883,"6016",183,6016,"1473,528",true
RD,8,"6883",209,6883,"5989",182,5989,"1631,052",true
RD,9,"6883",209,6883,"6226",190,6226,"1557,278",true
RD,10,"6883",209,6883,"6036",185,6036,"1516,784",true
RD,11,"6883",209,6883,"6329",193,6329,"1526,31",true
RD,12,"6883",209,6883,"5985",182,5985,"1653,294",true
RD,13,"6883",209,6883,"6314",194,6314,"1608,581",true
RD,14,"6883",209,6883,"6345",196,6345,"1549,667",true
RD,15,"6883",209,6883,"6383",196,6383,"1626,672",true
RD,16,"6883",209,6883,"6082",185,6082,"1516,476",true
RD,17,"6883",209,6883,"6329",193,6329,"1629,293",true
RD,18,"6883",209,6883,"6012",183,6012,"1655,068",true
RD,19,"6883",209,6883,"5985",182,5985,"1562,3",true
RD,20,"6883",209,6883,"6027",182,6027,"1598,591",true
RD,21,"6883",209,6883,"6016",183,6016,"1510,19",true
RD,22,"6883",209,6883,"6310",194,6310,"1503,436",true
RD,23,"6883",209,6883,"6310",194,6310,"1585,501",true
RD,24,"6883",209,6883,"6310",194,6310,"1597,381",true
RD,25,"6883",209,6883,"6314",194,6314,"1529,31",true
RD,26,"6883",209,6883,"6262",192,6262,"1561,449",true
RD,27,"6883",209,6883,"6225",185,6225,"1474,4",true
RD,28,"6883",209,6883,"6329",193,6329,"1527,85",true
RD,29,"6883",209,6883,"6523",196,6523,"1591,997",true
