Lib;Heuristic;Trial;Lines;% Improved Loc;Chars;% Improved Chars;Instructions;% Improved Instructions;Time Spent
moment;Original;-;1;0;48234;0;49694;0;0
moment;RD;0;1;0;47432;0.01662727536592445;48891;0.016158892421620316;NaN
moment;RD;1;1;0;47197;0.021499357299829994;48839;0.01720529641405401;NaN
moment;RD;2;1;0;47358;0.018161462868515985;48710;0.0198011832414376;NaN
moment;RD;3;1;0;47711;0.010842973835883401;49146;0.011027488227955086;0
moment;RD;4;1;0;47395;0.01739436911722022;48819;0.01760775948806697;0
moment;RD;5;1;0;47326;0.01882489530206908;48618;0.02165251338189721;NaN
moment;RD;7;1;0;47207;0.021292034664344654;48729;0.019418843321125288;NaN
moment;RD;8;1;0;47712;0.010822241572334867;49029;0.013381897210930896;0
moment;RD;9;1;0;47480;0.01563212671559481;48877;0.01644061657342939;0
moment;RD;10;1;0;47599;0.013164987353319236;48941;0.015152734736587918;0
moment;RD;11;1;0;47061;0.024318945142430652;48667;0.02066647885056546;NaN
moment;RD;12;1;0;47049;0.024567732305013062;48749;0.019016380247112327;NaN
moment;RD;13;1;0;47393;0.017435833644317285;48586;0.022296454300317944;NaN
moment;RD;14;1;0;47373;0.01785047891528797;48791;0.01817120779168511;NaN
moment;RD;15;1;0;47306;0.019239540573039764;48936;0.015253350505091159;NaN
moment;RD;16;1;0;47455;0.016150433304308164;48907;0.015836921962409947;NaN
moment;RD;17;1;0;47654;0.012024712858149853;49088;0.012194631142592668;0
moment;RD;18;1;0;47353;0.018265124186258655;48646;0.021089065078279068;NaN
moment;RD;19;1;0;47375;0.0178090143881909;48759;0.01881514871010585;0
moment;RD;20;1;0;47476;0.015715055769788946;48795;0.01809071517688252;0
moment;RD;21;1;0;47710;0.010863706099431936;49113;0.011691552300076468;0
moment;RD;22;1;0;47605;0.01304059377202803;48934;0.015293596812492453;0
moment;RD;23;1;0;47120;0.02309574159306713;48394;0.026160099810842354;NaN
moment;RD;25;1;0;47671;0.011672264377824771;49010;0.013764237131243208;0
moment;RD;26;1;0;47491;0.015404071816560932;48752;0.018956010786010384;0
moment;RD;27;1;0;47652;0.012066177385246922;49043;0.013100173059121825;0
moment;RD;28;1;0;46926;0.02711780072148277;48563;0.022759286835432848;NaN
moment;RD;29;1;0;47079;0.023945764398557036;48533;0.023362981446452286;NaN
moment;HC3;0;1;0;45230;0.06227971969979682;46576;0.06274399323862036;NaN
moment;HC3;1;1;0;45230;0.06227971969979682;46576;0.06274399323862036;0
moment;HC3;2;1;0;45230;0.06227971969979682;46576;0.06274399323862036;0
moment;HC3;3;1;0;45230;0.06227971969979682;46576;0.06274399323862036;0
moment;HC3;4;1;0;45230;0.06227971969979682;46576;0.06274399323862036;0
moment;HC3;5;1;0;45225;0.06238338101753949;46570;0.06286473216082425;NaN
moment;HC3;6;1;0;45230;0.06227971969979682;46576;0.06274399323862036;0
moment;HC3;7;1;0;45230;0.06227971969979682;46576;0.06274399323862036;0
moment;HC3;8;1;0;45230;0.06227971969979682;46576;0.06274399323862036;0
moment;HC3;9;1;0;45230;0.06227971969979682;46576;0.06274399323862036;0
moment;HC3;10;1;0;45230;0.06227971969979682;46576;0.06274399323862036;0
moment;HC3;11;1;0;45230;0.06227971969979682;46576;0.06274399323862036;0
moment;HC3;12;1;0;45230;0.06227971969979682;46576;0.06274399323862036;0
moment;HC3;13;1;0;45230;0.06227971969979682;46576;0.06274399323862036;0
moment;HC3;14;1;0;45230;0.06227971969979682;46576;0.06274399323862036;0
moment;HC3;15;1;0;45225;0.06238338101753949;46570;0.06286473216082425;0
moment;HC3;16;1;0;45230;0.06227971969979682;46576;0.06274399323862036;0
moment;HC3;17;1;0;45230;0.06227971969979682;46576;0.06274399323862036;0
moment;HC3;18;1;0;45228;0.062321184226893894;46629;0.06167746609248601;0
moment;HC3;19;1;0;45230;0.06227971969979682;46576;0.06274399323862036;0
moment;HC3;20;1;0;45230;0.06227971969979682;46576;0.06274399323862036;0
moment;HC3;21;1;0;45230;0.06227971969979682;46576;0.06274399323862036;0
moment;HC3;22;1;0;45230;0.06227971969979682;46576;0.06274399323862036;0
moment;HC3;23;1;0;45230;0.06227971969979682;46576;0.06274399323862036;0
moment;HC3;24;1;0;45230;0.06227971969979682;46576;0.06274399323862036;0
moment;HC3;25;1;0;45230;0.06227971969979682;46576;0.06274399323862036;0
moment;HC3;26;1;0;45225;0.06238338101753949;46570;0.06286473216082425;0
moment;HC3;27;1;0;45230;0.06227971969979682;46576;0.06274399323862036;0
moment;HC3;28;1;0;45230;0.06227971969979682;46576;0.06274399323862036;0
moment;HC3;29;1;0;45230;0.06227971969979682;46576;0.06274399323862036;0
moment;HC4;0;1;0;45240;0.06207239706431148;46594;0.062381776472008696;NaN
moment;HC4;1;1;0;45230;0.06227971969979682;46576;0.06274399323862036;NaN
moment;HC4;10;1;0;45240;0.06207239706431148;46594;0.062381776472008696;0
moment;HC4;11;1;0;45230;0.06227971969979682;46576;0.06274399323862036;0
moment;HC4;20;1;0;45240;0.06207239706431148;46594;0.062381776472008696;0
moment;HC4;21;1;0;45225;0.06238338101753949;46570;0.06286473216082425;NaN
