Lib;Heuristic;Trial;Lines;% Improved Loc;Chars;% Improved Chars;Instructions;% Improved Instructions;Time Spent
moment;Original;-;1;0;48234;0;49694;0;0
moment;RD;29;1;0;47079;0.023945764398557036;48533;0.023362981446452286;NaN
moment;GA;N/A;1;0;48234;0;49694;0;0
moment;GA2;N/A;1;0;48234;0;49694;0;0
moment;HC;N/A;1;0;48234;0;49694;0;0
moment;HC2;N/A;1;0;48234;0;49694;0;0
moment;HC3;5;1;0;45225;0.06238338101753949;46570;0.06286473216082425;NaN
moment;HC4;13;1;0;45225;0.06238338101753949;46570;0.06286473216082425;NaN
moment;HC5;N/A;1;0;48234;0;49694;0;0
moment;HC52;N/A;1;0;48234;0;49694;0;0
