Lib;Heuristic;Trial;Lines;% Improved Loc;Chars;% Improved Chars;Instructions;% Improved Instructions;Time Spent
d3-node;Original;-;1;0;1673;0;1287;0;0
d3-node;RD;0;1;0;1268;0.242080095636581;1045;0.18803418803418803;NaN
d3-node;GA;N/A;1;0;1673;0;1287;0;0
d3-node;GA2;N/A;1;0;1673;0;1287;0;0
d3-node;HC;N/A;1;0;1673;0;1287;0;0
d3-node;HC2;N/A;1;0;1673;0;1287;0;0
d3-node;HC3;0;1;0;1238;0.26001195457262405;1034;0.19658119658119658;NaN
d3-node;HC4;0;1;0;1238;0.26001195457262405;1034;0.19658119658119658;NaN
d3-node;HC5;0;1;0;1238;0.26001195457262405;1034;0.19658119658119658;NaN
d3-node;HC52;N/A;1;0;1673;0;1287;0;0
