Lib;Heuristic;Trial;Lines;% Improved Loc;Chars;% Improved Chars;Instructions;% Improved Instructions;Time Spent
esprima;Original;-;1;0;137806;0;100074;0;0
esprima;RD;0;1;0;137259;0.003969348214156132;99477;0.005965585466754602;NaN
esprima;RD;1;1;0;137780;0.00018867103028895693;100028;0.0004596598517097348;0
esprima;RD;2;1;0;137142;0.004818367850456438;99472;0.006015548494114355;NaN
esprima;RD;3;1;0;137410;0.002873604922862575;99723;0.0035074045206547155;0
esprima;RD;4;1;0;137509;0.002155203692146931;99717;0.00356736015348642;0
esprima;RD;5;1;0;137378;0.003105815421679753;99694;0.0037971900793412876;0
esprima;RD;6;1;0;137394;0.002989710172271164;99667;0.004066990427083958;0
esprima;RD;7;1;0;137574;0.001683526116424539;99799;0.002747966504786458;0
esprima;RD;10;1;0;137373;0.0031420983121199365;99689;0.003847153106701041;0
esprima;RD;11;1;0;137300;0.0036718285125466234;99661;0.004126946059915662;0
esprima;RD;12;1;0;137444;0.0026268812678693237;99738;0.0033575154385754543;0
esprima;HC3;0;1;0;131667;0.04454813288245795;94977;0.050932310090533006;NaN
esprima;HC3;4;1;0;131666;0.044555389460545984;94974;0.05096228790694886;NaN
esprima;HC3;11;1;0;131666;0.044555389460545984;94974;0.05096228790694886;0
esprima;HC3;22;1;0;131666;0.044555389460545984;94974;0.05096228790694886;0
esprima;HC4;0;1;0;131666;0.044555389460545984;94974;0.05096228790694886;NaN
esprima;HC4;1;1;0;131666;0.044555389460545984;94974;0.05096228790694886;0
esprima;HC4;2;1;0;132302;0.03994020579655458;95540;0.04530647320982473;0
esprima;HC4;10;1;0;131666;0.044555389460545984;94974;0.05096228790694886;0
esprima;HC4;11;1;0;131666;0.044555389460545984;94974;0.05096228790694886;0
esprima;HC4;20;1;0;131666;0.044555389460545984;94974;0.05096228790694886;0
esprima;HC4;21;1;0;131666;0.044555389460545984;94974;0.05096228790694886;0
esprima;HC4;28;1;0;132394;0.03927260061245519;95609;0.04461698343226013;0
