Lib;Heuristic;Trial;Lines;% Improved Loc;Chars;% Improved Chars;Instructions;% Improved Instructions;Time Spent
exectimer;Original;-;1;0;1861;0;1869;0;0
exectimer;RD;0;1;0;1423;0.2353573347662547;1382;0.26056714820759763;NaN
exectimer;RD;1;1;0;1422;0.23589468027941968;1379;0.26217228464419473;NaN
exectimer;RD;2;1;0;1441;0.22568511552928533;1386;0.25842696629213485;0
exectimer;RD;3;1;0;1422;0.23589468027941968;1379;0.26217228464419473;0
exectimer;RD;4;1;0;1423;0.2353573347662547;1382;0.26056714820759763;0
exectimer;RD;5;1;0;1422;0.23589468027941968;1379;0.26217228464419473;0
exectimer;RD;6;1;0;1422;0.23589468027941968;1379;0.26217228464419473;0
exectimer;RD;7;1;0;1423;0.2353573347662547;1382;0.26056714820759763;0
exectimer;RD;8;1;0;1434;0.2294465341214401;1387;0.2578919208132691;0
exectimer;RD;9;1;0;1422;0.23589468027941968;1379;0.26217228464419473;0
exectimer;RD;11;1;0;1422;0.23589468027941968;1379;0.26217228464419473;0
exectimer;RD;12;1;0;1425;0.23428264373992477;1384;0.2594970572498662;0
exectimer;RD;13;1;0;1422;0.23589468027941968;1379;0.26217228464419473;0
exectimer;RD;14;1;0;1422;0.23589468027941968;1379;0.26217228464419473;0
exectimer;RD;15;1;0;1425;0.23428264373992477;1384;0.2594970572498662;0
exectimer;RD;16;1;0;1422;0.23589468027941968;1379;0.26217228464419473;0
exectimer;RD;17;1;0;1422;0.23589468027941968;1379;0.26217228464419473;0
exectimer;RD;18;1;0;1422;0.23589468027941968;1379;0.26217228464419473;0
exectimer;RD;19;1;0;1423;0.2353573347662547;1382;0.26056714820759763;0
exectimer;RD;20;1;0;1422;0.23589468027941968;1379;0.26217228464419473;0
exectimer;RD;21;1;0;1422;0.23589468027941968;1379;0.26217228464419473;0
exectimer;RD;22;1;0;1422;0.23589468027941968;1379;0.26217228464419473;0
exectimer;RD;23;1;0;1422;0.23589468027941968;1379;0.26217228464419473;0
exectimer;RD;24;1;0;1422;0.23589468027941968;1379;0.26217228464419473;0
exectimer;RD;25;1;0;1423;0.2353573347662547;1382;0.26056714820759763;0
exectimer;RD;26;1;0;1423;0.2353573347662547;1382;0.26056714820759763;0
exectimer;RD;27;1;0;1422;0.23589468027941968;1379;0.26217228464419473;0
exectimer;RD;28;1;0;1463;0.2138635142396561;1421;0.2397003745318352;0
exectimer;RD;29;1;0;1422;0.23589468027941968;1379;0.26217228464419473;0
exectimer;GA2;0;1;0;1794;0.03600214938205266;1822;0.02514713750668807;NaN
exectimer;GA2;1;1;0;1847;0.007522837184309511;1849;0.010700909577314071;0
exectimer;GA2;2;1;0;1831;0.016120365394948953;1828;0.021936864633493848;0
exectimer;GA2;3;1;0;1807;0.029016657710908115;1793;0.04066345639379347;NaN
exectimer;GA2;4;1;0;1844;0.009134873723804407;1840;0.015516318887105404;0
exectimer;GA2;5;1;0;1768;0.04997313272434175;1724;0.07758159443552702;NaN
exectimer;GA2;6;1;0;1794;0.03600214938205266;1822;0.02514713750668807;0
exectimer;GA2;7;1;0;1768;0.04997313272434175;1724;0.07758159443552702;0
exectimer;GA2;8;1;0;1794;0.03600214938205266;1822;0.02514713750668807;0
exectimer;GA2;9;1;0;1831;0.016120365394948953;1828;0.021936864633493848;0
exectimer;GA2;10;1;0;1790;0.03815153143471252;1749;0.06420545746388442;0
exectimer;GA2;11;1;0;1807;0.029016657710908115;1805;0.03424291064740503;0
exectimer;GA2;12;1;0;1768;0.04997313272434175;1724;0.07758159443552702;0
exectimer;GA2;13;1;0;1768;0.04997313272434175;1724;0.07758159443552702;0
exectimer;GA2;14;1;0;1831;0.016120365394948953;1828;0.021936864633493848;0
exectimer;GA2;15;1;0;1819;0.022568511552928532;1798;0.037988228999464954;0
exectimer;GA2;16;1;0;1768;0.04997313272434175;1724;0.07758159443552702;0
exectimer;GA2;17;1;0;1807;0.029016657710908115;1805;0.03424291064740503;0
exectimer;GA2;18;1;0;1831;0.016120365394948953;1828;0.021936864633493848;0
exectimer;GA2;19;1;0;1876;0.008060182697474477;1863;0.0032102728731942215;0
exectimer;GA2;20;1;0;1790;0.03815153143471252;1749;0.06420545746388442;0
exectimer;GA2;21;1;0;1847;0.007522837184309511;1849;0.010700909577314071;0
exectimer;GA2;22;1;0;1768;0.04997313272434175;1724;0.07758159443552702;0
exectimer;GA2;23;1;0;1789;0.03868887694787748;1783;0.04601391118245051;0
exectimer;GA2;24;1;0;1790;0.03815153143471252;1749;0.06420545746388442;0
exectimer;GA2;25;1;0;1831;0.016120365394948953;1828;0.021936864633493848;0
exectimer;GA2;26;1;0;1790;0.03815153143471252;1749;0.06420545746388442;0
exectimer;GA2;27;1;0;1768;0.04997313272434175;1724;0.07758159443552702;0
exectimer;GA2;29;1;0;1794;0.03600214938205266;1822;0.02514713750668807;0
