Lib;Heuristic;Trial;Lines;% Improved Loc;Chars;% Improved Chars;Instructions;% Improved Instructions;Time Spent
exectimer;Original;-;1;0;1861;0;1869;0;0
exectimer;RD;1;1;0;1422;0.23589468027941968;1379;0.26217228464419473;NaN
exectimer;GA;N/A;1;0;1861;0;1869;0;0
exectimer;GA2;5;1;0;1768;0.04997313272434175;1724;0.07758159443552702;NaN
exectimer;HC;N/A;1;0;1861;0;1869;0;0
exectimer;HC2;22;1;0;1414;0.24019344438473939;1379;0.26217228464419473;NaN
exectimer;HC3;0;1;0;1363;0.2675980655561526;1327;0.28999464954521137;NaN
exectimer;HC4;0;1;0;1363;0.2675980655561526;1327;0.28999464954521137;NaN
exectimer;HC5;0;1;0;1363;0.2675980655561526;1327;0.28999464954521137;NaN
exectimer;HC52;N/A;1;0;1861;0;1869;0;0
