Lib;Heuristic;Trial;Lines;% Improved Loc;Chars;% Improved Chars;Instructions;% Improved Instructions;Time Spent
lodash;Original;-;1;0;48972;0;60995;0;0
lodash;HC;1;1;0;45075;0.07957608429306542;55205;0.09492581359127797;NaN
lodash;HC;2;1;0;45075;0.07957608429306542;55205;0.09492581359127797;0
lodash;HC;3;1;0;45083;0.07941272563914073;55242;0.09431920649233544;0
lodash;HC;4;1;0;47438;0.031324021890059624;58556;0.039986884170833674;0
lodash;HC;5;1;0;48951;0.0004288164665523156;60974;0.0003442905156160341;0
lodash;HC;10;1;0;45175;0.07753410111900678;55598;0.08848266251332076;0
lodash;HC;11;1;0;45100;0.07906558849955077;55192;0.09513894581523076;NaN
lodash;HC;12;1;0;45100;0.07906558849955077;55192;0.09513894581523076;0
lodash;HC;13;1;0;45103;0.07900432900432901;55233;0.0944667595704566;0
lodash;HC;14;1;0;47109;0.03804214653271257;58079;0.04780719731125502;0
lodash;HC;21;1;0;45100;0.07906558849955077;55192;0.09513894581523076;0
lodash;HC;22;1;0;45100;0.07906558849955077;55192;0.09513894581523076;0
lodash;HC;23;1;0;45100;0.07906558849955077;55192;0.09513894581523076;0
lodash;HC;24;1;0;45046;0.08016825941354243;55216;0.09474547094024101;NaN
lodash;HC;25;1;0;46872;0.04288164665523156;57873;0.051184523321583734;0
lodash;HC3;2;1;0;45179;0.07745242179204444;55450;0.09090909090909091;NaN
lodash;HC3;3;1;0;45213;0.0767581475128645;55805;0.08508894171653414;0
lodash;HC3;6;1;0;45194;0.07714612431593564;55323;0.09299122878924503;NaN
lodash;HC3;11;1;0;45172;0.07759536061422855;55301;0.09335191409131896;NaN
lodash;HC3;12;1;0;45031;0.08047455688965123;55428;0.09126977621116485;NaN
lodash;HC3;13;1;0;45228;0.0764518500367557;55322;0.09300762357570293;NaN
lodash;HC3;14;1;0;45102;0.0790247488360696;55235;0.09443396999754078;NaN
lodash;HC3;15;1;0;47346;0.03320264641019358;58464;0.04149520452496106;0
lodash;HC3;20;1;0;45020;0.08069917503879769;55462;0.09071235347159604;NaN
lodash;HC3;23;1;0;45088;0.0793106264804378;55220;0.09467989179440937;NaN
lodash;HC3;24;1;0;46849;0.04335130278526505;57759;0.053053528977785064;0
lodash;HC4;0;1;0;45119;0.07867761169647962;55179;0.09535207803918354;NaN
lodash;HC4;1;1;0;45100;0.07906558849955077;55192;0.09513894581523076;NaN
lodash;HC4;3;1;0;45043;0.08022951890876419;55214;0.09477826051315681;NaN
lodash;HC4;4;1;0;47256;0.03504043126684636;58325;0.04377407984261005;0
lodash;HC4;6;1;0;45100;0.07906558849955077;55192;0.09513894581523076;NaN
lodash;HC4;7;1;0;45100;0.07906558849955077;55192;0.09513894581523076;0
lodash;HC4;8;1;0;45100;0.07906558849955077;55192;0.09513894581523076;0
lodash;HC4;12;1;0;45075;0.07957608429306542;55205;0.09492581359127797;NaN
lodash;HC4;14;1;0;46507;0.05033488524054562;57454;0.058053938847446515;0
lodash;HC4;17;1;0;45216;0.07669688801764274;55433;0.09118780227887532;0
lodash;HC4;18;1;0;45100;0.07906558849955077;55192;0.09513894581523076;NaN
lodash;HC4;20;1;0;45075;0.07957608429306542;55205;0.09492581359127797;NaN
lodash;HC4;21;1;0;45100;0.07906558849955077;55192;0.09513894581523076;NaN
lodash;HC4;22;1;0;45100;0.07906558849955077;55192;0.09513894581523076;0
lodash;HC5;1;1;0;45075;0.07957608429306542;55205;0.09492581359127797;NaN
lodash;HC5;2;1;0;45075;0.07957608429306542;55205;0.09492581359127797;0
lodash;HC5;3;1;0;45083;0.07941272563914073;55242;0.09431920649233544;0
lodash;HC5;4;1;0;47438;0.031324021890059624;58556;0.039986884170833674;0
lodash;HC5;5;1;0;48951;0.0004288164665523156;60974;0.0003442905156160341;0
lodash;HC5;10;1;0;45175;0.07753410111900678;55598;0.08848266251332076;0
lodash;HC5;11;1;0;45100;0.07906558849955077;55192;0.09513894581523076;NaN
lodash;HC5;12;1;0;45100;0.07906558849955077;55192;0.09513894581523076;0
lodash;HC5;13;1;0;45103;0.07900432900432901;55233;0.0944667595704566;0
lodash;HC5;14;1;0;47109;0.03804214653271257;58079;0.04780719731125502;0
lodash;HC5;21;1;0;45100;0.07906558849955077;55192;0.09513894581523076;0
lodash;HC5;22;1;0;45100;0.07906558849955077;55192;0.09513894581523076;0
lodash;HC5;23;1;0;45100;0.07906558849955077;55192;0.09513894581523076;0
lodash;HC5;24;1;0;45046;0.08016825941354243;55216;0.09474547094024101;NaN
lodash;HC5;25;1;0;46872;0.04288164665523156;57873;0.051184523321583734;0
