Lib;Heuristic;Trial;Lines;% Improved Loc;Chars;% Improved Chars;Instructions;% Improved Instructions;Time Spent
minimist;Original;-;1;0;2911;0;3785;0;0
minimist;RD;0;1;0;2852;0.02026794915836482;3693;0.02430647291941876;NaN
minimist;RD;1;1;0;2855;0.019237375472346274;3702;0.021928665785997357;0
minimist;RD;2;1;0;2858;0.018206801786327723;3705;0.021136063408190225;0
minimist;RD;3;1;0;2856;0.018893850910340088;3702;0.021928665785997357;0
minimist;RD;4;1;0;2857;0.018550326348333906;3706;0.020871862615587846;0
minimist;RD;5;1;0;2857;0.018550326348333906;3708;0.020343461030383092;0
minimist;RD;6;1;0;2854;0.019580900034352457;3699;0.02272126816380449;0
minimist;RD;7;1;0;2855;0.019237375472346274;3702;0.021928665785997357;0
minimist;RD;8;1;0;2854;0.019580900034352457;3699;0.02272126816380449;0
minimist;RD;9;1;0;2855;0.019237375472346274;3702;0.021928665785997357;0
minimist;RD;13;1;0;2865;0.01580212985228444;3723;0.016380449141347425;0
minimist;RD;15;1;0;2854;0.019580900034352457;3699;0.02272126816380449;0
minimist;RD;16;1;0;2873;0.01305393335623497;3718;0.017701453104359312;0
minimist;RD;17;1;0;2856;0.018893850910340088;3702;0.021928665785997357;0
minimist;RD;18;1;0;2857;0.018550326348333906;3706;0.020871862615587846;0
minimist;RD;19;1;0;2857;0.018550326348333906;3705;0.021136063408190225;0
minimist;RD;20;1;0;2871;0.013740982480247337;3716;0.01822985468956407;0
minimist;RD;21;1;0;2860;0.017519752662315355;3714;0.018758256274768823;0
minimist;RD;22;1;0;2852;0.02026794915836482;3693;0.02430647291941876;0
minimist;RD;23;1;0;2857;0.018550326348333906;3706;0.020871862615587846;0
minimist;RD;24;1;0;2856;0.018893850910340088;3702;0.021928665785997357;0
minimist;RD;25;1;0;2856;0.018893850910340088;3703;0.02166446499339498;0
minimist;RD;26;1;0;2854;0.019580900034352457;3699;0.02272126816380449;0
minimist;RD;27;1;0;2854;0.019580900034352457;3699;0.02272126816380449;0
minimist;RD;28;1;0;2857;0.018550326348333906;3705;0.021136063408190225;0
minimist;RD;29;1;0;2855;0.019237375472346274;3699;0.02272126816380449;0
minimist;GA2;0;1;0;2894;0.005839917554105119;3769;0.004227212681638045;NaN
minimist;GA2;1;1;0;2896;0.005152868430092752;3772;0.0034346103038309117;0
minimist;GA2;2;1;0;2909;0.0006870491240123669;3782;0.0007926023778071334;0
minimist;GA2;3;1;0;2905;0.0020611473720371005;3776;0.0023778071334214002;0
minimist;GA2;4;1;0;2903;0.0027481964960494676;3773;0.003170409511228534;0
minimist;GA2;5;1;0;2904;0.0024046719340432843;3770;0.003963011889035667;0
minimist;GA2;6;1;0;2909;0.0006870491240123669;3782;0.0007926023778071334;0
minimist;GA2;8;1;0;2883;0.009618687736173137;3743;0.011096433289299868;NaN
minimist;GA2;9;1;0;2909;0.0006870491240123669;3782;0.0007926023778071334;0
minimist;GA2;10;1;0;2909;0.0006870491240123669;3782;0.0007926023778071334;0
minimist;GA2;12;1;0;2907;0.0013740982480247338;3779;0.001585204755614267;0
minimist;GA2;13;1;0;2909;0.0006870491240123669;3782;0.0007926023778071334;0
minimist;GA2;14;1;0;2887;0.008244589488148402;3751;0.008982826948480845;0
minimist;GA2;15;1;0;2909;0.0006870491240123669;3782;0.0007926023778071334;0
minimist;GA2;16;1;0;2907;0.0013740982480247338;3776;0.0023778071334214002;0
minimist;GA2;17;1;0;2909;0.0006870491240123669;3782;0.0007926023778071334;0
minimist;GA2;18;1;0;2909;0.0006870491240123669;3782;0.0007926023778071334;0
minimist;GA2;19;1;0;2883;0.009618687736173137;3743;0.011096433289299868;0
minimist;GA2;20;1;0;2909;0.0006870491240123669;3782;0.0007926023778071334;0
minimist;GA2;21;1;0;2909;0.0006870491240123669;3782;0.0007926023778071334;0
