Lib;Heuristic;Trial;Lines;% Improved Loc;Chars;% Improved Chars;Instructions;% Improved Instructions;Time Spent
minimist;Original;-;1;0;2911;0;3785;0;0
minimist;RD;0;1;0;2852;0.02026794915836482;3693;0.02430647291941876;NaN
minimist;GA;N/A;1;0;2911;0;3785;0;0
minimist;GA2;8;1;0;2883;0.009618687736173137;3743;0.011096433289299868;NaN
minimist;HC;1;1;0;2909;0.0006870491240123669;3782;0.0007926023778071334;NaN
minimist;HC2;4;1;0;2834;0.026451391274476124;3685;0.026420079260237782;NaN
minimist;HC3;0;1;0;2830;0.02782548952250086;3676;0.02879788639365918;NaN
minimist;HC4;0;1;0;2830;0.02782548952250086;3676;0.02879788639365918;NaN
minimist;HC5;0;1;0;2830;0.02782548952250086;3676;0.02879788639365918;NaN
minimist;HC52;N/A;1;0;2911;0;3785;0;0
