Lib;Heuristic;Trial;Lines;% Improved Loc;Chars;% Improved Chars;Instructions;% Improved Instructions;Time Spent
moment;Original;-;1;0;48864;0;50355;0;0
moment;RD;0;1;0;48069;0.016269646365422396;49544;0.016105649885810744;NaN
moment;RD;1;1;0;47831;0.021140307793058283;49501;0.01695958693277728;NaN
moment;RD;2;1;0;47988;0.01792730844793713;49356;0.019839142091152815;NaN
moment;RD;3;1;0;48335;0.010825965946299934;49796;0.011101181610564989;0
moment;RD;4;1;0;48009;0.017497544204322202;49461;0.017753946976467084;0
moment;RD;5;1;0;47955;0.018602652259332022;49270;0.02154701618508589;NaN
moment;RD;7;1;0;47835;0.02105844793713163;49378;0.019402244067123424;NaN
moment;RD;8;1;0;48339;0.010744106090373282;49687;0.0132658127296197;0
moment;RD;9;1;0;48110;0.015430582842174198;49529;0.01640353490219442;0
moment;RD;10;1;0;48213;0.013322691552062869;49576;0.015470161850858902;0
moment;RD;11;1;0;47681;0.024210052390307792;49312;0.020712938139211597;NaN
moment;RD;12;1;0;47679;0.02425098231827112;49398;0.019005064045278523;NaN
moment;RD;13;1;0;48000;0.01768172888015717;49244;0.02206335021348426;NaN
moment;RD;14;1;0;47993;0.017824983628028816;49432;0.01832985800814219;NaN
moment;RD;15;1;0;47933;0.019052881466928618;49573;0.015529738854135637;NaN
moment;RD;16;1;0;48084;0.015962671905697445;49562;0.015748187866150332;NaN
moment;RD;17;1;0;48283;0.011890144073346431;49743;0.012153708668453977;0
moment;RD;18;1;0;47975;0.018193352979698756;49284;0.021268990169794458;NaN
moment;RD;19;1;0;47988;0.01792730844793713;49404;0.018885910038725053;0
moment;RD;20;1;0;48098;0.015676162409954158;49441;0.018151126998311985;0
moment;RD;21;1;0;48335;0.010825965946299934;49762;0.01177638764770132;0
moment;RD;22;1;0;48240;0.012770137524557957;49594;0.01511269983119849;0
moment;RD;23;1;0;47741;0.02298215455140799;49041;0.02609472743521001;NaN
moment;RD;25;1;0;48302;0.011501309757694827;49666;0.013682851752556846;0
moment;RD;26;1;0;48105;0.015532907662082514;49388;0.01920365405620097;0
moment;RD;27;1;0;48271;0.01213572364112639;49681;0.013384966736173171;0
moment;RD;28;1;0;47565;0.026583988212180748;49222;0.02250024823751365;NaN
moment;RD;29;1;0;47676;0.02431237721021611;49180;0.023334326283387944;NaN
moment;HC3;0;1;0;45829;0.06211116568434839;47201;0.06263528944494091;NaN
moment;HC3;1;1;0;45829;0.06211116568434839;47201;0.06263528944494091;0
moment;HC3;2;1;0;45829;0.06211116568434839;47201;0.06263528944494091;0
moment;HC3;3;1;0;45829;0.06211116568434839;47201;0.06263528944494091;0
moment;HC3;4;1;0;45829;0.06211116568434839;47201;0.06263528944494091;0
moment;HC3;5;1;0;45824;0.06221349050425671;47195;0.06275444345149439;NaN
moment;HC3;6;1;0;45829;0.06211116568434839;47201;0.06263528944494091;0
moment;HC3;7;1;0;45829;0.06211116568434839;47201;0.06263528944494091;0
moment;HC3;8;1;0;45829;0.06211116568434839;47201;0.06263528944494091;0
moment;HC3;9;1;0;45829;0.06211116568434839;47201;0.06263528944494091;0
moment;HC3;10;1;0;45829;0.06211116568434839;47201;0.06263528944494091;0
moment;HC3;11;1;0;45829;0.06211116568434839;47201;0.06263528944494091;0
moment;HC3;12;1;0;45829;0.06211116568434839;47201;0.06263528944494091;0
moment;HC3;13;1;0;45829;0.06211116568434839;47201;0.06263528944494091;0
moment;HC3;14;1;0;45829;0.06211116568434839;47201;0.06263528944494091;0
moment;HC3;15;1;0;45824;0.06221349050425671;47195;0.06275444345149439;0
moment;HC3;16;1;0;45829;0.06211116568434839;47201;0.06263528944494091;0
moment;HC3;17;1;0;45829;0.06211116568434839;47201;0.06263528944494091;0
moment;HC3;18;1;0;45833;0.06202930582842174;47272;0.06122530036739152;0
moment;HC3;19;1;0;45829;0.06211116568434839;47201;0.06263528944494091;0
moment;HC3;20;1;0;45829;0.06211116568434839;47201;0.06263528944494091;0
moment;HC3;21;1;0;45829;0.06211116568434839;47201;0.06263528944494091;0
moment;HC3;22;1;0;45829;0.06211116568434839;47201;0.06263528944494091;0
