Lib;Heuristic;Trial;Lines;% Improved Loc;Chars;% Improved Chars;Instructions;% Improved Instructions;Time Spent
moment;Original;-;1;0;48864;0;50355;0;0
moment;RD;29;1;0;47676;0.02431237721021611;49180;0.023334326283387944;NaN
moment;GA;N/A;1;0;48864;0;50355;0;0
moment;GA2;N/A;1;0;48864;0;50355;0;0
moment;HC;N/A;1;0;48864;0;50355;0;0
moment;HC2;N/A;1;0;48864;0;50355;0;0
moment;HC3;5;1;0;45824;0.06221349050425671;47195;0.06275444345149439;NaN
moment;HC4;N/A;1;0;48864;0;50355;0;0
moment;HC5;N/A;1;0;48864;0;50355;0;0
moment;HC52;N/A;1;0;48864;0;50355;0;0
