Lib;Heuristic;Trial;Lines;% Improved Loc;Chars;% Improved Chars;Instructions;% Improved Instructions;Time Spent
node-browserify;Original;-;1;0;13099;0;12470;0;0
node-browserify;RD;1;1;0;11309;0.13665165279792352;10805;0.13352044907778668;NaN
node-browserify;RD;2;1;0;11449;0.12596381403160548;10954;0.12157177225340818;0
node-browserify;RD;5;1;0;11300;0.1373387281471868;10686;0.14306335204490778;NaN
node-browserify;RD;6;1;0;11399;0.1297808993052905;10780;0.13552526062550121;0
node-browserify;RD;10;1;0;11649;0.11069547293686541;11130;0.107457898957498;0
node-browserify;RD;11;1;0;11904;0.09122833804107183;11441;0.08251804330392944;0
node-browserify;RD;12;1;0;12975;0.009466371478738834;12335;0.01082598235765838;0
node-browserify;RD;13;1;0;11196;0.14527826551645165;10695;0.14234161988773056;NaN
node-browserify;RD;15;1;0;11282;0.1387128788457134;10761;0.13704891740176423;0
node-browserify;RD;17;1;0;11481;0.12352087945644706;10794;0.13440256615878107;0
node-browserify;RD;19;1;0;11167;0.14749217497518893;10724;0.14001603849238173;NaN
node-browserify;RD;20;1;0;11521;0.12046721123749904;11008;0.11724137931034483;0
node-browserify;RD;25;1;0;11219;0.14352240629055654;10721;0.14025661587810745;NaN
node-browserify;RD;26;1;0;11285;0.1384838537292923;10720;0.14033680834001605;NaN
node-browserify;RD;28;1;0;12616;0.03687304374379723;11981;0.03921411387329591;0
node-browserify;HC3;0;1;0;12789;0.023665928696847086;12099;0.0297514033680834;NaN
node-browserify;HC3;1;1;0;12789;0.023665928696847086;12099;0.0297514033680834;0
node-browserify;HC3;2;1;0;12789;0.023665928696847086;12099;0.0297514033680834;0
node-browserify;HC3;3;1;0;12797;0.023055195053057486;12108;0.029029671210906174;0
node-browserify;HC3;4;1;0;12797;0.023055195053057486;12108;0.029029671210906174;0
node-browserify;HC3;5;1;0;12774;0.024811054278952593;12087;0.030713712910986367;NaN
node-browserify;HC3;6;1;0;12774;0.024811054278952593;12087;0.030713712910986367;0
node-browserify;HC3;7;1;0;12797;0.023055195053057486;12108;0.029029671210906174;0
node-browserify;HC3;8;1;0;12797;0.023055195053057486;12108;0.029029671210906174;0
node-browserify;HC3;9;1;0;12797;0.023055195053057486;12108;0.029029671210906174;0
node-browserify;HC3;10;1;0;12797;0.023055195053057486;12108;0.029029671210906174;0
node-browserify;HC3;11;1;0;12774;0.024811054278952593;12087;0.030713712910986367;0
node-browserify;HC3;12;1;0;12797;0.023055195053057486;12108;0.029029671210906174;0
node-browserify;HC3;13;1;0;12797;0.023055195053057486;12108;0.029029671210906174;0
node-browserify;HC3;14;1;0;12797;0.023055195053057486;12108;0.029029671210906174;0
node-browserify;HC3;15;1;0;12797;0.023055195053057486;12108;0.029029671210906174;0
node-browserify;HC3;16;1;0;12789;0.023665928696847086;12099;0.0297514033680834;0
node-browserify;HC3;17;1;0;12789;0.023665928696847086;12099;0.0297514033680834;0
node-browserify;HC3;18;1;0;12797;0.023055195053057486;12108;0.029029671210906174;0
node-browserify;HC3;19;1;0;12797;0.023055195053057486;12108;0.029029671210906174;0
node-browserify;HC3;20;1;0;12774;0.024811054278952593;12087;0.030713712910986367;0
node-browserify;HC3;21;1;0;12789;0.023665928696847086;12099;0.0297514033680834;0
node-browserify;HC3;22;1;0;12797;0.023055195053057486;12108;0.029029671210906174;0
node-browserify;HC3;23;1;0;12774;0.024811054278952593;12087;0.030713712910986367;0
node-browserify;HC3;24;1;0;12797;0.023055195053057486;12108;0.029029671210906174;0
node-browserify;HC3;25;1;0;12774;0.024811054278952593;12087;0.030713712910986367;0
node-browserify;HC3;26;1;0;12789;0.023665928696847086;12099;0.0297514033680834;0
node-browserify;HC3;27;1;0;12797;0.023055195053057486;12108;0.029029671210906174;0
node-browserify;HC3;28;1;0;12797;0.023055195053057486;12108;0.029029671210906174;0
node-browserify;HC3;29;1;0;12774;0.024811054278952593;12087;0.030713712910986367;0
node-browserify;HC4;0;1;0;12797;0.023055195053057486;12108;0.029029671210906174;NaN
node-browserify;HC4;1;1;0;12797;0.023055195053057486;12108;0.029029671210906174;0
node-browserify;HC4;2;1;0;12789;0.023665928696847086;12099;0.0297514033680834;NaN
node-browserify;HC4;3;1;0;12774;0.024811054278952593;12087;0.030713712910986367;NaN
node-browserify;HC4;4;1;0;12789;0.023665928696847086;12099;0.0297514033680834;0
node-browserify;HC4;5;1;0;12797;0.023055195053057486;12108;0.029029671210906174;0
node-browserify;HC4;6;1;0;12797;0.023055195053057486;12108;0.029029671210906174;0
node-browserify;HC4;7;1;0;12774;0.024811054278952593;12087;0.030713712910986367;0
node-browserify;HC4;8;1;0;12774;0.024811054278952593;12087;0.030713712910986367;0
node-browserify;HC4;9;1;0;12797;0.023055195053057486;12108;0.029029671210906174;0
node-browserify;HC4;10;1;0;12797;0.023055195053057486;12108;0.029029671210906174;0
node-browserify;HC4;11;1;0;12789;0.023665928696847086;12099;0.0297514033680834;0
node-browserify;HC4;12;1;0;12789;0.023665928696847086;12099;0.0297514033680834;0
node-browserify;HC4;13;1;0;12789;0.023665928696847086;12099;0.0297514033680834;0
node-browserify;HC4;14;1;0;12797;0.023055195053057486;12108;0.029029671210906174;0
node-browserify;HC4;15;1;0;12789;0.023665928696847086;12099;0.0297514033680834;0
node-browserify;HC4;16;1;0;12797;0.023055195053057486;12108;0.029029671210906174;0
node-browserify;HC4;17;1;0;12789;0.023665928696847086;12099;0.0297514033680834;0
node-browserify;HC4;18;1;0;12797;0.023055195053057486;12108;0.029029671210906174;0
node-browserify;HC4;19;1;0;12774;0.024811054278952593;12087;0.030713712910986367;0
node-browserify;HC4;20;1;0;12797;0.023055195053057486;12108;0.029029671210906174;0
node-browserify;HC4;21;1;0;12797;0.023055195053057486;12108;0.029029671210906174;0
node-browserify;HC4;22;1;0;12797;0.023055195053057486;12108;0.029029671210906174;0
node-browserify;HC4;23;1;0;12774;0.024811054278952593;12087;0.030713712910986367;0
node-browserify;HC4;24;1;0;12774;0.024811054278952593;12087;0.030713712910986367;0
node-browserify;HC4;25;1;0;12797;0.023055195053057486;12108;0.029029671210906174;0
node-browserify;HC4;26;1;0;12774;0.024811054278952593;12087;0.030713712910986367;0
node-browserify;HC4;27;1;0;12797;0.023055195053057486;12108;0.029029671210906174;0
node-browserify;HC4;28;1;0;12774;0.024811054278952593;12087;0.030713712910986367;0
node-browserify;HC4;29;1;0;12774;0.024811054278952593;12087;0.030713712910986367;0
node-browserify;HC5;0;1;0;12774;0.024811054278952593;12087;0.030713712910986367;NaN
node-browserify;HC5;1;1;0;12797;0.023055195053057486;12108;0.029029671210906174;0
node-browserify;HC5;2;1;0;12797;0.023055195053057486;12108;0.029029671210906174;0
node-browserify;HC5;3;1;0;12774;0.024811054278952593;12087;0.030713712910986367;0
node-browserify;HC5;4;1;0;12797;0.023055195053057486;12108;0.029029671210906174;0
node-browserify;HC5;5;1;0;12774;0.024811054278952593;12087;0.030713712910986367;0
node-browserify;HC5;6;1;0;12774;0.024811054278952593;12087;0.030713712910986367;0
node-browserify;HC5;7;1;0;12774;0.024811054278952593;12087;0.030713712910986367;0
node-browserify;HC5;8;1;0;12789;0.023665928696847086;12099;0.0297514033680834;0
node-browserify;HC5;9;1;0;12774;0.024811054278952593;12087;0.030713712910986367;0
node-browserify;HC5;10;1;0;12789;0.023665928696847086;12099;0.0297514033680834;0
node-browserify;HC5;11;1;0;12797;0.023055195053057486;12108;0.029029671210906174;0
node-browserify;HC5;12;1;0;12789;0.023665928696847086;12099;0.0297514033680834;0
node-browserify;HC5;13;1;0;12797;0.023055195053057486;12108;0.029029671210906174;0
node-browserify;HC5;14;1;0;12774;0.024811054278952593;12087;0.030713712910986367;0
node-browserify;HC5;15;1;0;12797;0.023055195053057486;12108;0.029029671210906174;0
node-browserify;HC5;16;1;0;12797;0.023055195053057486;12108;0.029029671210906174;0
node-browserify;HC5;17;1;0;12797;0.023055195053057486;12108;0.029029671210906174;0
node-browserify;HC5;18;1;0;12774;0.024811054278952593;12087;0.030713712910986367;0
node-browserify;HC5;19;1;0;12774;0.024811054278952593;12087;0.030713712910986367;0
node-browserify;HC5;20;1;0;12789;0.023665928696847086;12099;0.0297514033680834;0
node-browserify;HC5;21;1;0;12797;0.023055195053057486;12108;0.029029671210906174;0
node-browserify;HC5;22;1;0;12797;0.023055195053057486;12108;0.029029671210906174;0
node-browserify;HC5;23;1;0;12789;0.023665928696847086;12099;0.0297514033680834;0
node-browserify;HC5;24;1;0;12797;0.023055195053057486;12108;0.029029671210906174;0
node-browserify;HC5;25;1;0;12797;0.023055195053057486;12108;0.029029671210906174;0
node-browserify;HC5;26;1;0;12797;0.023055195053057486;12108;0.029029671210906174;0
node-browserify;HC5;27;1;0;12797;0.023055195053057486;12108;0.029029671210906174;0
node-browserify;HC5;28;1;0;12797;0.023055195053057486;12108;0.029029671210906174;0
node-browserify;HC5;29;1;0;12797;0.023055195053057486;12108;0.029029671210906174;0
