Lib;Heuristic;Trial;Lines;% Improved Loc;Chars;% Improved Chars;Instructions;% Improved Instructions;Time Spent
plivo-node;Original;-;1;0;12318;0;9604;0;0
plivo-node;RD;0;1;0;5144;0.5823997402175678;3962;0.5874635568513119;NaN
plivo-node;RD;1;1;0;5057;0.5894625750933593;3896;0.5943356934610579;NaN
plivo-node;RD;2;1;0;5099;0.5860529306705634;3953;0.5884006663890046;0
plivo-node;RD;3;1;0;5181;0.5793960058451048;4001;0.5834027488546439;0
plivo-node;RD;4;1;0;5386;0.562753693781458;4079;0.5752811328613078;0
plivo-node;RD;5;1;0;5089;0.5868647507712291;3907;0.5931903373594336;0
plivo-node;RD;6;1;0;5385;0.5628348757915246;4104;0.5726780508121616;0
plivo-node;RD;7;1;0;4855;0.6058613411268063;3779;0.6065181174510621;NaN
plivo-node;RD;8;1;0;5262;0.5728202630297126;4158;0.5670553935860059;0
plivo-node;RD;9;1;0;4777;0.6121935379119987;3680;0.6168263223656809;NaN
plivo-node;RD;10;1;0;4716;0.6171456405260595;3572;0.6280716368179925;NaN
plivo-node;RD;11;1;0;5170;0.5802890079558369;3872;0.5968346522282383;0
plivo-node;RD;12;1;0;4883;0.6035882448449423;3781;0.6063098708871304;0
plivo-node;RD;13;1;0;5282;0.5711966228283812;3996;0.5839233652644731;0
plivo-node;RD;14;1;0;5393;0.562185419710992;4144;0.5685131195335277;0
plivo-node;RD;15;1;0;5063;0.5889754830329599;3903;0.593606830487297;0
plivo-node;RD;16;1;0;5197;0.5780970936840396;3971;0.5865264473136194;0
plivo-node;RD;17;1;0;7076;0.425556096768956;5348;0.44314868804664725;0
plivo-node;RD;20;1;0;5205;0.577447637603507;4054;0.5778842149104539;0
plivo-node;RD;21;1;0;4955;0.5977431401201494;3781;0.6063098708871304;0
plivo-node;RD;22;1;0;4591;0.6272933917843806;3609;0.6242190753852561;NaN
plivo-node;RD;23;1;0;4884;0.6035070628348758;3749;0.6096418159100375;0
plivo-node;RD;24;1;0;5626;0.5432700113654814;4394;0.5424822990420658;0
plivo-node;RD;25;1;0;5432;0.5590193213183958;4192;0.563515201999167;0
plivo-node;RD;26;1;0;5664;0.5401850949829518;4391;0.5427946688879633;0
plivo-node;RD;27;1;0;5536;0.5505763922714726;4211;0.5615368596418159;0
plivo-node;RD;28;1;0;5391;0.5623477837311252;4101;0.5729904206580592;0
plivo-node;RD;29;1;0;5335;0.566893976294853;4146;0.568304872969596;0
plivo-node;GA2;0;1;0;12249;0.005601558694593278;9557;0.004893794252394836;NaN
plivo-node;GA2;1;1;0;12191;0.010310115278454294;9529;0.007809246147438567;NaN
plivo-node;GA2;2;1;0;12173;0.01177139145965254;9464;0.014577259475218658;NaN
plivo-node;GA2;3;1;0;12259;0.004789738593927586;9566;0.003956684714702207;0
plivo-node;GA2;4;1;0;12231;0.007062834875791525;9549;0.005726780508121616;0
plivo-node;GA2;5;1;0;12280;0.0030849163825296313;9585;0.0019783423573511037;0
plivo-node;GA2;6;1;0;12295;0.0018671862315310928;9589;0.0015618492294877135;0
plivo-node;GA2;7;1;0;12306;0.000974184120798831;9603;0.00010412328196584757;0
plivo-node;GA2;8;1;0;12108;0.017048222113979543;9462;0.014785506039150353;NaN
plivo-node;GA2;9;1;0;12307;0.0008930021107322617;9597;0.0007288629737609329;0
plivo-node;GA2;10;1;0;12227;0.007387562916057802;9541;0.006559766763848397;0
plivo-node;GA2;11;1;0;12226;0.007468744926124371;9518;0.00895460224906289;0
plivo-node;GA2;12;1;0;12261;0.004627374573794447;9575;0.0030195751770095793;0
plivo-node;GA2;13;1;0;12131;0.01518103588244845;9459;0.015097875885047896;NaN
plivo-node;GA2;14;1;0;12284;0.0027601883422633546;9587;0.0017700957934194085;0
plivo-node;GA2;15;1;0;12177;0.011446663419386265;9519;0.008850478967097043;0
plivo-node;GA2;16;1;0;12224;0.007631108946257509;9552;0.005414410662224073;0
plivo-node;GA2;17;1;0;12244;0.0060074687449261244;9557;0.004893794252394836;0
