Lib;Heuristic;Trial;Lines;% Improved Loc;Chars;% Improved Chars;Instructions;% Improved Instructions;Time Spent
plivo-node;Original;-;1;0;12318;0;9604;0;0
plivo-node;RD;22;1;0;4591;0.6272933917843806;3609;0.6242190753852561;NaN
plivo-node;GA;N/A;1;0;12318;0;9604;0;0
plivo-node;GA2;21;1;0;12106;0.01721058613411268;9444;0.01665972511453561;NaN
plivo-node;HC;0;1;0;12232;0.006981652865724956;9505;0.010308204914618908;NaN
plivo-node;HC2;23;1;0;9446;0.23315473291118688;7247;0.24541857559350272;NaN
plivo-node;HC3;20;1;0;4065;0.669995129079396;2978;0.6899208663057059;NaN
plivo-node;HC4;3;1;0;4042;0.6718623153109271;2990;0.6886713869221158;NaN
plivo-node;HC5;4;1;0;3421;0.7222763435622666;2561;0.7333402748854644;NaN
plivo-node;HC52;N/A;1;0;12318;0;9604;0;0
