Lib;Heuristic;Trial;Lines;% Improved Loc;Chars;% Improved Chars;Instructions;% Improved Instructions;Time Spent
tleaf;Original;-;1;0;1722;0;1563;0;0
tleaf;RD;0;1;0;620;0.6399535423925667;503;0.6781829814459372;NaN
tleaf;RD;1;1;0;666;0.6132404181184669;534;0.6583493282149712;0
tleaf;RD;2;1;0;619;0.640534262485482;500;0.6801023672424824;NaN
tleaf;RD;3;1;0;619;0.640534262485482;500;0.6801023672424824;0
tleaf;RD;4;1;0;619;0.640534262485482;500;0.6801023672424824;0
tleaf;RD;8;1;0;620;0.6399535423925667;503;0.6781829814459372;0
tleaf;RD;9;1;0;621;0.6393728222996515;506;0.6762635956493922;0
tleaf;RD;10;1;0;620;0.6399535423925667;503;0.6781829814459372;0
tleaf;RD;11;1;0;619;0.640534262485482;500;0.6801023672424824;0
tleaf;RD;12;1;0;670;0.610917537746806;537;0.6564299424184261;0
tleaf;RD;13;1;0;619;0.640534262485482;500;0.6801023672424824;0
tleaf;RD;14;1;0;620;0.6399535423925667;503;0.6781829814459372;0
tleaf;RD;15;1;0;641;0.6277584204413472;516;0.6698656429942419;0
tleaf;RD;16;1;0;620;0.6399535423925667;503;0.6781829814459372;0
tleaf;RD;17;1;0;619;0.640534262485482;500;0.6801023672424824;0
tleaf;RD;18;1;0;619;0.640534262485482;500;0.6801023672424824;0
tleaf;RD;19;1;0;619;0.640534262485482;500;0.6801023672424824;0
tleaf;RD;20;1;0;619;0.640534262485482;500;0.6801023672424824;0
tleaf;RD;21;1;0;620;0.6399535423925667;503;0.6781829814459372;0
tleaf;RD;22;1;0;661;0.616144018583043;523;0.6653870761356366;0
tleaf;RD;23;1;0;628;0.6353077816492451;517;0.6692258477287268;0
tleaf;RD;24;1;0;619;0.640534262485482;500;0.6801023672424824;0
tleaf;RD;25;1;0;620;0.6399535423925667;503;0.6781829814459372;0
tleaf;RD;26;1;0;620;0.6399535423925667;503;0.6781829814459372;0
tleaf;RD;27;1;0;620;0.6399535423925667;503;0.6781829814459372;0
tleaf;RD;28;1;0;619;0.640534262485482;500;0.6801023672424824;0
tleaf;RD;29;1;0;622;0.6387921022067363;509;0.674344209852847;0
tleaf;GA2;0;1;0;1500;0.1289198606271777;1349;0.13691618682021753;NaN
tleaf;GA2;1;1;0;1500;0.1289198606271777;1349;0.13691618682021753;0
tleaf;GA2;2;1;0;1500;0.1289198606271777;1349;0.13691618682021753;0
tleaf;GA2;3;1;0;1603;0.06910569105691057;1428;0.08637236084452975;0
tleaf;GA2;4;1;0;1571;0.08768873403019745;1402;0.10300703774792067;0
tleaf;GA2;5;1;0;1611;0.06445993031358885;1496;0.04286628278950736;0
tleaf;GA2;6;1;0;1699;0.013356562137049941;1548;0.009596928982725527;0
tleaf;GA2;7;1;0;1540;0.10569105691056911;1374;0.12092130518234165;0
tleaf;GA2;8;1;0;1568;0.08943089430894309;1395;0.10748560460652591;0
tleaf;GA2;9;1;0;1568;0.08943089430894309;1395;0.10748560460652591;0
tleaf;GA2;10;1;0;1629;0.05400696864111498;1494;0.044145873320537425;0
tleaf;GA2;11;1;0;1500;0.1289198606271777;1349;0.13691618682021753;0
tleaf;GA2;12;1;0;1500;0.1289198606271777;1349;0.13691618682021753;0
tleaf;GA2;13;1;0;1500;0.1289198606271777;1349;0.13691618682021753;0
tleaf;GA2;14;1;0;1687;0.02032520325203252;1546;0.010876519513755598;0
tleaf;GA2;15;1;0;1589;0.07723577235772358;1414;0.09532949456174024;0
tleaf;GA2;16;1;0;1606;0.06736353077816493;1431;0.08445297504798464;0
tleaf;GA2;17;1;0;1589;0.07723577235772358;1414;0.09532949456174024;0
tleaf;GA2;18;1;0;1568;0.08943089430894309;1395;0.10748560460652591;0
tleaf;GA2;19;1;0;1500;0.1289198606271777;1349;0.13691618682021753;0
tleaf;GA2;20;1;0;1589;0.07723577235772358;1414;0.09532949456174024;0
tleaf;GA2;21;1;0;1665;0.033101045296167246;1505;0.037108125399872044;0
tleaf;GA2;22;1;0;1618;0.06039488966318235;1444;0.07613563659628919;0
tleaf;GA2;23;1;0;1500;0.1289198606271777;1349;0.13691618682021753;0
tleaf;GA2;24;1;0;1545;0.10278745644599303;1380;0.11708253358925144;0
tleaf;GA2;25;1;0;1545;0.10278745644599303;1380;0.11708253358925144;0
tleaf;GA2;26;1;0;1500;0.1289198606271777;1349;0.13691618682021753;0
tleaf;GA2;27;1;0;1568;0.08943089430894309;1395;0.10748560460652591;0
tleaf;GA2;28;1;0;1500;0.1289198606271777;1349;0.13691618682021753;0
tleaf;GA2;29;1;0;1500;0.1289198606271777;1349;0.13691618682021753;0
tleaf;HC;0;1;0;1589;0.07723577235772358;1414;0.09532949456174024;NaN
tleaf;HC;1;1;0;1589;0.07723577235772358;1414;0.09532949456174024;0
tleaf;HC;2;1;0;1589;0.07723577235772358;1414;0.09532949456174024;0
tleaf;HC;3;1;0;1589;0.07723577235772358;1414;0.09532949456174024;0
tleaf;HC;4;1;0;1589;0.07723577235772358;1414;0.09532949456174024;0
tleaf;HC;5;1;0;1689;0.01916376306620209;1533;0.019193857965451054;0
tleaf;HC;6;1;0;1707;0.008710801393728223;1540;0.01471529110684581;0
tleaf;HC;8;1;0;1589;0.07723577235772358;1414;0.09532949456174024;0
tleaf;HC;9;1;0;1589;0.07723577235772358;1414;0.09532949456174024;0
tleaf;HC;10;1;0;1589;0.07723577235772358;1414;0.09532949456174024;0
tleaf;HC;11;1;0;1589;0.07723577235772358;1414;0.09532949456174024;0
tleaf;HC;12;1;0;1589;0.07723577235772358;1414;0.09532949456174024;0
tleaf;HC;13;1;0;1589;0.07723577235772358;1414;0.09532949456174024;0
tleaf;HC;14;1;0;1589;0.07723577235772358;1414;0.09532949456174024;0
tleaf;HC;15;1;0;1589;0.07723577235772358;1414;0.09532949456174024;0
tleaf;HC;16;1;0;1589;0.07723577235772358;1414;0.09532949456174024;0
tleaf;HC;17;1;0;1589;0.07723577235772358;1414;0.09532949456174024;0
tleaf;HC;18;1;0;1589;0.07723577235772358;1414;0.09532949456174024;0
tleaf;HC;19;1;0;1589;0.07723577235772358;1414;0.09532949456174024;0
tleaf;HC;20;1;0;1589;0.07723577235772358;1414;0.09532949456174024;0
tleaf;HC;21;1;0;1589;0.07723577235772358;1414;0.09532949456174024;0
tleaf;HC;22;1;0;1589;0.07723577235772358;1414;0.09532949456174024;0
tleaf;HC;23;1;0;1589;0.07723577235772358;1414;0.09532949456174024;0
tleaf;HC;24;1;0;1589;0.07723577235772358;1414;0.09532949456174024;0
tleaf;HC;25;1;0;1589;0.07723577235772358;1414;0.09532949456174024;0
tleaf;HC;26;1;0;1589;0.07723577235772358;1414;0.09532949456174024;0
tleaf;HC;27;1;0;1589;0.07723577235772358;1414;0.09532949456174024;0
tleaf;HC;28;1;0;1589;0.07723577235772358;1414;0.09532949456174024;0
tleaf;HC;29;1;0;1589;0.07723577235772358;1414;0.09532949456174024;0
tleaf;HC2;0;1;0;1338;0.2229965156794425;1170;0.2514395393474088;NaN
tleaf;HC2;1;1;0;1309;0.23983739837398374;1210;0.22584772872680742;NaN
tleaf;HC2;2;1;0;1310;0.23925667828106853;1158;0.2591170825335892;NaN
tleaf;HC2;3;1;0;1256;0.2706155632984901;1103;0.2943058221369162;NaN
tleaf;HC2;4;1;0;1212;0.2961672473867596;1066;0.3179782469609725;NaN
tleaf;HC2;5;1;0;1205;0.30023228803716606;1064;0.31925783749200254;NaN
tleaf;HC2;6;1;0;1384;0.19628339140534262;1168;0.2527191298784389;0
tleaf;HC2;7;1;0;1308;0.24041811846689895;1178;0.24632117722328856;0
tleaf;HC2;8;1;0;1255;0.27119628339140534;1128;0.2783109404990403;0
tleaf;HC2;9;1;0;1255;0.27119628339140534;1089;0.30326295585412666;0
tleaf;HC2;10;1;0;1334;0.22531939605110338;1185;0.2418426103646833;0
tleaf;HC2;11;1;0;1180;0.3147502903600465;1043;0.3326935380678183;NaN
tleaf;HC2;12;1;0;1287;0.25261324041811845;1120;0.2834293026231606;0
tleaf;HC2;13;1;0;1221;0.29094076655052264;1097;0.2981445937300064;0
tleaf;HC2;14;1;0;1338;0.2229965156794425;1173;0.2495201535508637;0
tleaf;HC2;15;1;0;1244;0.2775842044134727;1069;0.3160588611644274;0
tleaf;HC2;16;1;0;1193;0.30720092915214864;1058;0.32309660908509275;0
tleaf;HC2;17;1;0;1212;0.2961672473867596;1077;0.31094049904030713;0
tleaf;HC2;18;1;0;1228;0.2868757259001161;1064;0.31925783749200254;0
tleaf;HC2;19;1;0;1209;0.2979094076655052;1089;0.30326295585412666;0
tleaf;HC2;20;1;0;1131;0.343205574912892;983;0.3710812539987204;NaN
tleaf;HC2;21;1;0;1209;0.2979094076655052;1051;0.327575175943698;0
tleaf;HC2;22;1;0;1180;0.3147502903600465;1030;0.34101087651951373;0
tleaf;HC2;23;1;0;1176;0.3170731707317073;1031;0.34037108125399873;0
tleaf;HC2;24;1;0;1196;0.305458768873403;1084;0.30646193218170187;0
tleaf;HC2;25;1;0;1273;0.2607433217189315;1158;0.2591170825335892;0
tleaf;HC2;26;1;0;1328;0.22880371660859466;1167;0.2533589251439539;0
tleaf;HC2;27;1;0;1211;0.2967479674796748;1087;0.30454254638515676;0
tleaf;HC2;28;1;0;1241;0.27932636469221833;1101;0.29558541266794625;0
tleaf;HC2;29;1;0;1184;0.3124274099883856;1022;0.34612923864363404;0
tleaf;HC3;0;1;0;569;0.6695702671312428;457;0.7076135636596289;NaN
tleaf;HC3;1;1;0;569;0.6695702671312428;457;0.7076135636596289;0
tleaf;HC3;2;1;0;569;0.6695702671312428;457;0.7076135636596289;0
tleaf;HC3;3;1;0;569;0.6695702671312428;457;0.7076135636596289;0
tleaf;HC3;4;1;0;569;0.6695702671312428;457;0.7076135636596289;0
tleaf;HC3;5;1;0;569;0.6695702671312428;457;0.7076135636596289;0
tleaf;HC3;6;1;0;569;0.6695702671312428;457;0.7076135636596289;0
tleaf;HC3;7;1;0;569;0.6695702671312428;457;0.7076135636596289;0
tleaf;HC3;8;1;0;569;0.6695702671312428;457;0.7076135636596289;0
tleaf;HC3;9;1;0;569;0.6695702671312428;457;0.7076135636596289;0
tleaf;HC3;10;1;0;569;0.6695702671312428;457;0.7076135636596289;0
tleaf;HC3;11;1;0;569;0.6695702671312428;457;0.7076135636596289;0
tleaf;HC3;12;1;0;569;0.6695702671312428;457;0.7076135636596289;0
tleaf;HC3;13;1;0;569;0.6695702671312428;457;0.7076135636596289;0
tleaf;HC3;14;1;0;569;0.6695702671312428;457;0.7076135636596289;0
tleaf;HC3;15;1;0;569;0.6695702671312428;457;0.7076135636596289;0
tleaf;HC3;16;1;0;569;0.6695702671312428;457;0.7076135636596289;0
tleaf;HC3;17;1;0;569;0.6695702671312428;457;0.7076135636596289;0
