Lib;Heuristic;Trial;Lines;% Improved Loc;Chars;% Improved Chars;Instructions;% Improved Instructions;Time Spent
tleaf;Original;-;1;0;1722;0;1563;0;0
tleaf;RD;2;1;0;619;0.640534262485482;500;0.6801023672424824;NaN
tleaf;GA;N/A;1;0;1722;0;1563;0;0
tleaf;GA2;0;1;0;1500;0.1289198606271777;1349;0.13691618682021753;NaN
tleaf;HC;0;1;0;1589;0.07723577235772358;1414;0.09532949456174024;NaN
tleaf;HC2;20;1;0;1131;0.343205574912892;983;0.3710812539987204;NaN
tleaf;HC3;0;1;0;569;0.6695702671312428;457;0.7076135636596289;NaN
tleaf;HC4;0;1;0;569;0.6695702671312428;457;0.7076135636596289;NaN
tleaf;HC5;0;1;0;569;0.6695702671312428;457;0.7076135636596289;NaN
tleaf;HC52;N/A;1;0;1722;0;1563;0;0
