heuristic,trial,originalIndividualAvgTime,originalIndividualLOC,originalIndividualCharacters,bestIndividualAvgTime,bestIndividualLOC,bestIndividualCharacters,time,better
HC2,0,"59479",1481,59479,"56698",1429,56698,"11987,964",true
HC2,1,"59479",1481,59479,"56767",1431,56767,"12384,104",true
HC2,2,"59479",1481,59479,"56698",1429,56698,"12016,196",true
HC2,3,"59479",1481,59479,"56698",1429,56698,"12172,067",true
HC2,4,"59479",1481,59479,"56647",1426,56647,"12285,238",true
HC2,5,"59479",1481,59479,"56647",1426,56647,"12349,691",true
HC2,6,"59479",1481,59479,"56647",1426,56647,"12041,574",true
HC2,7,"59479",1481,59479,"56628",1424,56628,"11932,52",true
HC2,8,"59479",1481,59479,"56578",1424,56578,"12416,742",true
HC2,9,"59479",1481,59479,"56768",1427,56768,"12050,383",true
HC2,10,"59479",1481,59479,"56767",1431,56767,"11911,59",true
HC2,11,"59479",1481,59479,"56647",1426,56647,"11977,124",true
HC2,12,"59479",1481,59479,"56578",1424,56578,"12092,57",true
HC2,13,"59479",1481,59479,"56647",1426,56647,"12066,853",true
HC2,14,"59479",1481,59479,"56578",1424,56578,"11960,717",true
HC2,15,"59479",1481,59479,"56578",1424,56578,"11988,806",true
HC2,16,"59479",1481,59479,"56673",1424,56673,"11658,424",true
HC2,17,"59479",1481,59479,"56578",1424,56578,"12071,698",true
HC2,18,"59479",1481,59479,"56578",1424,56578,"12046,355",true
HC2,19,"59479",1481,59479,"56647",1426,56647,"12000,619",true
HC2,20,"59479",1481,59479,"56698",1429,56698,"12091,326",true
HC2,24,"59479",1481,59479,"56578",1424,56578,"11913,326",true
HC2,25,"59479",1481,59479,"56647",1426,56647,"12003,857",true
HC2,26,"59479",1481,59479,"56937",1433,56937,"11652,196",true
HC2,27,"59479",1481,59479,"56647",1426,56647,"12045,762",true
HC2,28,"59479",1481,59479,"56578",1424,56578,"11905,32",true
HC2,29,"59479",1481,59479,"56578",1424,56578,"12317,333",true
HC3,0,"59479",1481,59479,"56587",1424,56587,"31869,969",true
HC3,1,"59479",1481,59479,"56587",1424,56587,"31807,877",true
HC3,2,"59479",1481,59479,"56587",1424,56587,"31983,966",true
HC3,3,"59479",1481,59479,"56587",1424,56587,"32051,514",true
HC3,4,"59479",1481,59479,"56587",1424,56587,"32816,356",true
HC3,5,"59479",1481,59479,"56587",1424,56587,"33092,77",true
HC3,6,"59479",1481,59479,"56587",1424,56587,"33035,758",true
HC3,7,"59479",1481,59479,"56587",1424,56587,"33227,059",true
HC3,8,"59479",1481,59479,"56587",1424,56587,"32848,175",true
HC3,9,"59479",1481,59479,"56587",1424,56587,"33238,766",true
HC3,10,"59479",1481,59479,"56587",1424,56587,"33007,596",true
HC3,11,"59479",1481,59479,"56587",1424,56587,"32504,437",true
HC3,12,"59479",1481,59479,"56587",1424,56587,"32887,168",true
HC3,13,"59479",1481,59479,"56587",1424,56587,"32906,322",true
HC3,14,"59479",1481,59479,"56587",1424,56587,"33035,053",true
HC3,15,"59479",1481,59479,"56587",1424,56587,"33050,511",true
HC3,16,"59479",1481,59479,"56587",1424,56587,"33321,173",true
HC3,17,"59479",1481,59479,"56587",1424,56587,"33236,721",true
HC3,18,"59479",1481,59479,"56587",1424,56587,"33310,366",true
HC3,19,"59479",1481,59479,"56587",1424,56587,"33390,928",true
HC3,20,"59479",1481,59479,"56587",1424,56587,"33501,872",true
