Lib;Heuristic;Trial;Lines;% Improved Loc;Chars;% Improved Chars;Instructions;% Improved Instructions;Time Spent
underscore;Original;-;1;0;16161;0;19481;0;0
underscore;RD;6;1;0;15072;0.06738444403192871;18256;0.06288178224937119;NaN
underscore;GA;N/A;1;0;16161;0;19481;0;0
underscore;GA2;N/A;1;0;16161;0;19481;0;0
underscore;HC;N/A;1;0;16161;0;19481;0;0
underscore;HC2;17;1;0;15145;0.06286739681950375;18035;0.07422616908782917;NaN
underscore;HC3;0;1;0;15147;0.06274364210135512;18038;0.07407217288640214;NaN
underscore;HC4;1;1;0;15145;0.06286739681950375;18035;0.07422616908782917;NaN
underscore;HC5;N/A;1;0;16161;0;19481;0;0
underscore;HC52;N/A;1;0;16161;0;19481;0;0
