Lib;Heuristic;Trial;Lines;% Improved Loc;Chars;% Improved Chars;Instructions;% Improved Instructions;Time Spent
uuid;Original;-;1;0;4029;0;3707;0;0
uuid;RD;1;1;0;3079;0.23579051873914122;2738;0.26139735635284594;NaN
uuid;RD;2;1;0;3086;0.23405311491685282;2718;0.2667925546263825;NaN
uuid;RD;3;1;0;3102;0.23008190618019358;2761;0.2551928783382789;0
uuid;RD;4;1;0;3229;0.19856043683296104;2873;0.22497976800647423;0
uuid;RD;5;1;0;3225;0.19955323901712585;2884;0.22201240895602914;0
uuid;RD;6;1;0;3065;0.23926532638371806;2708;0.2694901537631508;NaN
uuid;RD;8;1;0;3117;0.22635889798957556;2769;0.25303479902886433;0
uuid;RD;9;1;0;3086;0.23405311491685282;2722;0.2657135149716752;0
uuid;RD;10;1;0;3160;0.21568627450980393;2811;0.24170488265443754;0
uuid;RD;11;1;0;3092;0.2325639116406056;2740;0.2608578365254923;0
uuid;RD;12;1;0;3152;0.21767187887813352;2785;0.24871864041003508;0
uuid;RD;13;1;0;3149;0.21841648051625714;2809;0.24224440248179122;0
uuid;RD;16;1;0;3098;0.2310747083643584;2754;0.2570811977340167;0
uuid;RD;17;1;0;3113;0.22735170017374037;2759;0.2557323981656326;0
uuid;RD;19;1;0;3063;0.23976172747580043;2701;0.2713784731588886;NaN
uuid;RD;20;1;0;3111;0.22784810126582278;2749;0.25842999730240085;0
uuid;RD;21;1;0;3096;0.2315711094564408;2747;0.2589695171297545;0
uuid;RD;22;1;0;3134;0.22213948870687517;2822;0.23873752360399245;0
uuid;RD;23;1;0;3087;0.2338049143708116;2725;0.2649042352306447;0
uuid;RD;24;1;0;3292;0.18292380243236536;2966;0.19989209603452926;0
uuid;RD;25;1;0;3264;0.189873417721519;2928;0.21014297275424873;0
uuid;RD;26;1;0;3163;0.2149416728716803;2794;0.24629080118694363;0
uuid;RD;27;1;0;3098;0.2310747083643584;2752;0.2576207175613704;0
uuid;RD;28;1;0;3194;0.20724745594440308;2839;0.23415160507148639;0
uuid;RD;29;1;0;3091;0.2328121121866468;2723;0.2654437550579984;0
uuid;GA2;3;1;0;3904;0.03102506825515016;3585;0.03291070946857297;NaN
uuid;GA2;4;1;0;4015;0.003474807644576818;3683;0.006474237928243863;0
uuid;GA2;5;1;0;3904;0.03102506825515016;3541;0.044780145670353384;NaN
uuid;GA2;6;1;0;3955;0.018366840407048897;3608;0.026706231454005934;0
uuid;GA2;7;1;0;3866;0.04045668900471581;3540;0.045049905584030214;NaN
uuid;GA2;8;1;0;3993;0.008935219657483246;3667;0.010790396547073105;0
uuid;GA2;9;1;0;4018;0.002730206006453214;3674;0.008902077151335312;0
uuid;GA2;10;1;0;4028;0.0002482005460412013;3707;0;0
uuid;GA2;11;1;0;4000;0.0071978158351948375;3681;0.007013757755597518;0
uuid;GA2;12;1;0;4017;0.0029784065524944155;3693;0.0037766387914755866;0
uuid;GA2;13;1;0;3873;0.0387192851824274;3531;0.04747774480712166;NaN
uuid;GA2;14;1;0;3975;0.01340282948622487;3649;0.015646074993256;0
uuid;GA2;15;1;0;3750;0.06924795234549516;3439;0.0722956568653898;NaN
uuid;GA2;16;1;0;3883;0.03623727972201539;3548;0.042891826274615595;0
uuid;GA2;17;1;0;3971;0.014395631670389675;3684;0.006204478014567035;0
uuid;GA2;18;1;0;3756;0.06775874906924795;3518;0.05098462368492042;0
uuid;GA2;19;1;0;3896;0.03301067262347977;3574;0.03587806851901807;0
uuid;GA2;20;1;0;4009;0.004964010920824026;3673;0.009171837065012138;0
uuid;GA2;21;1;0;4043;0.003474807644576818;3672;0.009441596978688967;0
uuid;GA2;22;1;0;3934;0.023579051873914122;3627;0.02158079309414621;0
uuid;GA2;23;1;0;3985;0.010920824025812856;3642;0.017534394388993794;0
uuid;GA2;24;1;0;3923;0.026309257880367337;3591;0.031292149986512;0
uuid;GA2;25;1;0;4025;0.0009928021841648052;3657;0.013487995683841382;0
uuid;GA2;26;1;0;4027;0.0004964010920824026;3679;0.007553277582951173;0
uuid;GA2;27;1;0;3801;0.05658972449739389;3586;0.032640949554896145;0
uuid;GA2;28;1;0;3894;0.03350707371556218;3561;0.03938494739681683;0
uuid;GA2;29;1;0;4010;0.0047158103747828245;3697;0.002697599136768276;0
uuid;HC;0;1;0;4009;0.004964010920824026;3680;0.007283517669274346;NaN
uuid;HC;1;1;0;4037;0.0019856043683296105;3714;0.0018883193957377933;0
uuid;HC;2;1;0;4009;0.004964010920824026;3680;0.007283517669274346;0
uuid;HC;3;1;0;4009;0.004964010920824026;3680;0.007283517669274346;0
uuid;HC;4;1;0;4009;0.004964010920824026;3680;0.007283517669274346;0
uuid;HC;5;1;0;4009;0.004964010920824026;3680;0.007283517669274346;0
uuid;HC;6;1;0;4009;0.004964010920824026;3680;0.007283517669274346;0
uuid;HC;7;1;0;4009;0.004964010920824026;3680;0.007283517669274346;0
uuid;HC;8;1;0;4009;0.004964010920824026;3680;0.007283517669274346;0
uuid;HC;9;1;0;4009;0.004964010920824026;3680;0.007283517669274346;0
uuid;HC;10;1;0;4009;0.004964010920824026;3680;0.007283517669274346;0
uuid;HC;11;1;0;4009;0.004964010920824026;3680;0.007283517669274346;0
uuid;HC;12;1;0;4009;0.004964010920824026;3680;0.007283517669274346;0
uuid;HC;13;1;0;4009;0.004964010920824026;3680;0.007283517669274346;0
uuid;HC;14;1;0;4009;0.004964010920824026;3680;0.007283517669274346;0
uuid;HC;15;1;0;4037;0.0019856043683296105;3714;0.0018883193957377933;0
uuid;HC;16;1;0;4027;0.0004964010920824026;3703;0.0010790396547073105;0
uuid;HC;17;1;0;4009;0.004964010920824026;3680;0.007283517669274346;0
uuid;HC;18;1;0;4009;0.004964010920824026;3680;0.007283517669274346;0
uuid;HC;19;1;0;4009;0.004964010920824026;3680;0.007283517669274346;0
uuid;HC;20;1;0;4009;0.004964010920824026;3680;0.007283517669274346;0
uuid;HC;21;1;0;4009;0.004964010920824026;3680;0.007283517669274346;0
uuid;HC;22;1;0;4009;0.004964010920824026;3680;0.007283517669274346;0
uuid;HC;23;1;0;4009;0.004964010920824026;3680;0.007283517669274346;0
uuid;HC;24;1;0;4009;0.004964010920824026;3680;0.007283517669274346;0
uuid;HC;25;1;0;4009;0.004964010920824026;3680;0.007283517669274346;0
uuid;HC;26;1;0;4009;0.004964010920824026;3680;0.007283517669274346;0
uuid;HC;27;1;0;4009;0.004964010920824026;3680;0.007283517669274346;0
uuid;HC;28;1;0;4009;0.004964010920824026;3680;0.007283517669274346;0
uuid;HC;29;1;0;4009;0.004964010920824026;3680;0.007283517669274346;0
uuid;HC2;0;1;0;3407;0.1543807396376272;3126;0.15673050984623685;NaN
uuid;HC2;1;1;0;3480;0.13626209977661952;3208;0.134610196924737;0
uuid;HC2;2;1;0;3405;0.1548771407297096;3010;0.18802265983274885;NaN
uuid;HC2;3;1;0;3396;0.15711094564408043;3172;0.14432155381710277;NaN
uuid;HC2;4;1;0;3439;0.14643832216430877;3187;0.14027515511195035;0
uuid;HC2;5;1;0;3480;0.13626209977661952;3278;0.11572700296735905;0
uuid;HC2;6;1;0;3326;0.1744849838669645;3033;0.18181818181818182;NaN
uuid;HC2;7;1;0;3494;0.13278729213204268;3117;0.1591583490693283;0
uuid;HC2;8;1;0;3272;0.18788781335318938;2950;0.2042082546533585;NaN
uuid;HC2;9;1;0;3442;0.14569372052618515;3229;0.12894523873752362;0
uuid;HC2;10;1;0;3376;0.16207495656490445;3113;0.16023738872403562;0
