Lib;Heuristic;Trial;Lines;% Improved Loc;Chars;% Improved Chars;Instructions;% Improved Instructions;Time Spent
uuid;Original;-;1;0;4029;0;3707;0;0
uuid;RD;19;1;0;3063;0.23976172747580043;2701;0.2713784731588886;NaN
uuid;GA;N/A;1;0;4029;0;3707;0;0
uuid;GA2;15;1;0;3750;0.06924795234549516;3439;0.0722956568653898;NaN
uuid;HC;0;1;0;4009;0.004964010920824026;3680;0.007283517669274346;NaN
uuid;HC2;11;1;0;3252;0.1928518242740134;2900;0.2176962503371999;NaN
uuid;HC3;1;1;0;2981;0.26011417225117894;2587;0.30213110331804693;NaN
uuid;HC4;8;1;0;2981;0.26011417225117894;2587;0.30213110331804693;NaN
uuid;HC5;2;1;0;2981;0.26011417225117894;2587;0.30213110331804693;NaN
uuid;HC52;N/A;1;0;4029;0;3707;0;0
