Lib;Heuristic;Trial;Lines;% Improved Loc;Chars;% Improved Chars;Instructions;% Improved Instructions;Time Spent
minimist;Original;-;1;0;2911;0;3785;0;0
minimist;RD;1;1;0;2911;0;3785;0;0
minimist;RD;2;1;0;2906;0.0017176228100309172;3773;0.003170409511228534;NaN
minimist;RD;3;1;0;2908;0.0010305736860185502;3778;0.0018494055482166448;0
minimist;RD;4;1;0;2909;0.0006870491240123669;3782;0.0007926023778071334;0
minimist;RD;5;1;0;2883;0.009618687736173137;3743;0.011096433289299868;NaN
minimist;RD;6;1;0;2909;0.0006870491240123669;3782;0.0007926023778071334;0
minimist;RD;7;1;0;2909;0.0006870491240123669;3782;0.0007926023778071334;0
minimist;RD;8;1;0;2896;0.005152868430092752;3772;0.0034346103038309117;0
minimist;RD;9;1;0;2911;0;3785;0;0
minimist;RD;10;1;0;2909;0.0006870491240123669;3782;0.0007926023778071334;0
minimist;RD;11;1;0;2909;0.0006870491240123669;3782;0.0007926023778071334;0
minimist;RD;12;1;0;2896;0.005152868430092752;3772;0.0034346103038309117;0
minimist;RD;13;1;0;2883;0.009618687736173137;3743;0.011096433289299868;0
minimist;RD;14;1;0;2909;0.0006870491240123669;3782;0.0007926023778071334;0
minimist;RD;15;1;0;2911;0;3785;0;0
minimist;RD;16;1;0;2909;0.0006870491240123669;3782;0.0007926023778071334;0
minimist;RD;17;1;0;2906;0.0017176228100309172;3773;0.003170409511228534;0
minimist;RD;18;1;0;2909;0.0006870491240123669;3782;0.0007926023778071334;0
minimist;RD;19;1;0;2883;0.009618687736173137;3743;0.011096433289299868;0
minimist;RD;20;1;0;2911;0;3785;0;0
minimist;RD;21;1;0;2909;0.0006870491240123669;3782;0.0007926023778071334;0
minimist;RD;22;1;0;2909;0.0006870491240123669;3782;0.0007926023778071334;0
minimist;RD;23;1;0;2909;0.0006870491240123669;3782;0.0007926023778071334;0
minimist;RD;24;1;0;2896;0.005152868430092752;3772;0.0034346103038309117;0
minimist;RD;25;1;0;2909;0.0006870491240123669;3782;0.0007926023778071334;0
minimist;RD;26;1;0;2909;0.0006870491240123669;3782;0.0007926023778071334;0
minimist;RD;27;1;0;2907;0.0013740982480247338;3779;0.001585204755614267;0
minimist;RD;28;1;0;2911;0;3785;0;0
minimist;RD;29;1;0;2909;0.0006870491240123669;3782;0.0007926023778071334;0
