Lib;Heuristic;Trial;Lines;% Improved Loc;Chars;% Improved Chars;Instructions;% Improved Instructions;Time Spent
plivo-node;Original;-;1;0;12318;0;9604;0;0
plivo-node;RD;0;1;0;12268;0.004059100503328463;9547;0.005935027072053311;NaN
plivo-node;RD;1;1;0;12315;0.00024354603019970775;9602;0.00020824656393169514;0
plivo-node;RD;2;1;0;12316;0.0001623640201331385;9601;0.0003123698458975427;0
plivo-node;RD;3;1;0;12131;0.01518103588244845;9464;0.014577259475218658;NaN
plivo-node;RD;4;1;0;12297;0.0017048222113979542;9576;0.0029154518950437317;0
plivo-node;RD;5;1;0;12212;0.00860529306705634;9543;0.0063515201999167015;0
plivo-node;RD;6;1;0;12292;0.0021107322617308004;9580;0.0024989587671803417;0
plivo-node;RD;7;1;0;12323;0.00040591005033284623;9601;0.0003123698458975427;0
plivo-node;RD;8;1;0;12283;0.0028413703523299237;9574;0.003123698458975427;0
plivo-node;RD;9;1;0;12244;0.0060074687449261244;9572;0.003331945022907122;0
plivo-node;RD;10;1;0;12260;0.004708556583861016;9597;0.0007288629737609329;0
plivo-node;RD;20;1;0;12148;0.013800941711316772;9514;0.009371095376926281;0
plivo-node;RD;21;1;0;12268;0.004059100503328463;9547;0.005935027072053311;0
plivo-node;RD;22;1;0;12275;0.003490826432862478;9597;0.0007288629737609329;0
plivo-node;RD;23;1;0;12301;0.0013800941711316773;9584;0.0020824656393169513;0
plivo-node;RD;24;1;0;12302;0.001298912161065108;9589;0.0015618492294877135;0
plivo-node;RD;25;1;0;12212;0.00860529306705634;9543;0.0063515201999167015;0
plivo-node;RD;26;1;0;12290;0.002273096281863939;9586;0.001874219075385256;0
plivo-node;RD;27;1;0;12313;0.00040591005033284623;9595;0.000937109537692628;0
plivo-node;RD;28;1;0;12316;0.0001623640201331385;9601;0.0003123698458975427;0
plivo-node;HC;0;1;0;12152;0.013476213671050495;9491;0.011765930862140775;NaN
plivo-node;HC;1;1;0;12152;0.013476213671050495;9491;0.011765930862140775;0
plivo-node;HC;2;1;0;12152;0.013476213671050495;9491;0.011765930862140775;0
plivo-node;HC;3;1;0;12152;0.013476213671050495;9491;0.011765930862140775;0
plivo-node;HC;4;1;0;12152;0.013476213671050495;9491;0.011765930862140775;0
plivo-node;HC;5;1;0;12152;0.013476213671050495;9491;0.011765930862140775;0
plivo-node;HC;6;1;0;12152;0.013476213671050495;9491;0.011765930862140775;0
plivo-node;HC;7;1;0;12152;0.013476213671050495;9491;0.011765930862140775;0
plivo-node;HC;8;1;0;12152;0.013476213671050495;9491;0.011765930862140775;0
plivo-node;HC;9;1;0;12152;0.013476213671050495;9491;0.011765930862140775;0
plivo-node;HC;10;1;0;12152;0.013476213671050495;9491;0.011765930862140775;0
plivo-node;HC;11;1;0;12269;0.0039779184932618936;9516;0.009162848812994586;0
plivo-node;HC;12;1;0;12152;0.013476213671050495;9491;0.011765930862140775;0
plivo-node;HC;13;1;0;12152;0.013476213671050495;9491;0.011765930862140775;0
plivo-node;HC;14;1;0;12152;0.013476213671050495;9491;0.011765930862140775;0
plivo-node;HC;15;1;0;12152;0.013476213671050495;9491;0.011765930862140775;0
plivo-node;HC;16;1;0;12152;0.013476213671050495;9491;0.011765930862140775;0
plivo-node;HC;17;1;0;12152;0.013476213671050495;9491;0.011765930862140775;0
plivo-node;HC;18;1;0;12152;0.013476213671050495;9491;0.011765930862140775;0
plivo-node;HC;19;1;0;12152;0.013476213671050495;9491;0.011765930862140775;0
