Rodada;Algoritmo;Funcao;min;max;media;mediana;duracao;quantidade
0;original;Response;0,023298;0,130958;0,045810500000000004;0,045762975000000004;1,8305190000000002;40
0;original;plivo;0,000861;0,064872;0,0018440000000000002;0,009323335000000002;1,8646670000000005;200
0;original;RestAPI;0,014944;0,458092;0,039524500000000004;0,09871667;9,871667;100
0;original;request;0,204803;4,007247;0,8105724999999999;1,1516007285714291;161,22410200000007;140
0;original;get_cdrs;0,811734;4,354758;2,4709529999999997;2,4885329250000003;99,541317;40
0;original;Anonymous;0,007688;0,753032;0,1371865;0,24019766666666664;28,823719999999998;120
0;original;get_cdr;0,396024;1,640657;1,051128;0,97557045;39,022818;40
0;original;callback;0,016831;0,019497;0,018160000000000003;0,0181238;0,36247599999999996;20
0;original;make_call;0,457215;1,068353;0,8425475;0,7170548250000002;28,682193000000005;40
0;original;hangup_all_calls;0,259709;0,311167;0,27451250000000005;0,28130645;5,626129;20
0;original;create_signature;0,097063;0,394735;0,24470200000000003;0,23812144999999996;9,524857999999998;40
0;RD;request;0,203718;5,47263;0,8069225;1,1672268285714287;163,41175600000003;140
1;RD;request;0,198535;4,116323;0,8149735;1,1491206357142858;160,876889;140
2;RD;request;0,200031;4,385045;0,81919;1,1519464714285714;161,272506;140
3;RD;RestAPI;0,014892;0,351609;0,0389375;0,09413727;9,413727;100
3;RD;request;0,197376;3,979968;0,8190409999999999;1,1460947;160,45325799999998;140
4;RD;request;0,201342;4,232823;0,8176935;1,1650267928571432;163,10375100000005;140
5;RD;RestAPI;0,014958;0,380303;0,0390575;0,09457481000000001;9,457481000000001;100
5;RD;request;0,202784;4,34743;0,8215844999999999;1,1545304999999997;161,63426999999996;140
6;RD;request;0,20035;4,102077;0,813812;1,1542287285714288;161,59202200000001;140
7;RD;request;0,20138;4,010934;0,8035589999999999;1,1439483928571432;160,15277500000005;140
8;RD;request;0,205732;4,192433;0,464704;1,1655147;163,172058;140
8;RD;Anonymous;0,008018;0,998103;0,1274335;0,21297216999999996;21,297216999999996;100
8;RD;get_cdr;0,470466;1,990405;1,2035040000000001;1,2156190500000004;48,62476200000001;40
9;RD;request;0,181774;4,026164;0,8176775000000001;1,1342459857142855;158,79443799999996;140
10;RD;RestAPI;0,014962;0,323746;0,039149;0,09554234000000003;9,554234000000003;100
10;RD;request;0,201931;4,991886;0,811843;1,1726353500000002;164,16894900000003;140
10;RD;Anonymous;0,007922;0,960765;0,1373615;0,24505657500000003;29,406789000000003;120
