Rodada;Algoritmo;Funcao;min;max;media;mediana;duracao;quantidade
0;original;maxFromBits;0.000357;0.0604;0.0009760000000000001;0.010409438888888888;1.8736989999999998;180
0;original;create;0.000254;0.061238;0.000375;0.0018137662280701737;4.135386999999996;2280
0;original;_create4;0.000267;0.024861;0.000371;0.0009592879629629615;2.0720619999999967;2160
0;original;UUIDjs;0.000238;0.063916;0.000359;0.0013328572033898332;3.145543000000006;2360
0;original;randomUI32;0.000241;0.120036;0.0003565;0.0015454371559633017;3.369052999999998;2180
0;original;getRandomInt;0.00014;0.056596;0.000251;0.0005217741681260922;5.958660999999973;11420
0;original;randomUI16;0.000246;0.022115;0.000391;0.0008952995412844032;1.951752999999999;2180
0;original;randomUI12;0.000287;0.022148;0.000396;0.0009094266055045873;1.9825500000000003;2180
0;original;randomUI06;0.000261;0.020887;0.000387;0.0008835114678899073;1.9260549999999979;2180
0;original;randomUI08;0.000252;0.021599;0.000383;0.000998326521739129;2.296150999999997;2300
0;original;randomUI48;0.000261;0.130942;0.000384;0.0010008256880733942;2.181799999999999;2180
0;original;paddedString;0.000226;0.989629;0.000303;0.0006390298022598857;9.048661999999982;14160
0;original;fromParts;0.06606;1.637065;0.071354;0.09045969406779687;213.4848780000006;2360
0;original;toURN;0.006639;0.046556;0.012775;0.021080375000000002;0.843215;40
0;original;toBytes;0.018376;0.250312;0.08996950000000001;0.097559975;3.902399;40
0;original;randomUI14;0.000543;0.020136;0.005613;0.006022799999999999;0.8431919999999999;140
0;original;randomUI40;0.0005;0.025315;0.0045265;0.0048846071428571445;0.6838450000000003;140
0;original;randomUI04;0.000261;0.017854;0.0006345000000000001;0.003360173076923077;0.873645;260
0;original;getTimeFieldValues;0.001056;0.071238;0.0077425;0.011435979999999995;2.287195999999999;200
0;original;_create1;0.11276;0.779578;0.17109649999999998;0.28679670833333326;34.41560499999999;120
0;original;firstFromTime;0.015233;0.025272;0.0160945;0.0165819;0.331638;20
0;original;lastFromTime;0.01434;0.01756;0.015226;0.01550305;0.31006100000000003;20
0;original;fromTime;0.039054;0.105414;0.056563;0.05940047500000002;2.3760190000000008;40
0;original;new;0.015036;0.070069;0.0365095;0.036715199999999996;1.468608;40
0;RD;fromParts;0.068936;0.797573;0.072372;0.09331472268907563;11.104452;119
0;RD;getTimeFieldValues;0.001067;0.051159;0.006879;0.0108856;0.10885600000000001;10
1;RD;getTimeFieldValues;0.000953;0.054573;0.0077625;0.011741930000000001;2.348386;200
1;RD;_create1;0.113424;0.783529;0.1650455;0.2830579416666666;33.96695299999999;120
2;RD;fromParts;0.067128;1.660152;0.072311;0.09315637777777781;88.03277700000004;945
2;RD;_create1;0.114113;0.753709;0.173981;0.289699625;13.905582;48
3;RD;getTimeFieldValues;0.000923;0.087022;0.0075925;0.011500945;2.300189;200
4;RD;fromParts;0.371411;0.371411;0.371411;0.371411;0.371411;1
5;RD;fromParts;0.067251;1.112672;0.07194;0.09121972214386459;64.67478299999999;709
6;RD;getTimeFieldValues;0.000584;0.078032;0.0046890000000000005;0.009887899999999993;1.9775799999999986;200
7;RD;fromParts;0.066272;1.105882;0.07368649999999999;0.0950983170731708;101.37480600000008;1066
7;RD;getTimeFieldValues;0.001052;0.079413;0.007752;0.012108299999999997;1.0897469999999998;90
7;RD;_create1;0.113283;1.235425;0.177507;0.3054186666666667;16.492608000000004;54
8;RD;fromParts;0.066529;1.753593;0.07290250000000001;0.09357496567796617;220.83691900000014;2360
8;RD;getTimeFieldValues;0.000986;0.088868;0.0075415;0.010904515000000005;2.180903000000001;200
8;RD;_create1;0.093639;0.754673;0.14201049999999998;0.273416125;32.809935;120
9;RD;getTimeFieldValues;0.00101;0.06089;0.0075084999999999995;0.01130122;2.260244;200
9;RD;_create1;0.11464;0.883882;0.1734775;0.29355542500000004;35.226651000000004;120
10;RD;fromParts;0.066383;1.261365;0.068592;0.09706105042016805;11.550264999999998;119
10;RD;getTimeFieldValues;0.001055;0.023263;0.006791999999999999;0.0068712999999999995;0.068713;10
10;RD;_create1;0.093124;0.617667;0.12344;0.2211085;1.326651;6
11;RD;fromParts;0.066741;1.769867;0.072868;0.09404733347457647;221.95170700000048;2360
12;RD;getTimeFieldValues;0.001011;0.054113;0.0070085;0.011078844999999999;2.215769;200
12;RD;_create1;0.11388;0.768922;0.15798299999999998;0.2813489333333334;33.761872000000004;120
14;RD;fromParts;0.066892;0.846687;0.070419;0.09056622784810126;21.464195999999998;237
