Rodada;Algoritmo;Funcao;min;max;media;mediana;duracao;quantidade
0;original;timer;0,000369;0,159539;0,009899499999999999;0,011984591891891888;8,868597999999997;740
0;original;median;0,032146;0,040732;0,03458;0,03528454999999999;0,7056909999999998;20
0;original;Anonymous;0,000289;0,034633;0,0005575;0,0037598444444444414;2,0303159999999982;540
0;original;mean;0,003997;0,086147;0,024312;0,03002238333333334;1,8013430000000004;60
0;original;duration;0,000953;0,038099;0,0028245;0,007289583333333331;0,8747499999999997;120
0;original;min;0,064755;0,224028;0,079649;0,09632756666666667;5,779654;60
0;original;max;0,0698;0,173054;0,08497650000000001;0,09820476666666664;5,892285999999999;60
0;original;count;0,002432;0,186815;0,00707;0,018966300000000005;1,1379780000000004;60
0;original;Tick;0,000277;0,032387;0,000974;0,003712152777777775;1,336374999999999;360
0;original;start;0,000315;0,184829;0,000905;0,0036167352941176437;1,2296899999999988;340
0;original;wrap;0,073463;2,917779;0,1292595;0,35092286250000015;112,29531600000006;320
0;original;stop;0,010873;1,16304;0,019792499999999998;0,06941462647058827;23,600973000000014;340
0;original;done;0,020862;1,278402;0,031284;0,09412105625;30,118738;320
0;original;functionName;0,001125;0,43754;0,0029909999999999997;0,019736046153846165;5,131372000000003;260
0;original;isGeneratorFunction;0,000347;0,077577;0,000936;0,004622289285714286;1,2942410000000002;280
0;RD;start;0,000264;0,016129;0,000607;0,0020808117647058825;0,7074760000000001;340
0;RD;isGeneratorFunction;0,012157;0,025536;0,017692;0,016715599999999997;0,6686239999999999;40
6;RD;wrap;0,065007;1,992613;0,117883;0,2951550156250001;94,44960500000002;320
6;RD;start;0,016713;0,021385;0,018466;0,01853185;0,370637;20
8;RD;Tick;0,000301;0,199805;0,000843;0,005771008333333337;2,0775630000000014;360
8;RD;start;0,000256;0,016312;0,0006284999999999999;0,0023719029411764696;0,8064469999999997;340
8;RD;wrap;0,07325;1,91808;0,12734299999999998;0,33355734062500003;106,73834900000001;320
8;RD;stop;0,010825;0,946659;0,019910999999999998;0,06771384117647057;23,022705999999996;340
8;RD;isGeneratorFunction;0,00037;0,193152;0,000928;0,013109457142857144;3,6706480000000004;280
9;RD;wrap;0,073567;1,969714;0,1269765;0,33951553749999985;108,64497199999995;320
9;RD;stop;0,010789;1,028317;0,0191225;0,0648187794117647;22,038384999999998;340
15;RD;wrap;0,073911;1,887659;0,1162855;0,3359862906249999;107,51561299999997;320
25;RD;isGeneratorFunction;0,000321;0,046001;0,0008435000000000001;0,004045442857142855;1,1327239999999994;280
27;RD;start;0,000238;0,023411;0,000633;0,002401108823529411;0,8163769999999997;340
29;RD;wrap;0,063954;1,529996;0,1178;0,28469334687499986;91,10187099999996;320
0;HC;isGeneratorFunction;0,012194;0,025272;0,0153405;0,0162928;0,651712;40
1;HC;isGeneratorFunction;0,012133;0,036752;0,0170105;0,0170153;0,680612;40
2;HC;isGeneratorFunction;0,012194;0,024921;0,015850000000000003;0,01646825;0,65873;40
3;HC;isGeneratorFunction;0,011987;0,025202;0,0154;0,016328599999999995;0,6531439999999998;40
4;HC;isGeneratorFunction;0,011977;0,091225;0,016980000000000002;0,018574150000000005;0,7429660000000002;40
5;HC;isGeneratorFunction;0,012091;0,02499;0,0182625;0,016883699999999998;0,675348;40
6;HC;isGeneratorFunction;0,012075;0,024855;0,0155655;0,0163031;0,652124;40
7;HC;isGeneratorFunction;0,011835;0,087539;0,018391499999999998;0,018494774999999998;0,739791;40
8;HC;isGeneratorFunction;0,011595;0,092077;0,0155735;0,018209775000000004;0,7283910000000001;40
9;HC;isGeneratorFunction;0,012302;0,024746;0,01831;0,016708449999999996;0,6683379999999999;40
10;HC;isGeneratorFunction;0,012226;0,088534;0,015549499999999999;0,018507925;0,7403170000000001;40
11;HC;isGeneratorFunction;0,012231;0,101483;0,01643;0,020449799999999997;0,8179919999999999;40
12;HC;isGeneratorFunction;0,012058;0,02686;0,015587;0,016844200000000007;0,6737680000000003;40
13;HC;isGeneratorFunction;0,011831;0,025017;0,0153295;0,016118625;0,644745;40
14;HC;isGeneratorFunction;0,011997;0,027508;0,014287999999999999;0,016321375000000003;0,6528550000000001;40
15;HC;isGeneratorFunction;0,011956;0,035246;0,015766000000000002;0,017333724999999998;0,6933489999999999;40
16;HC;isGeneratorFunction;0,012013;0,092261;0,015271;0,018232449999999997;0,7292979999999999;40
17;HC;isGeneratorFunction;0,012008;0,025528;0,016273;0,016795224999999993;0,6718089999999998;40
18;HC;isGeneratorFunction;0,012265;0,025255;0,018694;0,0176995;0,70798;40
19;HC;isGeneratorFunction;0,012126;0,115138;0,0189285;0,021030825;0,841233;40
20;HC;isGeneratorFunction;0,01259;0,025404;0,015515;0,0164777;0,659108;40
22;HC;isGeneratorFunction;0,012299;0,097853;0,019037;0,021951974999999995;0,8780789999999998;40
23;HC;isGeneratorFunction;0,012643;0,029439;0,018954;0,018158775000000005;0,7263510000000002;40
24;HC;isGeneratorFunction;0,01275;0,226643;0,0194225;0,02644245;1,057698;40
25;HC;isGeneratorFunction;0,01262;0,036233;0,0191095;0,019468000000000003;0,7787200000000001;40
26;HC;isGeneratorFunction;0,012307;0,074782;0,015926;0,01790755;0,716302;40
27;HC;isGeneratorFunction;0,012529;0,100151;0,019008499999999998;0,021662549999999996;0,8665019999999998;40
28;HC;isGeneratorFunction;0,012122;0,108594;0,018938499999999997;0,021150625;0,8460249999999999;40
29;HC;isGeneratorFunction;0,012169;0,10909;0,019357;0,021201224999999997;0,8480489999999999;40
