Lib;Heuristic;Trial;Lines;% Improved Loc;Chars;% Improved Chars;Instructions;% Improved Instructions;Time Spent
plivo-node;Original;-;1;0;12318;0;9604;0;0
plivo-node;RD;0;1;0;12283;0.0028413703523299237;9570;0.003540191586838817;NaN
plivo-node;RD;1;1;0;12307;0.0008930021107322617;9593;0.0011453561016243233;0
plivo-node;RD;2;1;0;12296;0.0017860042214645235;9585;0.0019783423573511037;0
plivo-node;RD;3;1;0;12270;0.003896736483195324;9558;0.004789670970428988;NaN
plivo-node;RD;4;1;0;12256;0.005033284624127293;9550;0.005622657226155768;NaN
plivo-node;RD;5;1;0;12277;0.0033284624127293393;9558;0.004789670970428988;0
plivo-node;RD;6;1;0;12187;0.010634843318720572;9513;0.009475218658892129;NaN
plivo-node;RD;7;1;0;12246;0.0058451047247929854;9517;0.009058725531028738;0
plivo-node;RD;8;1;0;12223;0.007712290956324078;9535;0.0071845064556434815;0
plivo-node;RD;9;1;0;12249;0.005601558694593278;9547;0.005935027072053311;0
plivo-node;RD;10;1;0;12313;0.00040591005033284623;9601;0.0003123698458975427;0
plivo-node;RD;11;1;0;12286;0.002597824322130216;9577;0.002811328613077884;0
plivo-node;RD;12;1;0;12244;0.0060074687449261244;9572;0.003331945022907122;0
plivo-node;RD;13;1;0;12283;0.0028413703523299237;9570;0.003540191586838817;0
plivo-node;RD;14;1;0;12244;0.0060074687449261244;9563;0.00426905456059975;0
plivo-node;RD;15;1;0;12316;0.0001623640201331385;9601;0.0003123698458975427;0
plivo-node;RD;18;1;0;12270;0.003896736483195324;9558;0.004789670970428988;0
plivo-node;RD;19;1;0;12323;0.00040591005033284623;9601;0.0003123698458975427;0
plivo-node;RD;20;1;0;12188;0.010553661308654002;9501;0.010724698042482298;NaN
plivo-node;RD;21;1;0;12319;0.00008118201006656925;9601;0.0003123698458975427;0
plivo-node;RD;22;1;0;12297;0.0017048222113979542;9576;0.0029154518950437317;0
plivo-node;RD;23;1;0;12270;0.003896736483195324;9554;0.005206164098292378;0
plivo-node;RD;24;1;0;12301;0.0013800941711316773;9584;0.0020824656393169513;0
plivo-node;RD;25;1;0;12247;0.005763922714726416;9529;0.007809246147438567;0
plivo-node;RD;26;1;0;12321;0.00024354603019970775;9598;0.0006247396917950854;0
plivo-node;RD;27;1;0;12294;0.001948368241597662;9579;0.002603082049146189;0
plivo-node;RD;28;1;0;12266;0.004221464523461601;9554;0.005206164098292378;0
plivo-node;RD;29;1;0;12313;0.00040591005033284623;9601;0.0003123698458975427;0
plivo-node;HC;0;1;0;12079;0.01940250040591005;9403;0.02092877967513536;NaN
plivo-node;HC;1;1;0;12239;0.006413378795258971;9515;0.009266972094960434;0
plivo-node;HC;2;1;0;12079;0.01940250040591005;9403;0.02092877967513536;0
plivo-node;HC;9;1;0;12248;0.005682740704659847;9520;0.008746355685131196;0
plivo-node;HC;10;1;0;12248;0.005682740704659847;9520;0.008746355685131196;0
plivo-node;HC;11;1;0;12079;0.01940250040591005;9403;0.02092877967513536;0
plivo-node;HC;12;1;0;12219;0.008037018996590355;9497;0.011141191170345689;0
plivo-node;HC;13;1;0;12248;0.005682740704659847;9520;0.008746355685131196;0
plivo-node;HC;14;1;0;12219;0.008037018996590355;9497;0.011141191170345689;0
plivo-node;HC;15;1;0;12248;0.005682740704659847;9520;0.008746355685131196;0
plivo-node;HC;16;1;0;12248;0.005682740704659847;9520;0.008746355685131196;0
plivo-node;HC;17;1;0;12219;0.008037018996590355;9497;0.011141191170345689;0
plivo-node;HC;18;1;0;12248;0.005682740704659847;9520;0.008746355685131196;0
plivo-node;HC;19;1;0;12079;0.01940250040591005;9403;0.02092877967513536;0
plivo-node;HC;20;1;0;12079;0.01940250040591005;9403;0.02092877967513536;0
plivo-node;HC;21;1;0;12239;0.006413378795258971;9515;0.009266972094960434;0
plivo-node;HC;22;1;0;12248;0.005682740704659847;9520;0.008746355685131196;0
plivo-node;HC;23;1;0;12219;0.008037018996590355;9497;0.011141191170345689;0
plivo-node;HC;28;1;0;12219;0.008037018996590355;9497;0.011141191170345689;0
