Lib;Heuristic;Trial;Lines;% Improved Loc;Chars;% Improved Chars;Instructions;% Improved Instructions;Time Spent
plivo-node;Original;-;1;0;12318;0;9604;0;0
plivo-node;RD;20;1;0;12188;0.010553661308654002;9501;0.010724698042482298;NaN
plivo-node;GA;N/A;1;0;12318;0;9604;0;0
plivo-node;GA2;N/A;1;0;12318;0;9604;0;0
plivo-node;HC;0;1;0;12079;0.01940250040591005;9403;0.02092877967513536;NaN
plivo-node;HC2;N/A;1;0;12318;0;9604;0;0
plivo-node;HC3;N/A;1;0;12318;0;9604;0;0
plivo-node;HC4;N/A;1;0;12318;0;9604;0;0
plivo-node;HC5;N/A;1;0;12318;0;9604;0;0
plivo-node;HC52;N/A;1;0;12318;0;9604;0;0
