sep=,
trial,originalIndividualAvgTime,originalIndividualLOC,originalIndividualCharacters,bestIndividualAvgTime,bestIndividualLOC,bestIndividualCharacters,time,better
0,"824",209,6883,"713",209,6838,"44,873",true
1,"715",209,6883,"708",209,6863,"51,846",true
2,"715",209,6883,"709",209,6868,"46,779",true
3,"717",209,6883,"711",209,6868,"45,991",true
4,"717",209,6883,"710",209,6868,"48,459",true
5,"741",209,6883,"720",209,6865,"75,464",true
6,"745",209,6883,"717",209,6848,"54,642",true
7,"757",209,6883,"711",209,6848,"51,748",true
8,"748",209,6883,"712",209,6848,"46,724",true
9,"748",209,6883,"712",206,6804,"47,831",true
10,"826",209,6883,"709",206,6801,"52,882",true
11,"773",209,6883,"706",206,6801,"45,931",true
12,"720",209,6883,"711",209,6868,"47,596",true
13,"718",209,6883,"716",209,6868,"69,708",true
14,"750",209,6883,"711",208,6828,"108,817",true
15,"718",209,6883,"714",209,6868,"75,595",true
16,"720",209,6883,"707",209,6868,"50,367",true
17,"731",209,6883,"709",209,6865,"51,724",true
18,"718",209,6883,"709",209,6868,"49,03",true
19,"728",209,6883,"721",206,6822,"52,34",true
20,"822",209,6883,"715",209,6845,"45,739",true
21,"718",209,6883,"711",209,6868,"54,324",true
22,"727",209,6883,"714",209,6848,"70,615",true
23,"718",209,6883,"709",209,6868,"50,302",true
24,"713",209,6883,"711",209,6868,"49,801",true
25,"710",209,6883,"709",209,6868,"45,652",true
26,"758",209,6883,"711",209,6841,"48,019",true
27,"712",209,6883,"710",209,6868,"46,694",true
28,"713",209,6883,"707",209,6868,"49,646",true
29,"708",209,6883,"708",209,6883,"46,709",false
