Lib;Heuristic;Trial;Lines;% Improved Loc;Chars;% Improved Chars;Instructions;% Improved Instructions;Time Spent
uuid;Original;-;1;0;4029;0;3707;0;0
uuid;RD;19;1;0;4008;0.0052122114668652275;3690;0.004585918532506069;NaN
uuid;GA;N/A;1;0;4029;0;3707;0;0
uuid;GA2;N/A;1;0;4029;0;3707;0;0
uuid;HC;0;1;0;3982;0.011665425663936461;3652;0.01483679525222552;NaN
uuid;HC2;N/A;1;0;4029;0;3707;0;0
uuid;HC3;N/A;1;0;4029;0;3707;0;0
uuid;HC4;N/A;1;0;4029;0;3707;0;0
uuid;HC5;N/A;1;0;4029;0;3707;0;0
uuid;HC52;N/A;1;0;4029;0;3707;0;0
