trial;originalIndividualAvgTime;originalIndividualLOC;originalIndividualCharacters;bestIndividualAvgTime;bestIndividualLOC;bestIndividualCharacters;time;better
0;18480;317;9798;10202;317;9774;14207,616;true
1;12613;317;9798;5522;317;9798;5382,568;false
2;24389;317;9798;24389;317;9798;4846,122;false
3;10913;317;9798;5583;317;9798;12277,11;false
4;10913;317;9798;5583;317;9798;12277,11;false
5;9851;317;9798;9851;317;9798;5480,815;false
6;13267;317;9798;5937;310;9649;5993,337;true
7;7009;317;9798;5130;317;9805;4238,266;true
8;16320;317;9798;16320;317;9798;12572,125;false
9;19959;317;9798;5324;317;9798;6189,086;false
10;19959;317;9798;5324;317;9798;6189,086;false
11;19709;317;9798;5366;317;9798;4337,027;false
12;15590;317;9798;5884;303;9317;5861,891;true
13;15590;317;9798;5884;303;9317;5861,891;true
14;21639;317;9798;5141;316;9768;15438,427;true
15;21639;317;9798;5141;316;9768;15438,427;true
16;15480;317;9798;15480;317;9798;14298,806;false
17;20666;317;9798;5141;317;9798;13931,721;false
18;21639;317;9798;5141;316;9768;15438,427;true
19;18480;317;9798;10202;317;9774;14207,616;true
20;18480;317;9798;10202;317;9774;14207,616;true
21;14756;317;9798;5281;317;9798;11657,259;false
22;12207;317;9798;5282;317;9798;3319,502;false
23;18313;317;9798;13497;317;9795;12950,003;true
24;7013;317;9798;5675;317;9798;5205,675;false
25;15793;317;9798;12064;317;9799;13855,889;true
26;10424;317;9798;10424;317;9798;11509,434;false
27;13741;317;9798;6248;317;9772;5386,357;true
28;13741;317;9798;6248;317;9772;5386,357;true
29;10785;317;9798;5401;317;9798;3374,692;false
30;13741;317;9798;6248;317;9772;5386,357;true
31;13541;317;9798;5189;317;9805;14269,396;true
32;13167;317;9798;6117;317;9798;21309,148;true
33;6606;317;9798;6606;317;9798;4527,077;false
34;17600;317;9798;13054;317;9790;13826,369;true
35;6289;317;9798;6289;317;9798;3216,957;false
36;5734;317;9798;5267;317;9798;30001,938;false
37;12748;317;9798;9188;317;9805;8225,78;true
38;12419;317;9798;12419;317;9798;13463,651;false
39;6713;317;9798;6713;317;9798;3581,873;false
40;15671;317;9798;15671;317;9798;12641,977;false
41;14449;317;9798;5743;315;9772;14588,24;true
42;13493;317;9798;13493;317;9798;13959,8;false
43;44996;317;9798;4992;313;9724;29390,599;true
44;15383;317;9798;7535;317;9784;5447,885;true
45;32994;317;9798;4968;317;9794;19994,575;true
46;32994;317;9798;4968;317;9794;19994,575;true
47;13059;317;9798;7241;317;9798;6426,186;true
48;32994;317;9798;4968;317;9794;19994,575;true
49;14488;317;9798;8424;317;9802;5537,398;true
50;32994;317;9798;4968;317;9794;19994,575;true
51;13620;317;9798;8005;317;9798;31202,511;false
52;12993;317;9798;5153;317;9789;12650,137;true
53;7577;317;9798;5241;317;9798;3458,208;false
54;16058;317;9798;7506;317;9733;5245,096;true
55;15774;317;9798;12312;309;9617;5185,162;true
56;19605;317;9798;19605;317;9798;3977,605;false
57;15736;317;9798;10973;317;9719;4949,564;true
58;40568;317;9798;40568;317;9798;4785,068;false
59;13768;317;9798;13346;317;9800;13757,256;true
