sep=,
trial,originalIndividualAvgTime,originalIndividualLOC,originalIndividualCharacters,bestIndividualAvgTime,bestIndividualLOC,bestIndividualCharacters,time,better
0,"5179",317,9798,"5179",317,9798,"42,485",false
1,"5430",317,9798,"5208",317,9784,"24,908",true
2,"5105",317,9798,"5105",317,9798,"30,601",false
3,"5100",317,9798,"5100",317,9798,"31,422",false
4,"6452",317,9798,"5377",317,9784,"26,888",true
5,"4979",317,9798,"4979",317,9798,"32,526",false
6,"5013",317,9798,"5013",317,9798,"35,804",false
7,"5058",317,9798,"5058",317,9798,"37,114",false
8,"5035",317,9798,"5035",317,9798,"35,925",false
9,"5169",317,9798,"5169",317,9798,"34,468",false
10,"4941",317,9798,"4941",317,9798,"36,956",false
11,"5086",317,9798,"5086",317,9798,"35,044",false
12,"4956",317,9798,"4956",317,9798,"35,771",false
13,"5251",317,9798,"5251",317,9798,"36,816",false
14,"5651",317,9798,"5510",317,9791,"31,105",true
15,"5294",317,9798,"5294",317,9798,"40,082",false
16,"5374",317,9798,"5374",317,9798,"38,334",false
17,"4993",317,9798,"4993",317,9798,"33,403",false
18,"5214",317,9798,"5214",317,9798,"31,509",false
19,"5339",317,9798,"5339",317,9798,"35,898",false
20,"5899",317,9798,"5410",317,9784,"36,878",true
21,"6089",317,9798,"5835",317,9784,"38,451",true
22,"5052",317,9798,"5052",317,9798,"38,565",false
23,"5244",317,9798,"5244",317,9798,"38,317",false
24,"5169",317,9798,"5169",317,9798,"37,937",false
25,"5493",317,9798,"5493",317,9798,"45,047",false
26,"5216",317,9798,"5216",317,9798,"43,446",false
27,"9988",317,9798,"6345",317,9784,"35,988",true
28,"5543",317,9798,"5508",317,9784,"34,098",true
29,"5057",317,9798,"5057",317,9798,"39,47",false
30,"5081",317,9798,"5081",317,9798,"38,332",false
31,"4977",317,9798,"4977",317,9798,"38,184",false
32,"5378",317,9798,"5378",317,9798,"39,106",false
33,"5001",317,9798,"5001",317,9798,"41,185",false
34,"5005",317,9798,"5005",317,9798,"39,762",false
35,"4943",317,9798,"4943",317,9798,"38,314",false
36,"5759",317,9798,"5759",317,9798,"37,666",false
37,"5261",317,9798,"5261",317,9798,"39,091",false
38,"5319",317,9798,"5319",317,9798,"37,148",false
39,"5113",317,9798,"5113",317,9798,"37,947",false
40,"5356",317,9798,"5356",317,9798,"41,077",false
41,"5189",317,9798,"5189",317,9798,"41,523",false
42,"5070",317,9798,"5070",317,9798,"40,011",false
43,"5328",317,9798,"5328",317,9798,"39,54",false
44,"5123",317,9798,"5123",317,9798,"38,987",false
45,"5125",317,9798,"5125",317,9798,"39,361",false
46,"5284",317,9798,"5284",317,9798,"40,016",false
47,"5213",317,9798,"5213",317,9798,"38,951",false
48,"5245",317,9798,"5245",317,9798,"40,141",false
49,"5168",317,9798,"5168",317,9798,"40,313",false
50,"5122",317,9798,"5122",317,9798,"35,828",false
51,"5093",317,9798,"5093",317,9798,"32,542",false
52,"4996",317,9798,"4996",317,9798,"31,562",false
53,"5186",317,9798,"5186",317,9798,"30,629",false
54,"5453",317,9798,"5453",317,9798,"30,535",false
55,"4909",317,9798,"4909",317,9798,"32,518",false
56,"5282",317,9798,"5282",317,9798,"34,646",false
57,"4924",317,9798,"4924",317,9798,"32,515",false
58,"4945",317,9798,"4945",317,9798,"31,896",false
59,"5453",317,9798,"5365",317,9791,"28,878",true
