Rodada;Algoritmo;min;max;media;mediana;duracao
0;original;5.927;9.097;6.502;6.776;203.278
1;RD;5.952;9.334;6.270;6.538;196.126
2;RD;5.965;8.871;6.709;6.821;204.624
3;RD;5.915;8.183;6.569;6.700;200.992
5;RD;6.056;9.284;6.634;6.932;207.950
6;RD;5.965;8.819;6.579;6.760;202.802
7;RD;5.921;7.507;6.213;6.400;191.987
8;RD;6.008;10.043;6.531;6.689;200.664
9;RD;5.980;7.441;6.333;6.484;194.509
11;RD;5.990;8.697;6.315;6.561;196.817
12;RD;5.970;8.929;6.390;6.757;202.702
14;RD;5.906;8.347;6.517;6.668;200.027
15;RD;5.943;9.330;6.719;6.965;208.946
16;RD;5.905;7.612;6.261;6.384;191.525
17;RD;5.942;9.093;6.624;6.716;201.484
19;RD;5.942;8.310;6.355;6.555;196.661
21;RD;5.974;9.194;6.493;6.746;202.389
22;RD;5.919;8.079;6.865;6.927;207.797
23;RD;5.887;8.697;6.295;6.602;198.061
24;RD;5.936;10.171;7.153;7.230;216.909
25;RD;5.909;11.054;6.284;6.697;200.900
26;RD;5.867;7.878;6.264;6.381;191.420
28;RD;5.979;7.488;6.270;6.485;194.543
29;RD;5.907;8.807;6.347;6.673;200.191
30;RD;5.907;8.463;6.316;6.565;196.939
31;RD;6.037;8.163;6.761;6.842;205.256
32;RD;5.908;8.991;6.518;6.737;202.118
34;RD;5.941;8.353;6.292;6.519;195.559
36;RD;6.003;9.802;6.798;7.051;211.525
38;RD;6.046;8.086;6.680;6.804;204.110
40;RD;5.989;9.692;6.579;6.860;205.794
41;RD;5.866;8.683;6.729;6.842;205.273
42;RD;5.894;8.594;6.414;6.638;199.151
44;RD;5.847;8.193;6.651;6.695;200.859
45;RD;6.028;8.443;6.961;7.027;210.798
48;RD;5.878;7.999;6.519;6.619;198.565
54;RD;5.940;9.718;6.634;6.860;205.796
57;RD;5.987;9.181;6.739;6.902;207.068
1;HC;5.937;7.831;6.737;6.831;204.935
14;HC;6.007;7.759;6.746;6.728;201.854
21;HC;5.943;8.539;6.753;6.787;203.604
27;HC;5.888;9.141;6.670;6.738;202.136
28;HC;5.861;8.472;6.603;6.813;204.403
6;GA;5.922;9.317;6.553;6.939;208.175
7;GA;5.937;8.584;6.551;6.731;201.924
13;GA;5.929;8.743;6.698;6.839;205.172
14;GA;5.965;8.754;6.417;6.742;202.271
15;GA;5.940;8.473;6.519;6.693;200.781
27;GA;5.975;8.787;6.627;6.886;206.576
28;GA;6.019;9.534;6.564;6.914;207.426
30;GA;5.969;10.531;6.528;7.062;211.862
34;GA;5.951;8.963;6.548;6.723;201.694
37;GA;6.403;8.947;7.119;7.245;217.358
41;GA;5.925;8.488;6.410;6.558;196.729
43;GA;5.913;8.655;6.572;6.611;198.331
44;GA;5.924;7.666;6.379;6.492;194.772
45;GA;5.951;8.880;6.643;6.747;202.403
46;GA;5.938;8.233;6.561;6.766;202.984
47;GA;5.923;7.950;6.221;6.476;194.269
48;GA;5.960;7.727;6.551;6.632;198.959
49;GA;5.933;8.088;6.373;6.614;198.420
50;GA;5.879;8.249;6.275;6.545;196.360
52;GA;5.928;8.027;6.506;6.644;199.326
54;GA;5.909;9.316;6.658;6.813;204.378
57;GA;6.001;8.860;6.443;6.720;201.602
