trial,originalIndividualAvgTime,originalIndividualLOC,originalIndividualCharacters,bestIndividualAvgTime,bestIndividualLOC,bestIndividualCharacters,time,better
0,806,195,5435,730,195,5452,"1378,598",true
1,807,195,5435,749,195,5435,"1159,632",false
2,782,195,5435,763,199,5599,"1150,351",true
3,786,195,5435,759,195,5432,"1115,024",true
4,762,195,5435,762,195,5435,"1134,899",false
5,771,195,5435,771,195,5435,"1151,528",false
6,822,195,5435,822,195,5435,"1230,364",false
7,771,195,5435,771,195,5435,"1231,08",false
8,1150,195,5435,828,195,5435,"1439,738",false
9,907,195,5435,862,195,5437,"1340,924",true
10,816,195,5435,816,195,5435,"1372,81",false
11,730,195,5435,730,195,5435,"1326,445",false
12,769,195,5435,769,195,5435,"1154,703",false
13,740,195,5435,740,195,5435,"1129,759",false
14,746,195,5435,746,195,5435,"1080,315",false
15,732,195,5435,732,195,5435,"1160,366",false
16,753,195,5435,753,195,5435,"1118,762",false
17,1830,195,5435,789,195,5435,"1171,329",false
18,791,195,5435,781,195,5413,"1271,016",true
19,1678,195,5435,803,195,5433,"1321,18",true
20,1112,195,5435,797,195,5442,"1277,969",true
21,768,195,5435,768,195,5435,"1263,624",false
22,849,195,5435,801,195,5434,"1258,66",true
23,779,195,5435,779,195,5435,"1243,543",false
24,804,195,5435,804,195,5435,"1220,537",false
25,812,195,5435,812,195,5435,"1202,646",false
26,800,195,5435,800,195,5435,"1240,517",false
27,837,195,5435,837,195,5435,"1215,024",false
28,820,195,5435,811,195,5429,"1252,377",true
29,896,195,5435,888,194,5321,"1780,44",true
30,747,195,5435,747,195,5435,"1394,314",false
31,795,195,5435,735,195,5435,"1199,414",false
32,731,195,5435,731,195,5435,"1093,932",false
33,775,195,5435,775,195,5435,"1058,63",false
34,840,195,5435,747,195,5421,"1196,317",true
35,742,195,5435,742,195,5435,"1108,326",false
36,751,195,5435,751,195,5435,"1191,003",false
37,811,195,5435,762,195,5419,"1214,555",true
38,864,195,5435,814,192,5385,"1379,827",true
39,1214,195,5435,854,195,5435,"1212,924",false
40,819,195,5435,819,195,5435,"1370,646",false
41,1182,195,5435,741,195,5361,"1383,345",true
42,1190,195,5435,763,195,5443,"1215,187",true
43,737,195,5435,737,195,5435,"1126,559",false
44,740,195,5435,740,195,5435,"1122,811",false
45,802,195,5435,764,195,5435,"1137,704",false
46,755,195,5435,755,195,5435,"1142,966",false
47,756,195,5435,756,195,5435,"3102,803",false
48,938,195,5435,797,195,5442,"1361,863",true
49,1058,195,5435,808,195,5435,"1264,719",false
50,925,195,5435,850,197,5517,"1355,475",true
51,890,195,5435,840,191,5384,"1334,081",true
52,1039,195,5435,813,195,5435,"1360,4",false
53,819,195,5435,819,195,5435,"1236,012",false
54,791,195,5435,791,195,5435,"1205,332",false
55,910,195,5435,826,195,5430,"1258,065",true
56,804,195,5435,804,195,5435,"1217,778",false
57,824,195,5435,824,195,5435,"1207,005",false
58,884,195,5435,884,195,5435,"1214,222",false
59,901,195,5435,736,195,5435,"1394,279",false
60,834,195,5435,756,195,5435,"1172,076",false
