sep=,
trial,originalIndividualAvgTime,originalIndividualLOC,originalIndividualCharacters,bestIndividualAvgTime,bestIndividualLOC,bestIndividualCharacters,time,better
0,"892",195,5435,"892",195,5435,"4,263",false
1,"734",195,5435,"734",195,5435,"4,671",false
2,"734",195,5435,"734",195,5435,"4,215",false
3,"733",195,5435,"733",195,5435,"4,19",false
4,"745",195,5435,"745",195,5435,"4,211",false
5,"734",195,5435,"734",195,5435,"4,21",false
6,"732",195,5435,"732",195,5435,"4,234",false
7,"731",195,5435,"731",195,5435,"4,209",false
8,"731",195,5435,"731",195,5435,"4,198",false
9,"733",195,5435,"733",195,5435,"4,268",false
10,"733",195,5435,"733",195,5435,"4,3",false
11,"738",195,5435,"738",195,5435,"4,291",false
12,"740",195,5435,"740",195,5435,"4,294",false
13,"734",195,5435,"734",195,5435,"4,277",false
14,"735",195,5435,"735",195,5435,"4,274",false
15,"741",195,5435,"741",195,5435,"4,298",false
16,"737",195,5435,"737",195,5435,"4,27",false
17,"734",195,5435,"734",195,5435,"4,278",false
18,"736",195,5435,"736",195,5435,"4,316",false
19,"735",195,5435,"735",195,5435,"4,269",false
20,"729",195,5435,"729",195,5435,"4,273",false
21,"733",195,5435,"733",195,5435,"4,289",false
22,"733",195,5435,"733",195,5435,"4,323",false
23,"740",195,5435,"740",195,5435,"4,277",false
24,"729",195,5435,"729",195,5435,"4,349",false
25,"733",195,5435,"733",195,5435,"4,313",false
26,"732",195,5435,"732",195,5435,"4,292",false
27,"733",195,5435,"733",195,5435,"4,279",false
28,"732",195,5435,"732",195,5435,"4,323",false
29,"772",195,5435,"772",195,5435,"4,355",false
30,"736",195,5435,"736",195,5435,"4,198",false
31,"732",195,5435,"732",195,5435,"4,213",false
32,"743",195,5435,"743",195,5435,"4,23",false
33,"732",195,5435,"732",195,5435,"4,227",false
34,"797",195,5435,"797",195,5435,"4,242",false
35,"761",195,5435,"761",195,5435,"4,265",false
36,"750",195,5435,"750",195,5435,"4,281",false
37,"738",195,5435,"738",195,5435,"4,349",false
38,"735",195,5435,"735",195,5435,"4,291",false
39,"740",195,5435,"740",195,5435,"4,299",false
40,"732",195,5435,"732",195,5435,"4,308",false
41,"731",195,5435,"731",195,5435,"4,312",false
42,"731",195,5435,"731",195,5435,"4,302",false
43,"732",195,5435,"732",195,5435,"4,271",false
44,"741",195,5435,"741",195,5435,"4,29",false
45,"735",195,5435,"735",195,5435,"4,287",false
46,"731",195,5435,"731",195,5435,"4,307",false
47,"736",195,5435,"736",195,5435,"4,281",false
48,"735",195,5435,"735",195,5435,"4,273",false
49,"731",195,5435,"731",195,5435,"4,3",false
50,"732",195,5435,"732",195,5435,"4,281",false
51,"730",195,5435,"730",195,5435,"6,307",false
52,"738",195,5435,"738",195,5435,"4,276",false
53,"735",195,5435,"735",195,5435,"4,272",false
54,"736",195,5435,"736",195,5435,"4,28",false
55,"737",195,5435,"737",195,5435,"4,336",false
56,"737",195,5435,"737",195,5435,"5,366",false
57,"754",195,5435,"754",195,5435,"6,345",false
58,"763",195,5435,"763",195,5435,"5,334",false
59,"755",195,5435,"755",195,5435,"4,307",false
