sep=,
trial,originalIndividualAvgTime,originalIndividualLOC,originalIndividualCharacters,bestIndividualAvgTime,bestIndividualLOC,bestIndividualCharacters,time,better
0,"894",195,5435,"738",187,5060,"871,204",true
0,"838",195,5435,"754",190,5370,"1556,247",true
1,"778",195,5435,"771",191,5204,"1241,026",true
2,"804",195,5435,"772",186,5020,"1293,328",true
3,"913",195,5435,"785",192,5312,"1497,144",true
4,"852",195,5435,"805",194,5362,"1700,232",true
5,"892",195,5435,"809",193,5221,"1828,809",true
6,"1014",195,5435,"840",183,5131,"1908,628",true
7,"905",195,5435,"811",195,5430,"2043,698",true
8,"880",195,5435,"845",195,5429,"2188,455",true
9,"1030",195,5435,"893",194,5418,"2342,333",true
10,"933",195,5435,"885",191,5313,"2647,324",true
11,"1091",195,5435,"895",185,5270,"2735,077",true
12,"1092",195,5435,"931",195,5424,"2995,764",true
13,"1069",195,5435,"962",191,5298,"3066,708",true
14,"1133",195,5435,"1125",194,5386,"3329,535",true
15,"1084",195,5435,"1084",195,5435,"3725,494",false
16,"1019",195,5435,"1019",195,5435,"3720,497",false
17,"922",195,5435,"922",195,5435,"3814,246",false
18,"1437",195,5435,"1108",194,5403,"4277,757",true
19,"1305",195,5435,"1305",195,5435,"4553,295",false
20,"811",195,5435,"730",188,5182,"892,649",true
21,"736",195,5435,"736",195,5435,"1016,086",false
22,"753",195,5435,"743",195,5424,"1040,879",true
23,"763",195,5435,"760",190,5303,"1150,865",true
24,"771",195,5435,"771",195,5435,"1246,077",false
25,"803",195,5435,"803",195,5435,"1382,229",false
26,"825",195,5435,"818",194,5396,"1554,384",true
27,"911",195,5435,"839",195,5429,"1658,35",true
28,"1252",195,5435,"806",190,5288,"1843,471",true
29,"944",195,5435,"899",195,5411,"1968,205",true
30,"969",195,5435,"969",195,5435,"2218,215",false
31,"1234",195,5435,"1167",195,5424,"2342,421",true
32,"1255",195,5435,"1208",185,5189,"2565,458",true
33,"1220",195,5435,"1220",195,5435,"2665,896",false
34,"1232",195,5435,"1212",195,5392,"2733,412",true
35,"1292",195,5435,"1199",191,5222,"2958,757",true
36,"1281",195,5435,"1223",188,5152,"3023,119",true
37,"1183",195,5435,"1183",195,5435,"3137,234",false
38,"1416",195,5435,"1272",194,5352,"3323,576",true
39,"1451",195,5435,"1293",187,5266,"3481,751",true
40,"1468",195,5435,"1251",190,5261,"3470,348",true
41,"1251",195,5435,"1251",195,5435,"3742,251",false
42,"1358",195,5435,"1240",186,5033,"3794,715",true
43,"1274",195,5435,"1272",195,5429,"3929,046",true
44,"1375",195,5435,"1279",192,5409,"4212,578",true
45,"1315",195,5435,"1285",193,5336,"4985,332",true
46,"1400",195,5435,"1286",188,5279,"5142,458",true
47,"1515",195,5435,"1276",185,5013,"4835,81",true
48,"1807",195,5435,"1299",182,5106,"4431,392",true
49,"1423",195,5435,"1251",195,5429,"5093,728",true
50,"1470",195,5435,"1397",195,5392,"5550,719",true
51,"1494",195,5435,"1376",191,5268,"5716,588",true
52,"1355",195,5435,"1355",195,5435,"6030,937",false
53,"1319",195,5435,"1319",195,5435,"6056,632",false
54,"1700",195,5435,"1520",189,5191,"7285,65",true
55,"1367",195,5435,"1355",195,5429,"7680,972",true
56,"1558",195,5435,"1555",194,5362,"7188,816",true
57,"1541",195,5435,"1349",192,5383,"7648,853",true
58,"1517",195,5435,"1350",189,5012,"8056,716",true
59,"1634",195,5435,"1566",190,5246,"8544,57",true
