trial;originalIndividualAvgTime;originalIndividualLOC;originalIndividualCharacters;bestIndividualAvgTime;bestIndividualLOC;bestIndividualCharacters;time;better
0;1248;160;7049;1248;160;7049;16,571;false
1;1334;160;7049;1334;160;7049;22,664;false
2;1479;160;7049;1479;160;7049;20,562;false
3;1386;160;7049;1386;160;7049;22,632;false
4;1724;160;7049;1724;160;7049;20,619;false
5;1648;160;7049;1648;160;7049;19,614;false
6;1648;160;7049;1648;160;7049;19,614;false
7;1627;160;7049;1627;160;7049;20,576;false
8;1585;160;7049;1585;160;7049;20,685;false
9;1339;160;7049;1339;160;7049;24,675;false
10;1333;160;7049;1333;160;7049;20,633;false
11;1540;160;7049;1540;160;7049;21,624;false
12;1627;160;7049;1627;160;7049;20,576;false
13;1357;160;7049;1357;160;7049;21,576;false
14;1372;160;7049;1372;160;7049;22,628;false
15;1399;160;7049;1399;160;7049;21,664;false
16;1376;160;7049;1376;160;7049;23,723;false
17;1321;160;7049;1321;160;7049;24,748;false
18;1610;160;7049;1610;160;7049;20,658;false
19;1341;160;7049;1341;160;7049;21,774;false
20;1558;160;7049;1558;160;7049;22,645;false
21;1644;160;7049;1644;160;7049;19,647;false
22;1854;160;7049;1854;160;7049;23,817;false
23;1430;160;7049;1430;160;7049;22,577;false
24;1347;160;7049;1347;160;7049;21,637;false
25;1644;160;7049;1644;160;7049;22,632;false
26;1708;160;7049;1708;160;7049;20,577;false
27;1379;160;7049;1379;160;7049;24,693;false
28;1510;160;7049;1510;160;7049;25,812;false
29;1531;160;7049;1531;160;7049;22,684;false
30;1878;160;7049;1878;160;7049;20,653;false
31;1698;160;7049;1698;160;7049;20,652;false
32;1577;160;7049;1577;160;7049;22,722;false
33;1911;160;7049;1911;160;7049;20,635;false
34;1860;160;7049;1860;160;7049;24,576;false
35;1595;160;7049;1595;160;7049;23,679;false
36;1752;160;7049;1752;160;7049;20,592;false
37;1897;160;7049;1897;160;7049;23,942;false
38;1497;160;7049;1497;160;7049;20,659;false
39;1391;160;7049;1391;160;7049;23,688;false
40;1479;160;7049;1479;160;7049;26,698;false
41;1418;160;7049;1418;160;7049;21,572;false
42;1439;160;7049;1338;160;7031;16,813;true
53;1398;160;7049;1398;160;7049;21,946;false
44;1743;160;7049;1743;160;7049;20,763;false
45;1391;160;7049;1391;160;7049;21,708;false
46;1585;160;7049;1585;160;7049;20,668;false
47;1907;160;7049;1907;160;7049;24,815;false
48;1627;160;7049;1627;160;7049;20,576;false
49;1373;160;7049;1373;160;7049;23,587;false
50;1348;160;7049;1348;160;7049;24,675;false
51;1634;160;7049;1634;160;7049;20,58;false
52;1833;160;7049;1833;160;7049;20,658;false
53;1398;160;7049;1398;160;7049;21,946;false
54;1671;160;7049;1671;160;7049;20,631;false
55;1889;160;7049;1889;160;7049;24,885;false
56;1399;160;7049;1399;160;7049;21,759;false
57;1536;160;7049;1536;160;7049;21,624;false
58;1420;160;7049;1420;160;7049;21,685;false
59;1538;160;7049;1538;160;7049;21,654;false
