sep=,
trial,originalIndividualAvgTime,originalIndividualLOC,originalIndividualCharacters,bestIndividualAvgTime,bestIndividualLOC,bestIndividualCharacters,time,better
0,"1509",160,7049,"1247",55,1597,"1412,674",true
1,"1260",160,7049,"1233",160,7026,"1808,008",true
2,"1484",160,7049,"1255",84,2768,"1704,655",true
3,"1327",160,7049,"1257",83,2698,"1568,887",true
4,"1309",160,7049,"1241",157,6926,"1752,61",true
5,"1509",160,7049,"1247",55,1597,"1412,674",true
6,"1509",160,7049,"1247",55,1597,"1412,674",true
7,"1715",160,7049,"1269",157,6838,"1873,424",true
8,"1560",160,7049,"1296",151,6669,"1972,534",true
9,"1301",160,7049,"1295",160,7019,"1857,953",true
10,"1681",160,7049,"1328",149,6349,"1938,517",true
11,"1349",160,7049,"1264",158,6916,"1867,255",true
12,"1409",160,7049,"1272",154,6714,"1926,843",true
13,"1528",160,7049,"1305",160,7038,"1958,47",true
14,"1668",160,7049,"1276",145,6411,"2018,742",true
15,"1685",160,7049,"1287",159,6941,"1882,301",true
16,"1347",160,7049,"1256",160,7038,"1883,103",true
17,"1358",160,7049,"1266",158,6939,"1879,751",true
18,"1397",160,7049,"1291",71,2340,"1618,084",true
19,"1629",160,7049,"1414",69,2284,"1674,062",true
20,"1417",160,7049,"1270",159,6917,"1873,491",true
21,"1432",160,7049,"1293",159,7032,"1907,928",true
22,"1549",160,7049,"1273",158,6831,"2030,62",true
23,"1514",160,7049,"1292",156,6780,"1879,668",true
24,"1710",160,7049,"1297",160,6909,"1884,992",true
25,"1466",160,7049,"660",72,2352,"1532,914",true
26,"1492",160,7049,"1277",72,2340,"1623,812",true
27,"1510",160,7049,"508",62,2059,"1548,501",true
28,"1406",160,7049,"1286",157,6938,"1846,831",true
29,"1531",160,7049,"1281",159,7002,"1855,681",true
30,"1545",160,7049,"1310",156,6847,"1842,388",true
31,"1509",160,7049,"1247",55,1597,"1412,674",true
32,"1464",160,7049,"1279",77,2526,"1598,995",true
33,"1463",160,7049,"1266",158,6889,"1853,938",true
34,"1615",160,7049,"776",147,6638,"1740,312",true
35,"1368",160,7049,"1279",145,6244,"1769,828",true
36,"1415",160,7049,"729",160,7040,"1639,472",true
37,"1650",160,7049,"1273",158,6999,"1641,131",true
38,"1498",160,7049,"547",157,6787,"1583,677",true
39,"1457",160,7049,"1303",84,2694,"1648,621",true
40,"1513",160,7049,"595",154,6875,"1699,666",true
41,"1639",160,7049,"1295",157,7003,"1816,953",true
42,"1608",160,7049,"1309",103,3754,"1522,512",true
43,"1361",160,7049,"1332",160,7043,"1661,348",true
43,"1361",160,7049,"1332",160,7043,"1661,348",true
45,"1599",160,7049,"1326",86,2822,"1496,762",true
46,"1478",160,7049,"1297",84,2715,"1643,312",true
47,"1482",160,7049,"1320",156,6853,"1871,359",true
48,"1336",160,7049,"605",154,6673,"1652,472",true
49,"1469",160,7049,"1283",155,6850,"1783,994",true
50,"1377",160,7049,"1285",156,6792,"1791,041",true
51,"1963",160,7049,"1320",151,6649,"1711,072",true
52,"1372",160,7049,"1312",140,6327,"1823,139",true
53,"1377",160,7049,"1273",158,6945,"1765,656",true
54,"1324",160,7049,"1283",158,6922,"1857,575",true
55,"1360",160,7049,"1313",159,6962,"1767,963",true
56,"1319",160,7049,"1276",86,2810,"1778,083",true
57,"1399",160,7049,"1289",72,2276,"1540,028",true
58,"1326",160,7049,"1267",158,6936,"1749",true
59,"1309",160,7049,"1271",157,6866,"1754,507",true
