sep=,
trial,originalIndividualAvgTime,originalIndividualLOC,originalIndividualCharacters,bestIndividualAvgTime,bestIndividualLOC,bestIndividualCharacters,time,better
0,"782",525,26091,"713",525,26073,"15,556",true
1,"712",525,26091,"712",525,26091,"9,666",false
2,"709",525,26091,"709",525,26091,"11,641",false
3,"713",525,26091,"713",525,26091,"13,031",false
4,"716",525,26091,"716",525,26091,"11,378",false
5,"709",525,26091,"709",525,26091,"10,54",false
6,"714",525,26091,"714",525,26091,"10,591",false
7,"710",525,26091,"710",525,26091,"10,843",false
8,"717",525,26091,"717",525,26091,"9,565",false
9,"709",525,26091,"709",525,26091,"13,707",false
10,"712",525,26091,"712",525,26091,"10,566",false
11,"714",525,26091,"714",525,26091,"12,682",false
12,"714",525,26091,"714",525,26091,"14,404",false
13,"704",525,26091,"704",525,26091,"11,639",false
14,"731",525,26091,"725",525,26069,"13,507",true
15,"710",525,26091,"710",525,26091,"10,581",false
16,"708",525,26091,"708",525,26091,"10,628",false
17,"709",525,26091,"709",525,26091,"11,59",false
18,"711",525,26091,"711",525,26091,"14,707",false
19,"714",525,26091,"714",525,26091,"12,92",false
20,"710",525,26091,"710",525,26091,"10,653",false
21,"709",525,26091,"709",525,26091,"15,61",false
22,"716",525,26091,"716",525,26091,"11,861",false
23,"725",525,26091,"710",520,25923,"14,894",true
24,"716",525,26091,"716",525,26091,"12,907",false
25,"710",525,26091,"710",525,26091,"10,536",false
26,"709",525,26091,"709",525,26091,"10,592",false
27,"722",525,26091,"722",525,26091,"11,588",false
28,"712",525,26091,"712",525,26091,"9,527",false
29,"722",525,26091,"722",525,26091,"9,572",false
30,"709",525,26091,"709",525,26091,"12,67",false
31,"710",525,26091,"710",525,26091,"9,522",false
32,"720",525,26091,"720",525,26091,"12,74",false
33,"717",525,26091,"717",525,26091,"13,062",false
34,"715",525,26091,"715",525,26091,"13,184",false
35,"713",525,26091,"713",525,26091,"10,554",false
36,"716",525,26091,"716",525,26091,"9,946",false
37,"708",525,26091,"708",525,26091,"11,663",false
38,"709",525,26091,"709",525,26091,"14,158",false
39,"713",525,26091,"713",525,26091,"12,497",false
40,"716",525,26091,"716",525,26091,"14,842",false
41,"715",525,26091,"715",525,26091,"10,605",false
42,"719",525,26091,"719",525,26091,"10,514",false
43,"711",525,26091,"711",525,26091,"9,596",false
44,"708",525,26091,"708",525,26091,"10,948",false
45,"720",525,26091,"720",525,26091,"10,475",false
46,"706",525,26091,"706",525,26091,"9,555",false
47,"707",525,26091,"707",525,26091,"11,84",false
48,"708",525,26091,"708",525,26091,"9,635",false
49,"735",525,26091,"706",520,25933,"13,163",true
50,"713",525,26091,"713",525,26091,"15,494",false
51,"779",525,26091,"746",524,26024,"12,595",true
52,"708",525,26091,"708",525,26091,"11,767",false
53,"711",525,26091,"711",525,26091,"9,8",false
54,"719",525,26091,"719",525,26091,"12,684",false
55,"708",525,26091,"708",525,26091,"9,516",false
56,"707",525,26091,"707",525,26091,"11,991",false
57,"705",525,26091,"705",525,26091,"12,631",false
58,"1567",525,26091,"727",524,26034,"12,707",true
59,"710",525,26091,"710",525,26091,"11,901",false
