trial;originalIndividualAvgTime;originalIndividualLOC;originalIndividualCharacters;bestIndividualAvgTime;bestIndividualLOC;bestIndividualCharacters;time;better
0;1415;525;26091;943;517;25346;8234,092;true
1;1423;525;26091;1078;231;8516;6593,045;true
2;1275;525;26091;1147;500;24659;7431,255;true
3;1367;525;26091;1160;516;25651;7589,387;true
4;1247;525;26091;1160;524;26030;8673,478;true
5;1660;525;26091;1224;484;23339;9007,738;true
6;1362;525;26091;1041;482;23515;8965,108;true
7;925;525;26091;695;505;25181;1521,087;true
8;699;525;26091;696;523;25991;1460,097;true
9;697;525;26091;697;525;26091;1468,666;false
10;700;525;26091;698;514;25651;1505,785;true
11;708;525;26091;697;510;25239;1503,093;true
12;731;525;26091;726;524;26010;1518,795;true
13;730;525;26091;726;520;25938;1506,763;true
14;735;525;26091;729;521;25973;1510,363;true
15;737;525;26091;725;397;18638;1373,013;true
16;732;525;26091;728;524;26025;1496,489;true
17;731;525;26091;727;524;26032;1501,552;true
18;732;525;26091;727;524;26032;1505,759;true
19;731;525;26091;729;524;26006;1510,053;true
20;741;525;26091;730;521;25872;1494,57;true
21;736;525;26091;730;520;25893;1508,591;true
22;730;525;26091;727;525;26087;1500,472;true
23;901;525;26091;726;491;23811;1458,985;true
24;738;525;26091;725;519;25757;4975,566;true
25;727;525;26091;710;524;26034;1390,707;true
26;717;525;26091;716;525;26086;1460,138;true
27;743;525;26091;713;523;26019;1525,996;true
28;744;525;26091;719;523;25981;1669,394;true
29;770;525;26091;725;482;23350;1732,125;true
30;744;525;26091;735;521;25986;1874,522;true
31;761;525;26091;739;517;25647;1940,042;true
32;789;525;26091;735;521;25772;2179,933;true
33;833;525;26091;705;517;25759;2189,828;true
34;805;525;26091;744;517;25625;2447,346;true
35;823;525;26091;743;502;25028;2484,407;true
36;750;525;26091;750;525;26091;2603,369;false
37;885;525;26091;751;519;25689;2697,17;true
38;905;525;26091;761;521;25846;2724,233;true
39;824;525;26091;771;518;25570;2982,234;true
40;808;525;26091;807;500;25134;2955,5;true
41;951;525;26091;760;489;24276;3179,809;true
42;889;525;26091;794;513;25396;3272,419;true
43;898;525;26091;771;158;5467;2889,011;true
44;956;525;26091;772;483;23544;3433,892;true
45;808;525;26091;770;519;25811;3529,382;true
46;862;525;26091;833;524;26014;3569,947;true
47;836;525;26091;770;522;26025;3872,193;true
48;844;525;26091;828;523;25889;4436,84;true
49;850;525;26091;836;522;25985;4300,177;true
50;865;525;26091;839;522;25962;5008,395;true
51;884;525;26091;807;524;26055;4114,953;true
52;928;525;26091;812;520;25808;4369,24;true
53;886;525;26091;809;519;25843;4501,389;true
54;1074;525;26091;849;517;25783;5244,96;true
55;1040;525;26091;841;521;25974;5247,7;true
56;848;525;26091;848;525;26091;5367,61;false
57;1926;525;26091;901;520;25889;5568,424;true
58;1005;525;26091;937;519;25810;6531,784;true
59;1171;525;26091;893;514;25313;6907,6;true
