Lib;Heuristic;Trial;Lines;% Improved Loc;Chars;% Improved Chars;Instructions;% Improved Instructions;Time Spent
gulp-cccr;Original;-;1;0;10927;0;5257;0;0
gulp-cccr;RD;0;1;0;10506;0.03852841585064519;5164;0.017690698116796653;0
gulp-cccr;RD;1;1;0;3034;0.7223391598791983;2139;0.593113943313677;0
gulp-cccr;RD;2;1;0;10177;0.06863732039901162;5050;0.03937607000190223;0
gulp-cccr;RD;3;1;0;10800;0.011622586254232634;5158;0.01883203347917063;0
gulp-cccr;RD;4;1;0;10912;0.0013727464079802325;5244;0.0024728932851436182;0
gulp-cccr;RD;5;1;0;9832;0.10021048778255696;4754;0.09568194787901844;0
gulp-cccr;RD;6;1;0;10129;0.07303010890454836;4810;0.08502948449686133;0
gulp-cccr;RD;7;1;0;10687;0.02196394252768372;5012;0.04660452729693742;0
gulp-cccr;RD;8;1;0;10897;0.002745492815960465;5224;0.006277344493056876;0
gulp-cccr;RD;10;1;0;10832;0.008694060583874806;5151;0.02016359140194027;0
gulp-cccr;RD;11;1;0;10732;0.01784570330374302;5155;0.019402701160357617;0
gulp-cccr;RD;12;1;0;9871;0.09664134712180837;4041;0.23131063344112612;0
gulp-cccr;RD;13;1;0;10888;0.0035691406607486044;5211;0.008750237778200495;0
gulp-cccr;RD;14;1;0;10896;0.002837009243159147;5231;0.0049457865702872365;0
gulp-cccr;RD;15;1;0;8759;0.19840761416674293;3931;0.252235115084649;0
gulp-cccr;RD;16;1;0;10900;0.0024709435343644184;5224;0.006277344493056876;0
gulp-cccr;RD;17;1;0;10916;0.0010066806991855038;5240;0.00323378352672627;0
gulp-cccr;RD;18;1;0;10916;0.0010066806991855038;5240;0.00323378352672627;0
gulp-cccr;RD;19;1;0;10899;0.0025624599615631004;5244;0.0024728932851436182;0
gulp-cccr;RD;20;1;0;10862;0.005948567767914341;5190;0.012744911546509415;0
gulp-cccr;RD;21;1;0;10894;0.0030200420975565116;5223;0.00646756705345254;0
gulp-cccr;RD;22;1;0;10932;0.0004575821359934108;5254;0.0005706676811869887;0
gulp-cccr;RD;23;1;0;10225;0.06424453189347488;4911;0.06581700589689937;0
gulp-cccr;RD;24;1;0;10835;0.008419511302278759;5188;0.013125356667300742;0
gulp-cccr;RD;25;1;0;10892;0.0032030749519538757;5244;0.0024728932851436182;0
gulp-cccr;RD;26;1;0;10925;0.00018303285439736432;5252;0.0009511128019783146;0
gulp-cccr;RD;27;1;0;10858;0.006314633476709069;5179;0.014837359710861708;0
gulp-cccr;RD;28;1;0;10889;0.0034776242335499224;5220;0.007038234734639528;0
gulp-cccr;RD;29;1;0;9961;0.08840486867392697;4811;0.08483926193646567;0
gulp-cccr;GA;2;1;0;9845;0.0990207742289741;4000;0.2391097584173483;0
gulp-cccr;GA;4;1;0;10907;0.0018303285439736432;5242;0.002853338405934944;0
gulp-cccr;GA;5;1;0;10900;0.0024709435343644184;5248;0.0017120030435609664;0
gulp-cccr;GA;7;1;0;10940;0.0011897135535828681;5258;0.00019022256039566293;0
gulp-cccr;GA;8;1;0;10721;0.018852384002928525;5208;0.009320905459387484;0
gulp-cccr;GA;9;1;0;10916;0.0010066806991855038;5240;0.00323378352672627;0
gulp-cccr;GA;12;1;0;3059;0.7200512491992312;2163;0.5885486018641811;0
gulp-cccr;GA;14;1;0;10896;0.002837009243159147;5248;0.0017120030435609664;0
gulp-cccr;GA;15;1;0;10927;0;5257;0;0
gulp-cccr;GA;16;1;0;10946;0.0017388121167749612;5258;0.00019022256039566293;0
gulp-cccr;GA;18;1;0;10932;0.0004575821359934108;5257;0;0
gulp-cccr;GA;20;1;0;10934;0.0006406149903907751;5257;0;0
gulp-cccr;GA;21;1;0;10932;0.0004575821359934108;5257;0;0
gulp-cccr;GA;24;1;0;10924;0.00027454928159604647;5249;0.0015217804831653035;0
gulp-cccr;GA;26;1;0;10916;0.0010066806991855038;5240;0.00323378352672627;0
gulp-cccr;GA;27;1;0;10926;0.00009151642719868216;5257;0;0
gulp-cccr;HC;0;1;0;10918;0.0008236478447881395;5245;0.002282670724747955;0
gulp-cccr;HC;14;1;0;10917;0.0009151642719868216;5248;0.0017120030435609664;0
gulp-cccr;HC;23;1;0;10828;0.009060126292669534;5133;0.023587597489062202;0
