sep=,
trial,originalIndividualAvgTime,originalIndividualLOC,originalIndividualCharacters,bestIndividualAvgTime,bestIndividualLOC,bestIndividualCharacters,time,better
0,"38293",7412,342435,"38293",7412,342435,"45288,447",false
1,"38234",7412,342435,"38234",7412,342435,"46430,098",false
2,"46294",7412,342435,"46294",7412,342435,"44928,05",false
3,"38300",7412,342435,"38300",7412,342435,"44815,219",false
4,"38190",7412,342435,"38190",7412,342435,"45143,393",false
5,"38432",7412,342435,"38432",7412,342435,"46538,648",false
6,"38446",7412,342435,"38446",7412,342435,"45829,929",false
7,"38247",7412,342435,"38247",7412,342435,"44611,495",false
8,"38343",7412,342435,"38343",7412,342435,"45213,511",false
9,"38341",7412,342435,"38341",7412,342435,"46323,765",false
10,"38418",7412,342435,"38418",7412,342435,"45535,253",false
11,"38475",7412,342435,"38475",7412,342435,"45937,19",false
12,"39993",7412,342435,"39993",7412,342435,"46694,142",false
13,"38507",7412,342435,"38507",7412,342435,"45781,378",false
14,"38311",7412,342435,"38311",7412,342435,"45549,174",false
15,"38339",7412,342435,"38339",7412,342435,"45546,846",false
16,"38337",7412,342435,"38337",7412,342435,"45018,105",false
17,"45990",7412,342435,"45990",7412,342435,"45360,331",false
18,"39717",7412,342435,"39717",7412,342435,"46156,446",false
19,"38269",7412,342435,"38269",7412,342435,"45448,065",false
20,"39433",7412,342435,"39433",7412,342435,"43927,164",false
21,"38321",7412,342435,"38321",7412,342435,"47093,107",false
22,"51439",7412,342435,"51439",7412,342435,"45178,19",false
23,"40376",7412,342435,"40376",7412,342435,"46001,928",false
24,"38354",7412,342435,"38354",7412,342435,"45543,88",false
25,"39032",7412,342435,"39032",7412,342435,"46608,978",false
26,"38318",7412,342435,"38318",7412,342435,"45906,086",false
27,"38430",7412,342435,"38430",7412,342435,"46026,54",false
28,"38988",7412,342435,"38988",7412,342435,"45106,697",false
29,"38424",7412,342435,"38424",7412,342435,"44947,945",false
30,"38276",7412,342435,"38276",7412,342435,"45467,148",false
31,"38525",7412,342435,"38525",7412,342435,"46232,284",false
32,"40208",7412,342435,"40208",7412,342435,"45406,183",false
33,"44922",7412,342435,"44922",7412,342435,"43412,39",false
34,"38300",7412,342435,"38300",7412,342435,"44549,761",false
35,"38446",7412,342435,"38446",7412,342435,"44628,001",false
36,"38316",7412,342435,"38316",7412,342435,"45442,991",false
37,"38331",7412,342435,"38331",7412,342435,"46218,579",false
38,"38326",7412,342435,"38326",7412,342435,"45085,407",false
39,"38424",7412,342435,"38424",7412,342435,"43537,268",false
40,"53842",7412,342435,"53842",7412,342435,"44660,246",false
41,"38185",7412,342435,"38185",7412,342435,"46060,178",false
42,"38926",7412,342435,"38926",7412,342435,"44477,879",false
43,"38564",7412,342435,"38564",7412,342435,"45594,867",false
44,"38197",7412,342435,"38197",7412,342435,"45191,781",false
45,"38284",7412,342435,"38284",7412,342435,"44381,23",false
46,"38395",7412,342435,"38395",7412,342435,"45706,358",false
47,"38725",7412,342435,"38725",7412,342435,"45202,494",false
48,"38574",7412,342435,"38574",7412,342435,"44731,603",false
49,"58398",7412,342435,"58398",7412,342435,"45659,726",false
50,"38364",7412,342435,"38364",7412,342435,"46307,889",false
51,"40188",7412,342435,"40188",7412,342435,"45638,571",false
52,"39775",7412,342435,"39775",7412,342435,"45508,531",false
53,"38398",7412,342435,"38398",7412,342435,"45406,514",false
54,"39219",7412,342435,"39219",7412,342435,"45082,446",false
55,"39626",7412,342435,"39626",7412,342435,"46054,287",false
56,"38234",7412,342435,"38234",7412,342435,"45703,544",false
57,"45104",7412,342435,"45104",7412,342435,"45287,688",false
58,"39508",7412,342435,"39508",7412,342435,"45801,571",false
59,"45375",7412,342435,"45375",7412,342435,"44939,294",false
