sep=,
trial,originalIndividualAvgTime,originalIndividualLOC,originalIndividualCharacters,bestIndividualAvgTime,bestIndividualLOC,bestIndividualCharacters,time,better
0,"38717",7412,342435,"38214",7405,342097,"9682,486",true
1,"39754",7412,342435,"38766",7412,342381,"12469,686",true
2,"38987",7412,342435,"38746",7412,342425,"12147,85",true
3,"38753",7412,342435,"38626",7412,342405,"12634,06",true
4,"39636",7412,342435,"38210",7408,342309,"11576,099",true
5,"43004",7412,342435,"38271",7412,342412,"12408,058",true
6,"41601",7412,342435,"38586",7412,342423,"12736,011",true
7,"38457",7412,342435,"38242",7412,342381,"12762,452",true
8,"42079",7412,342435,"38510",7405,342129,"11476,713",true
9,"38808",7412,342435,"38654",7410,342332,"12687,231",true
10,"41302",7412,342435,"38577",7409,342210,"10235,528",true
11,"39528",7412,342435,"38380",7387,341309,"12427,316",true
12,"39814",7412,342435,"38536",7409,342273,"10945,557",true
13,"38451",7412,342435,"38169",7411,342344,"12856,225",true
14,"39505",7412,342435,"38474",7409,342238,"11813,029",true
15,"40346",7412,342435,"38329",7411,342342,"11297,079",true
16,"42398",7412,342435,"38735",7411,342323,"10600,361",true
17,"42351",7412,342435,"38432",7410,342282,"11359,548",true
18,"39616",7412,342435,"38368",7411,342335,"11331,253",true
19,"39448",7412,342435,"38254",7408,342109,"12322,563",true
20,"42304",7412,342435,"38804",7411,342262,"11427,935",true
21,"43466",7412,342435,"38218",7398,341607,"10929,377",true
22,"45415",7412,342435,"38308",7403,342074,"11109,517",true
23,"41241",7412,342435,"38375",7407,342219,"11172,735",true
24,"43732",7412,342435,"38375",7401,341967,"12073,611",true
25,"41677",7412,342435,"38473",7408,342203,"11941,085",true
26,"40049",7412,342435,"38194",7410,342270,"13051,193",true
27,"52653",7412,342435,"38461",7410,342277,"11714,246",true
28,"44720",7412,342435,"38275",7401,341764,"12115,365",true
29,"44644",7412,342435,"38221",7407,342148,"11128,479",true
30,"51740",7412,342435,"38822",7405,342048,"10674,777",true
31,"41345",7412,342435,"38397",7411,342348,"10781,042",true

33,"55996",7412,342435,"38294",7403,341843,"10861,434",true
34,"48089",7412,342435,"38168",7404,341938,"11457,692",true
35,"47240",7412,342435,"38620",7400,341713,"12034,847",true
36,"47633",7412,342435,"38184",7403,341977,"9880,114",true
37,"44728",7412,342435,"38204",7409,342181,"11614,585",true
38,"45446",7412,342435,"38332",7320,338098,"10593,487",true
39,"43986",7412,342435,"38166",7409,342221,"11487,603",true
40,"47104",7412,342435,"38339",7408,342210,"11551,577",true
41,"49971",7412,342435,"38565",7410,342350,"11165,661",true
42,"55848",7412,342435,"38221",7351,338868,"11446,76",true
43,"44386",7412,342435,"38224",7408,342180,"10764,328",true
44,"43942",7412,342435,"38277",7410,342281,"11670,488",true
45,"41636",7412,342435,"38251",7409,342264,"11591,521",true
46,"55933",7412,342435,"38274",7328,337961,"11693,756",true
47,"42259",7412,342435,"38105",7409,342183,"12487,089",true
48,"58901",7412,342435,"38311",7406,342067,"11089,286",true
49,"44793",7412,342435,"38115",7406,342114,"11591,584",true
50,"61811",7412,342435,"38274",7405,342010,"11405,329",true
51,"49508",7412,342435,"38136",7358,340158,"10640,352",true
52,"43025",7412,342435,"38358",7405,342088,"11649,276",true
53,"72282",7412,342435,"38533",7403,341869,"11084,341",true
54,"58046",7412,342435,"38163",7399,341548,"11270,835",true
55,"46951",7412,342435,"38062",7409,342259,"11121,8",true
56,"47513",7412,342435,"38173",7409,342235,"11151,782",true
57,"236305",7412,342435,"38373",7362,340172,"10802,946",true
58,"44445",7412,342435,"38235",7410,342228,"11130,48",true
59,"80106",7412,342435,"38565",7406,342005,"11732,953",true
