sep=,
trial,originalIndividualAvgTime,originalIndividualLOC,originalIndividualCharacters,bestIndividualAvgTime,bestIndividualLOC,bestIndividualCharacters,time,better
0,"39344",7414,342517,"38325",7403,341982,"30948,998",true
1,"38405",7412,342435,"38405",7412,342435,"32920,707",false
2,"54182",7412,342435,"45255",7407,342085,"37941,261",true
3,"38107",7412,342435,"38107",7412,342435,"33269,451",false
4,"44878",7412,342435,"38419",7408,342138,"32857,603",true
5,"42674",7412,342435,"38573",7303,337814,"32970,759",true
6,"44073",7412,342435,"38587",7401,341997,"33695,838",true
7,"38128",7412,342435,"38128",7412,342435,"34126,592",false
8,"38887",7412,342435,"38302",7406,341965,"33633,013",true
9,"38693",7412,342435,"38339",7411,342366,"33058,309",true
10,"38843",7412,342435,"38437",7412,342425,"34647,098",true
11,"40421",7412,342435,"38437",7411,342352,"32967,094",true
12,"38953",7412,342435,"38691",7408,342249,"32366,152",true
13,"41175",7412,342435,"38433",7411,342372,"33788,777",true
14,"39105",7412,342435,"38564",7407,342282,"33617,209",true
15,"40270",7412,342435,"38373",7404,341861,"32845,341",true
16,"38678",7412,342435,"38279",7398,341822,"33246,594",true
17,"38613",7412,342435,"38333",7395,341569,"33025,536",true
18,"40105",7412,342435,"38417",7343,338218,"33731,86",true
19,"38959",7412,342435,"38306",7410,342310,"32757,531",true
20,"38806",7412,342435,"38425",7412,342431,"32759,64",true
21,"38596",7412,342435,"38433",7412,342417,"33361,142",true
22,"40815",7412,342435,"38513",7408,342235,"33733,649",true
23,"39206",7412,342435,"38245",7407,342148,"32552,379",true
24,"39111",7412,342435,"38146",7408,342147,"34276,189",true
25,"45228",7412,342435,"38255",7411,342277,"34286,932",true
26,"39500",7412,342435,"38407",7400,341863,"33145,238",true
27,"38446",7412,342435,"38178",7411,342354,"33766,126",true
28,"38256",7412,342435,"38256",7412,342435,"33425,644",false
29,"39350",7412,342435,"38240",7409,342248,"34367,637",true
30,"40843",7412,342435,"38462",7381,340601,"32756,511",true
31,"39176",7412,342435,"38344",7394,341908,"33561,133",true
32,"38899",7412,342435,"38510",7379,341174,"33783,097",true
33,"38452",7412,342435,"38247",7408,342293,"33659,446",true
34,"39942",7412,342435,"38258",7407,342124,"33653,846",true
35,"70431",7412,342435,"38139",7405,342051,"33866,973",true
36,"40609",7412,342435,"38433",7384,341133,"34724,69",true
37,"41460",7412,342435,"38278",7400,341821,"33999,499",true
38,"41906",7412,342435,"38359",7393,341400,"35136,78",true
39,"38766",7412,342435,"38438",7401,341650,"33805,67",true
40,"40805",7412,342435,"38288",7400,341897,"33717,557",true
41,"40584",7412,342435,"38338",7409,342221,"33521,761",true
42,"39201",7412,342435,"38245",7410,342332,"33464,505",true
43,"41397",7412,342435,"38280",7383,341265,"32615,075",true
44,"42549",7412,342435,"38295",7400,341795,"33336,913",true
45,"43912",7412,342435,"38149",7402,341998,"33928,954",true
46,"112439",7412,342435,"38252",7388,340961,"33502,092",true
47,"40826",7412,342435,"38090",7407,341983,"33686,024",true
48,"46779",7412,342435,"38215",7407,342203,"33115,597",true
49,"73552",7412,342435,"38255",7397,341623,"33699,154",true
50,"41728",7412,342435,"38265",7401,341946,"33839,143",true
51,"39842",7412,342435,"38524",7404,342044,"34087,867",true
52,"84993",7412,342435,"38174",7392,341277,"33798,043",true
53,"45736",7412,342435,"38239",7387,341575,"33262,251",true
54,"38359",7412,342435,"38313",7395,341483,"33440,997",true
55,"207579",7412,342435,"38280",7403,341882,"33433,91",true
56,"40036",7412,342435,"38281",7344,339454,"32769,53",true
57,"42250",7412,342435,"38245",7379,340471,"33692,582",true
58,"39384",7412,342435,"38262",7408,342150,"33055,007",true
59,"41878",7412,342435,"38297",7412,342403,"33950,536",true
