Lib;Heuristic;Trial;Lines;% Improved Loc;Chars;% Improved Chars;Instructions;% Improved Instructions;Time Spent
jquery;Original;-;1;0;86587;0;96459;0;0
jquery;RD;3;1;0;86587;0;96459;0;0
jquery;RD;4;1;0;86543;0.0005081594234700359;96414;0.00046651945386122604;0
jquery;RD;5;1;0;83596;0.0345432917181563;93351;0.03222094361334868;0
jquery;RD;6;1;0;86447;0.0016168708928592053;96291;0.0017416726277485772;0
jquery;RD;7;1;0;86587;0;96459;0;0
jquery;RD;8;1;0;86454;0.001536027348216245;96322;0.0014202925595330658;0
jquery;RD;9;1;0;86545;0.00048506126785776153;96413;0.00047688655283591993;0
jquery;RD;10;1;0;86604;0.00019633432270433205;96464;0.000051835494873469556;0
jquery;RD;11;1;0;86157;0.004966103456638987;95930;0.005484195357613079;0
jquery;RD;12;1;0;86515;0.0008315336020418769;96393;0.0006842285323297981;0
jquery;RD;13;1;0;86567;0.0002309815561227436;96428;0.00032138006821551127;0
jquery;RD;14;1;0;86563;0.00027717786734729233;96423;0.0003732155630889808;0
jquery;RD;15;1;0;86459;0.001478281959185559;96236;0.002311863071356742;0
jquery;RD;16;1;0;86473;0.0013165948698996386;96271;0.0019490146072424553;0
jquery;RD;17;1;0;86402;0.0021365793941353784;96220;0.002477736654951845;0
jquery;RD;18;1;0;84904;0.019437097947728875;94033;0.025150582112607428;0
jquery;RD;19;1;0;86535;0.0006005520459191334;96399;0.0006220259384816346;0
jquery;RD;20;1;0;86586;0.00001154907780613718;96456;0.000031101296924081736;0
jquery;RD;21;1;0;86582;0.0000577453890306859;96450;0.0000933038907722452;0
jquery;RD;22;1;0;86542;0.0005197085012761732;96399;0.0006220259384816346;0
jquery;RD;23;1;0;86525;0.0007160428239805052;96382;0.0007982666210514312;0
jquery;RD;24;1;0;86554;0.00038111956760252696;96410;0.0005079878497600016;0
jquery;RD;25;1;0;86574;0.00015013801147978334;96450;0.0000933038907722452;0
jquery;RD;26;1;0;86362;0.0025985425063808653;96200;0.002685078634445723;0
jquery;RD;27;1;0;86320;0.003083603774238627;96104;0.0036803201360163388;0
jquery;RD;28;1;0;86587;0;96459;0;0
jquery;RD;29;1;0;86573;0.00016168708928592052;96393;0.0006842285323297981;0
jquery;GA;0;1;0;86587;0;96459;0;0
jquery;GA;1;1;0;86587;0;96459;0;0
jquery;GA;2;1;0;86587;0;96459;0;0
jquery;GA;3;1;0;86587;0;96459;0;0
jquery;GA;4;1;0;86587;0;96459;0;0
jquery;GA;6;1;0;86587;0;96459;0;0
jquery;GA;7;1;0;86587;0;96459;0;0
jquery;GA;8;1;0;86587;0;96459;0;0
jquery;GA;9;1;0;86587;0;96459;0;0
jquery;GA;10;1;0;86587;0;96459;0;0
jquery;GA;11;1;0;86587;0;96459;0;0
jquery;GA;12;1;0;86587;0;96459;0;0
jquery;GA;13;1;0;86587;0;96459;0;0
jquery;GA;14;1;0;86587;0;96459;0;0
jquery;GA;15;1;0;86587;0;96459;0;0
jquery;GA;16;1;0;86587;0;96459;0;0
jquery;GA;17;1;0;86587;0;96459;0;0
jquery;GA;18;1;0;86587;0;96459;0;0
jquery;GA;19;1;0;86587;0;96459;0;0
jquery;GA;20;1;0;86587;0;96459;0;0
jquery;GA;21;1;0;86587;0;96459;0;0
jquery;GA;22;1;0;86587;0;96459;0;0
jquery;GA;23;1;0;86587;0;96459;0;0
jquery;GA;24;1;0;86587;0;96459;0;0
jquery;GA;25;1;0;86587;0;96459;0;0
jquery;GA;26;1;0;86587;0;96459;0;0
jquery;GA;27;1;0;86587;0;96459;0;0
jquery;GA;28;1;0;86587;0;96459;0;0
jquery;GA;29;1;0;86587;0;96459;0;0
jquery;HC;0;1;0;86453;0.001547576426022382;96345;0.0011818492831151058;0
jquery;HC;1;1;0;86547;0.0004619631122454872;96415;0.0004561523548865321;0
jquery;HC;2;1;0;86585;0.00002309815561227436;96456;0.000031101296924081736;0
jquery;HC;3;1;0;86571;0.00018478524489819488;96441;0.0001866077815444904;0
jquery;HC;4;1;0;86539;0.0005543557346945847;96407;0.0005390891466840834;0
jquery;HC;5;1;0;86562;0.0002887269451534295;96435;0.0002488103753926539;0
jquery;HC;6;1;0;86603;0.00018478524489819488;96439;0.00020734197949387822;0
jquery;HC;7;1;0;86512;0.0008661808354602885;96358;0.001047076996444085;0
jquery;HC;8;1;0;86470;0.00135124210331805;96359;0.0010367098974693911;0
jquery;HC;9;1;0;86537;0.000577453890306859;96404;0.0005701904436081651;0
jquery;HC;10;1;0;86539;0.0005543557346945847;96406;0.0005494562456587773;0
jquery;HC;11;1;0;86242;0.003984431843117327;96073;0.00400170020423185;0
jquery;HC;12;1;0;86514;0.0008430826798480141;96385;0.0007671653241273494;0
jquery;HC;13;1;0;86575;0.00013858893367364616;96441;0.0001866077815444904;0
jquery;HC;14;1;0;86584;0.00003464723341841154;96464;0.000051835494873469556;0
jquery;HC;15;1;0;86572;0.0001732361670920577;96440;0.00019697488051918433;0
jquery;HC;16;1;0;86529;0.0006698465127559564;96390;0.0007153298292538799;0
jquery;HC;17;1;0;86535;0.0006005520459191334;96413;0.00047688655283591993;0
jquery;HC;18;1;0;86526;0.000704493746174368;96391;0.0007049627302791859;0
jquery;HC;19;1;0;86561;0.0003002760229595667;96423;0.0003732155630889808;0
jquery;HC;20;1;0;86498;0.001027867924746209;96313;0.0015135964503053111;0
jquery;HC;21;1;0;86440;0.0016977144375021655;96334;0.0012958873718367388;0
jquery;HC;22;1;0;86493;0.001085613313776895;96351;0.0011196466892669425;0
jquery;HC;23;1;0;86494;0.0010740642359707577;96362;0.0010056086005453095;0
jquery;HC;24;1;0;86346;0.00278332775127906;96230;0.0023740656652049058;0
jquery;HC;25;1;0;86479;0.0012473004030628153;96351;0.0011196466892669425;0
jquery;HC;26;1;0;86555;0.00036957048979638975;96396;0.0006531272354057164;0
jquery;HC;27;1;0;86537;0.000577453890306859;96328;0.0013580899656849023;0
jquery;HC;28;1;0;86390;0.0022751683278090244;96244;0.002228926279559191;0
jquery;HC;29;1;0;86525;0.0007160428239805052;96320;0.0014410267574824537;0
