Rodada;Algoritmo;min;max;media;mediana;duracao
0;original;37.964;38.150;38.039;38.037;1.141.124
0;RD;37.992;38.237;38.082;38.090;1.142.701
1;RD;38.017;38.667;38.096;38.138;1.144.126
2;RD;38.007;38.135;38.084;38.081;1.142.428
3;RD;38.004;38.405;38.083;38.098;1.142.937
4;RD;38.035;38.364;38.089;38.105;1.143.138
5;RD;38.077;63.105;61.257;56.836;1.705.070
6;RD;54.944;63.685;61.548;61.330;1.839.914
7;RD;52.449;55.525;54.991;54.859;1.645.757
8;RD;53.884;55.337;54.636;54.622;1.638.672
9;RD;52.410;55.265;54.496;54.420;1.632.591
10;RD;48.232;55.905;54.247;54.183;1.625.498
11;RD;52.678;54.882;53.861;53.851;1.615.528
12;RD;48.064;54.353;53.590;53.366;1.600.977
13;RD;51.885;54.125;53.463;53.369;1.601.076
14;RD;52.989;55.169;53.572;53.645;1.609.336
15;RD;52.134;54.819;53.548;53.487;1.604.612
16;RD;52.705;55.005;53.681;53.694;1.610.826
17;RD;47.070;54.548;53.647;53.482;1.604.465
18;RD;47.350;54.272;53.506;53.230;1.596.890
19;RD;53.043;54.381;53.525;53.582;1.607.474
20;RD;52.736;54.557;53.559;53.577;1.607.320
21;RD;52.476;54.193;53.585;53.546;1.606.372
22;RD;51.769;54.233;53.513;53.469;1.604.065
23;RD;47.261;54.541;53.729;53.574;1.607.230
24;RD;51.184;54.124;53.521;53.425;1.602.750
25;RD;52.543;54.379;53.423;53.399;1.601.980
26;RD;47.437;54.740;53.228;53.032;1.590.962
27;RD;48.442;53.005;52.201;52.103;1.563.088
28;RD;49.297;52.852;52.135;51.950;1.558.486
29;RD;49.364;54.143;53.300;53.186;1.595.583
30;RD;50.949;54.294;532.400;53.110;1.593.312
31;RD;48.282;54.093;533.200;53.169;1.595.060
32;RD;51.300;53.827;52.543;52.529;1.575.860
33;RD;49.761;54.656;52.409;52.330;1.569.902
34;RD;50.883;53.323;52.392;52.316;1.569.479
35;RD;50.714;53.395;52.322;52.224;1.566.728
36;RD;50.805;55.357;51.936;52.113;1.563.383
37;RD;51.142;53.057;52.113;52.125;1.563.759
38;RD;45.624;53.028;52.361;51.845;1.555.346
39;RD;50.004;53.047;52.130;52.083;1.562.487
40;RD;48.692;52.895;52.075;52.002;1.560.049
41;RD;51.055;52.794;51.974;52.034;1.561.014
42;RD;51.212;53.613;52.271;52.267;1.568.004
43;RD;50.640;53.074;52.032;52.014;1.560.421
44;RD;46.371;52.558;51.686;51.481;1.544.437
45;RD;51.319;52.736;51.857;51.894;1.556.834
46;RD;48.722;53.112;51.956;51.853;1.555.576
47;RD;51.217;53.227;51.857;51.968;1.559.039
48;RD;50.467;53.357;52.243;52.194;1.565.828
49;RD;51.075;52.584;51.840;51.855;1.555.653
50;RD;46.400;52.319;51.902;51.639;1.549.162
51;RD;506.700;52.966;51.916;51.950;1.558.502
52;RD;489.900;53.218;52.081;52.014;1.560.418
53;RD;50.784;52.558;51.817;51.777;1.553.321
54;RD;46.778;52.669;51.908;51.617;1.548.501
55;RD;45.883;52.702;51.989;51.787;1.553.619
56;RD;46.829;52.903;51.683;51.393;1.541.784
57;RD;50.415;52.698;51.689;51.800;1.554.000
58;RD;47.894;53.141;52.001;51.900;1.556.989
0;HC;48.065;53.049;52.325;52.139;1.564.166
1;HC;47.740;52.395;51.882;51.584;1.547.524
2;HC;51.148;52.524;51.766;51.764;1.552.929
3;HC;51.125;54.978;51.874;51.941;1.558.244
