sep=,
trial,originalIndividualAvgTime,originalIndividualLOC,originalIndividualCharacters,bestIndividualAvgTime,bestIndividualLOC,bestIndividualCharacters,time,better
0,"7630",10795,406834,"7549",10795,406834,"30988,723",false
1,"9101",10795,406834,"8632",10795,406834,"35266,922",false
2,"8095",10795,406834,"7636",10795,406834,"54760,107",false
3,"11982",10795,406834,"8280",10795,406834,"31298,165",false
4,"7878",10795,406834,"7651",10795,406834,"50724,94",false
5,"7881",10795,406834,"7707",10795,406834,"53671,212",false
6,"7906",10795,406834,"7821",10795,406834,"31601,276",false
7,"7660",10795,406834,"7533",10795,406834,"31182,496",false
8,"14433",10795,406834,"7703",10795,406834,"54176,318",false
9,"7883",10795,406834,"7701",10795,406834,"33012,387",false
10,"7995",10795,406834,"7645",10795,406834,"58382,599",false
11,"9075",10795,406834,"7902",10795,406834,"54029,161",false
12,"8054",10795,406834,"8054",10795,406834,"54573,808",false
13,"10703",10795,406834,"8046",10795,406834,"34453,72",false
14,"7876",10795,406834,"7876",10795,406834,"54522,833",false
15,"7930",10795,406834,"7930",10795,406834,"54003,193",false
16,"7905",10795,406834,"7905",10795,406834,"31336,373",false
17,"8036",10795,406834,"8036",10795,406834,"34345,434",false
18,"8153",10795,406834,"7830",10795,406839,"34812,823",true
18,"8153",10795,406834,"7830",10795,406839,"34812,823",true
20,"7886",10795,406834,"7886",10795,406834,"50371,817",false
21,"7871",10795,406834,"7530",10795,406834,"31094,542",false
22,"7857",10795,406834,"7857",10795,406834,"53569,784",false
23,"10496",10795,406834,"8054",10795,406834,"34933,023",false
24,"7857",10795,406834,"7857",10795,406834,"35001,893",false
25,"7867",10795,406834,"7867",10795,406834,"33639,499",false
26,"7959",10795,406834,"7959",10795,406834,"54821,923",false
27,"11296",10795,406834,"11296",10795,406834,"53635,952",false
28,"7989",10795,406834,"7989",10795,406834,"34795,142",false
29,"9364",10795,406834,"9364",10795,406834,"52976,441",false
29,"9364",10795,406834,"9364",10795,406834,"52976,441",false
31,"7713",10795,406834,"7713",10795,406834,"35216,627",false
32,"8383",10795,406834,"8383",10795,406834,"50143,557",false
33,"7634",10795,406834,"7634",10795,406834,"30901,015",false
34,"7823",10795,406834,"7675",10795,406834,"31452,706",false
35,"8339",10795,406834,"8339",10795,406834,"34742,955",false
36,"107799",10795,406834,"7576",10795,406834,"31563,986",false
37,"21226",10795,406834,"7932",10795,406834,"53502,279",false
38,"7988",10795,406834,"7988",10795,406834,"34480,352",false
39,"32578",10795,406834,"7728",10795,406834,"30209,919",false
40,"10860",10795,406834,"7976",10795,406779,"34992,37",true
41,"8059",10795,406834,"8059",10795,406834,"34082,298",false
42,"180707",10795,406834,"7767",10795,406834,"54415,937",false
43,"9386",10795,406834,"8065",10795,406834,"34488,751",false
44,"9491",10795,406834,"8153",10767,405557,"34633,714",true
45,"113033",10795,406834,"7727",10795,406708,"53678,757",true
46,"21432",10795,406834,"21432",10795,406834,"49292,214",false
47,"7930",10795,406834,"7669",10795,406834,"31020,847",false
48,"232323",10795,406834,"8822",10795,406834,"54472,017",false
49,"43670",10795,406834,"7607",10795,406834,"53272,804",false
50,"7823",10795,406834,"7584",10795,406834,"30986,878",false
51,"8048",10795,406834,"8048",10795,406834,"34082,09",false
52,"275689",10795,406834,"7944",10795,406834,"50922,214",false
53,"8249",10795,406834,"8249",10795,406834,"34536,99",false
54,"11459",10795,406834,"8320",10795,406834,"34735,209",false
55,"160942",10795,406834,"7647",10795,406834,"52069,935",false
56,"8271",10795,406834,"7679",10795,406825,"35054,6",true
57,"239386",10795,406834,"50264",10795,406834,"52430,85",false
58,"9124",10795,406834,"7733",10795,406834,"30504,037",false
59,"292025",10795,406834,"7518",10795,406833,"54843,223",true
