trial;originalIndividualAvgTime;originalIndividualLOC;originalIndividualCharacters;bestIndividualAvgTime;bestIndividualLOC;bestIndividualCharacters;time;better
0;7710;10795;406834;7710;10795;406834;1608,476;false
1;7750;10795;406834;7750;10795;406834;1673,492;false
2;7838;10795;406834;7838;10795;406834;1671,678;false
3;7909;10795;406834;7909;10795;406834;1707,007;false
4;7835;10795;406834;7835;10795;406834;1760,321;false
5;7830;10795;406834;7830;10795;406834;1791,966;false
6;8200;10795;406834;8200;10795;406834;1784,758;false
7;8183;10795;406834;8158;10795;406814;1843,039;true
8;8570;10795;406834;8031;10794;406786;1812,038;true
9;7940;10795;406834;7940;10795;406834;1849,348;false
10;7849;10795;406834;7849;10795;406834;1897,078;false
11;8528;10795;406834;8176;10795;406801;1914,661;true
12;7973;10795;406834;7973;10795;406834;1928,038;false
13;9579;10795;406834;8257;10795;406811;1966,157;true
14;7922;10795;406834;7922;10795;406834;1963,31;false
15;7957;10795;406834;7957;10795;406834;1934,584;false
16;7888;10795;406834;7888;10795;406834;1940,186;false
17;7896;10795;406834;7896;10795;406834;1981,33;false
18;7996;10795;406834;7996;10795;406834;2035,672;false
19;8160;10795;406834;8160;10795;406834;2075,194;false
20;7966;10795;406834;7966;10795;406834;2034,614;false
21;8050;10795;406834;8050;10795;406834;2034,011;false
22;7950;10795;406834;7950;10795;406834;2032,216;false
23;7961;10795;406834;7961;10795;406834;2058,858;false
24;8038;10795;406834;8038;10795;406834;2134,715;false
25;8208;10795;406834;8208;10795;406834;2137,361;false
26;8021;10795;406834;8021;10795;406834;2191,045;false
27;8150;10795;406834;8150;10795;406834;2154,33;false
28;8245;10795;406834;8245;10795;406834;2205,185;false
29;7639;10795;406834;7512;10772;405901;1587,536;true
30;13617;10795;406834;7583;10761;405613;1727,192;true
31;8290;10795;406834;7733;10794;406764;1724,137;true
32;11196;10795;406834;7570;10775;405904;1737,507;true
33;8732;10795;406834;7619;10764;405493;1681,867;true
34;8080;10795;406834;7686;10793;406719;1879,805;true
35;11924;10795;406834;7739;10775;405903;1792,433;true
36;7758;10795;406834;7621;10795;406779;1929,136;true
37;14179;10795;406834;7758;10795;406777;1739,786;true
38;13852;10795;406834;7600;10751;405164;1757,683;true
39;11427;10795;406834;7672;10762;405466;1760,426;true
40;9889;10795;406834;7659;10762;405466;1751,844;true
41;7665;10795;406834;7665;10795;406834;2184,446;false
42;7692;10795;406834;7692;10795;406834;2263,008;false
43;7722;10795;406834;7722;10795;406834;2260,44;false
44;7776;10795;406834;7776;10795;406834;2321,135;false
45;7778;10795;406834;7778;10795;406834;2303,154;false
46;7784;10795;406834;7784;10795;406834;2345,148;false
47;7770;10795;406834;7770;10795;406834;2296,01;false
48;7914;10795;406834;7914;10795;406834;2359,986;false
49;7942;10795;406834;7781;10795;406809;2294,742;true
50;8323;10795;406834;8031;10795;406779;2249,856;true
51;8583;10795;406834;7808;10790;406649;2180,916;true
52;12246;10795;406834;8095;10788;406488;1938,831;true
53;14086;10795;406834;8110;10795;406779;2337,765;true
54;7944;10795;406834;7944;10795;406834;2855,268;false
55;7944;10795;406834;7944;10795;406834;2855,268;false
56;7944;10795;406834;7944;10795;406834;2855,268;false
57;7944;10795;406834;7944;10795;406834;2855,268;false
58;7944;10795;406834;7944;10795;406834;2855,268;false
59;7944;10795;406834;7944;10795;406834;2855,268;false
