trial;originalIndividualAvgTime;originalIndividualLOC;originalIndividualCharacters;bestIndividualAvgTime;bestIndividualLOC;bestIndividualCharacters;time;better
0;62360;10795;406834;8321;10781;406125;21886,884;true
1;82936;10795;406834;8173;10724;404499;31148,16;true
2;67515;10795;406834;7650;10722;403959;22987,707;true
3;12700;10795;406834;7772;10794;406807;21273,381;true
4;51219;10795;406834;7644;10759;405685;23488,958;true
5;47807;10795;406834;8704;10786;406500;21485,769;true
6;59750;10795;406834;7619;10775;406018;22577,275;true
7;41207;10795;406834;7657;10748;405205;23721,56;true
8;13319;10795;406834;7653;10786;406464;21233,554;true
9;32029;10795;406834;7548;10754;405481;23753,513;true
10;29736;10795;406834;8057;10793;406748;21574,553;true
11;49662;10795;406834;7648;10775;406108;23479,09;true
12;45974;10795;406834;7635;10775;406028;22736,382;true
13;12792;10795;406834;8013;10775;406045;21611,631;true
14;29732;10795;406834;7704;10761;405748;23703,676;true
15;21971;10795;406834;7680;10746;404976;23178,619;true
16;42915;10795;406834;7666;10751;405177;23683,235;true
17;41465;10795;406834;7698;10755;405367;22961,854;true
18;27247;10795;406834;7630;10743;405430;23439,148;true
19;24184;10795;406834;9254;10795;406810;21915,84;true
20;13324;10795;406834;8960;10776;406194;21117,168;true
21;35746;10795;406834;7675;10786;406523;23239,599;true
22;38741;10795;406834;9013;10758;405632;21709,498;true
23;39177;10795;406834;7565;10754;405724;23579,191;true
24;25895;10795;406834;7636;10751;405429;22794,575;true
25;40421;10795;406834;7661;10765;405822;23727,275;true
26;89568;10795;406834;7641;10755;405355;23153,545;true
27;38305;10795;406834;7576;10739;405162;23890,091;true
28;54437;10795;406834;7720;10737;404570;23371,616;true
29;33593;10795;406834;7705;10773;406127;22082,065;true
30;51850;10795;406834;7706;10793;406626;24776,973;true
31;39094;10795;406834;7613;10735;405214;23757,915;true
32;12908;10795;406834;9450;10784;406355;21579,064;true
33;39479;10795;406834;7660;10791;406557;23551,423;true
34;34698;10795;406834;7734;10719;404348;21874,616;true
35;41164;10795;406834;7656;10740;405231;23354,39;true
36;37036;10795;406834;7687;10776;405996;23543,648;true
37;39087;10795;406834;7764;10762;405380;22087,003;true
38;13293;10795;406834;7646;10777;406225;21434,072;true
39;54447;10795;406834;7627;10750;405405;23014,312;true
40;39399;10795;406834;7765;10785;406441;22216,832;true
41;64421;10795;406834;7687;10670;401918;23475,486;true
42;82919;10795;406834;7723;10618;399488;23128,154;true
43;13080;10795;406834;8120;10794;406812;21689,764;true
44;72390;10795;406834;7549;10713;403770;23836,185;true
45;21971;10795;406834;7680;10746;404976;23178,619;true
46;12966;10795;406834;8659;10766;405528;21431,684;true
47;54193;10795;406834;7591;10783;406382;22933,034;true
48;35036;10795;406834;7647;10741;404554;21954,725;true
49;64449;10795;406834;7646;10745;404765;23562,859;true
50;94258;10795;406834;7715;10692;403518;22389,056;true
51;14031;10795;406834;7798;10795;406822;21744,519;true
52;69856;10795;406834;7613;10783;406400;23256,261;true
53;41644;10795;406834;7682;10786;406458;22442,838;true
54;63676;10795;406834;7639;10769;405813;23449,953;true
55;40421;10795;406834;7661;10765;405822;23727,275;true
56;13479;10795;406834;7892;10771;406145;21431,586;true
57;36182;10795;406834;8510;10773;406038;22307,038;true
58;94267;10795;406834;7716;10694;403929;23073,011;true
59;24962;10795;406834;9186;10748;405062;22115,039;true
