Lib;Heuristic;Trial;Lines;% Improved Loc;Chars;% Improved Chars;Instructions;% Improved Instructions;Time Spent
lodash;Original;-;1;0;49636;0;61694;0;0
lodash;RD;0;1;0;49617;0.00038278668708195663;61670;0.0003890167601387493;0
lodash;RD;3;1;0;49630;0.00012088000644693368;61691;0.000048627095017343664;0
lodash;RD;5;1;0;49636;0;61694;0;0
lodash;RD;8;1;0;49636;0;61694;0;0
lodash;RD;12;1;0;49419;0.004371826899830768;61385;0.005008590786786398;0
lodash;RD;13;1;0;49636;0;61694;0;0
lodash;RD;15;1;0;49609;0.0005439600290112016;61630;0.0010373780270366648;0
lodash;RD;16;1;0;49558;0.0015714400838101378;61565;0.0020909650857457774;0
lodash;RD;17;1;0;49619;0.0003424933515996454;61672;0.00035659869679385354;0
lodash;RD;20;1;0;49626;0.00020146667741155613;61685;0.000145881285052031;0
lodash;RD;22;1;0;49617;0.00038278668708195663;61671;0.0003728077284663014;0
lodash;RD;24;1;0;49634;0.000040293335482311224;61691;0.000048627095017343664;0
lodash;RD;29;1;0;49608;0.0005641066967523572;61673;0.0003403896651214056;0
lodash;GA;18;1;0;49635;0.000020146667741155612;61697;0.000048627095017343664;0
lodash;GA;19;1;0;49635;0.000020146667741155612;61697;0.000048627095017343664;0
lodash;HC;29;1;0;49544;0.0018534934321863164;61581;0.0018316205789866114;0
