Lib;Heuristic;Trial;Lines;% Improved Loc;Chars;% Improved Chars;Instructions;% Improved Instructions;Time Spent
lodash;Original;-;1;0;49636;0;61694;0;0
lodash;RD;12;1;0;49419;0.004371826899830768;61385;0.005008590786786398;0
lodash;GA;18;1;0;49635;0.000020146667741155612;61697;0.000048627095017343664;0
lodash;GA2;N/A;1;0;49636;0;61694;0;0
lodash;HC;29;1;0;49544;0.0018534934321863164;61581;0.0018316205789866114;0
lodash;HC2;N/A;1;0;49636;0;61694;0;0
lodash;HC3;N/A;1;0;49636;0;61694;0;0
lodash;HC4;N/A;1;0;49636;0;61694;0;0
lodash;HC5;N/A;1;0;49636;0;61694;0;0
lodash;HC52;N/A;1;0;49636;0;61694;0;0
