sep=,
trial,originalIndividualAvgTime,originalIndividualLOC,originalIndividualCharacters,bestIndividualAvgTime,bestIndividualLOC,bestIndividualCharacters,time,better
0,"2463",193,6891,"2463",193,6891,"7016,778",false
1,"2964",193,6891,"2964",193,6891,"7110,472",false
2,"2617",193,6891,"2617",193,6891,"6998,96",false
3,"2226",193,6891,"2226",193,6891,"7124,121",false
4,"1838",193,6891,"1838",193,6891,"6675,637",false
5,"2453",193,6891,"2453",193,6891,"6938,741",false
6,"2785",193,6891,"2785",193,6891,"7121,926",false
7,"1942",193,6891,"1942",193,6891,"6684,065",false
8,"2548",193,6891,"2548",193,6891,"7080,998",false
9,"2014",193,6891,"2014",193,6891,"6393,68",false
10,"2054",193,6891,"2054",193,6891,"7152,515",false
11,"1950",193,6891,"1950",193,6891,"6862,418",false
12,"2472",193,6891,"2472",193,6891,"6425,534",false
13,"2142",193,6891,"2142",193,6891,"7176,403",false
14,"2013",193,6891,"2013",193,6891,"6359,996",false
15,"2244",193,6891,"2244",193,6891,"6400,082",false
16,"2122",193,6891,"2122",193,6891,"6744,748",false
17,"2051",193,6891,"2051",193,6891,"8040,279",false
18,"2295",193,6891,"2295",193,6891,"7852,775",false
19,"2642",193,6891,"2642",193,6891,"6704,333",false
20,"2216",193,6891,"2216",193,6891,"6422,341",false
21,"5314",193,6891,"5314",193,6891,"7087,528",false
22,"1999",193,6891,"1999",193,6891,"6347,517",false
23,"2325",193,6891,"2325",193,6891,"6532,098",false
24,"2070",193,6891,"2070",193,6891,"6959,824",false
25,"2061",193,6891,"2061",193,6891,"6406,902",false
26,"3199",193,6891,"3199",193,6891,"6947,147",false
27,"2347",193,6891,"2347",193,6891,"8589,296",false
28,"2383",193,6891,"2383",193,6891,"6523,325",false
29,"2042",193,6891,"2042",193,6891,"6391,963",false
30,"2341",193,6891,"2189",193,6903,"7155,162",true
31,"2084",193,6891,"2084",193,6891,"6640,947",false
32,"2275",193,6891,"2275",193,6891,"6607,663",false
33,"2102",193,6891,"2102",193,6891,"7192,246",false
34,"2015",193,6891,"2015",193,6891,"6286,177",false
35,"4357",193,6891,"4357",193,6891,"6444,341",false
36,"2116",193,6891,"2116",193,6891,"6779,79",false
37,"2004",193,6891,"2004",193,6891,"6319,801",false
38,"3810",193,6891,"3810",193,6891,"7075,975",false
39,"2167",193,6891,"2167",193,6891,"6870,803",false
40,"2094",193,6891,"2094",193,6891,"6386,467",false
41,"8714",193,6891,"8714",193,6891,"7142,826",false
42,"2173",193,6891,"2173",193,6891,"5982,589",false
43,"4315",193,6891,"4315",193,6891,"6565,66",false
44,"7266",193,6891,"3067",193,6891,"6822,541",false
45,"2180",193,6891,"2180",193,6891,"6661,884",false
46,"2229",193,6891,"2229",193,6891,"7074,5",false
47,"2380",193,6891,"2380",193,6891,"9410,024",false
48,"2385",193,6891,"2385",193,6891,"6911,332",false
49,"2042",193,6891,"2042",193,6891,"6315,975",false
50,"2838",193,6891,"2838",193,6891,"7237,742",false
51,"2178",193,6891,"2178",193,6891,"6828,688",false
52,"1965",193,6891,"1965",193,6891,"6650,304",false
53,"2498",193,6891,"2498",193,6891,"7136,477",false
54,"2087",193,6891,"2087",193,6891,"6482,359",false
55,"2208",193,6891,"2208",193,6891,"6608,901",false
56,"2174",193,6891,"2174",193,6891,"6792,923",false
57,"2087",193,6891,"2087",193,6891,"6408,462",false
58,"4886",193,6891,"4886",193,6891,"7200,929",false
59,"2146",193,6891,"2146",193,6891,"6767,501",false
