trial;originalIndividualAvgTime;originalIndividualLOC;originalIndividualCharacters;bestIndividualAvgTime;bestIndividualLOC;bestIndividualCharacters;time;better
0;1955;193;6891;1955;193;6891;33,544;false
1;1687;193;6891;1687;193;6891;17,497;false
2;1687;193;6891;1687;193;6891;20,518;false
3;1687;193;6891;1687;193;6891;19,623;false
4;1691;193;6891;1691;193;6891;17,539;false
5;1702;193;6891;1702;193;6891;17,435;false
6;1695;193;6891;1695;193;6891;20,479;false
7;1694;193;6891;1694;193;6891;18,427;false
8;1705;193;6891;1705;193;6891;19,626;false
9;1689;193;6891;1689;193;6891;18,427;false
10;1690;193;6891;1690;193;6891;21,874;false
11;1688;193;6891;1688;193;6891;25,804;false
12;1713;193;6891;1713;193;6891;24,025;false
13;1713;193;6891;1713;193;6891;82,89;false
14;1688;193;6891;1688;193;6891;21,6;false
15;1689;193;6891;1689;193;6891;18,455;false
16;1721;193;6891;1721;193;6891;19,766;false
17;1693;193;6891;1693;193;6891;21,58;false
18;1702;193;6891;1702;193;6891;22,489;false
19;1711;193;6891;1711;193;6891;17,433;false
20;1694;193;6891;1694;193;6891;21,797;false
21;1694;193;6891;1694;193;6891;19,459;false
22;2138;193;6891;1950;193;6886;19,793;true
23;1692;193;6891;1692;193;6891;18,423;false
24;1709;193;6891;1709;193;6891;22,086;false
25;1694;193;6891;1694;193;6891;21,911;false
26;1692;193;6891;1692;193;6891;19,498;false
27;1696;193;6891;1696;193;6891;19,434;false
28;1689;193;6891;1689;193;6891;20,422;false
29;1696;193;6891;1696;193;6891;22,559;false
30;1717;193;6891;1717;193;6891;20,996;false
31;1696;193;6891;1696;193;6891;20,624;false
32;1706;193;6891;1706;193;6891;19,466;false
33;1694;193;6891;1694;193;6891;19,467;false
34;1695;193;6891;1695;193;6891;20,459;false
35;1688;193;6891;1688;193;6891;20,482;false
36;1695;193;6891;1695;193;6891;21,47;false
37;1702;193;6891;1702;193;6891;19,621;false
38;1700;193;6891;1700;193;6891;20,815;false
39;1693;193;6891;1693;193;6891;20,786;false
40;1702;193;6891;1702;193;6891;20,556;false
41;1689;193;6891;1689;193;6891;21,03;false
42;1690;193;6891;1690;193;6891;20,462;false
43;1702;193;6891;1702;193;6891;20,668;false
44;1696;193;6891;1696;193;6891;20,823;false
45;1695;193;6891;1695;193;6891;19,738;false
46;1692;193;6891;1692;193;6891;20,496;false
47;1700;193;6891;1700;193;6891;20,592;false
48;1700;193;6891;1700;193;6891;20,519;false
49;1693;193;6891;1693;193;6891;20,494;false
50;1721;193;6891;1721;193;6891;20,676;false
51;1713;193;6891;1713;193;6891;20,525;false
52;1701;193;6891;1701;193;6891;20,537;false
53;1697;193;6891;1697;193;6891;21,505;false
54;1707;193;6891;1707;193;6891;20,455;false
55;1689;193;6891;1689;193;6891;20,864;false
56;1704;193;6891;1704;193;6891;20,897;false
57;1698;193;6891;1698;193;6891;20,484;false
58;2195;193;6891;1999;193;6886;20,912;true
59;1714;193;6891;1714;193;6891;21,469;false
