trial;originalIndividualAvgTime;originalIndividualLOC;originalIndividualCharacters;bestIndividualAvgTime;bestIndividualLOC;bestIndividualCharacters;time;better
0;1983;193;6891;1983;193;6891;1841,63;false
1;2250;193;6891;2250;193;6891;2524,159;false
2;2270;193;6891;2270;193;6891;2298,906;false
3;2269;193;6891;2269;193;6891;2588,859;false
4;2397;193;6891;2397;193;6891;2767,342;false
5;2376;193;6891;2376;193;6891;2851,168;false
6;2530;193;6891;2530;193;6891;3039,692;false
7;2574;193;6891;2545;193;6886;3281,356;true
8;2602;193;6891;2602;193;6891;3433,761;false
9;2712;193;6891;2712;193;6891;3698,6;false
10;2855;193;6891;2855;193;6891;3661,313;false
11;2548;193;6891;2548;193;6891;3904,799;false
12;3334;193;6891;3334;193;6891;4206,357;false
13;3127;193;6891;3127;193;6891;4116,469;false
14;3297;193;6891;3297;193;6891;4419,183;false
15;3127;193;6891;3127;193;6891;4804,608;false
16;2362;193;6891;2028;193;6881;3552,807;true
17;2470;193;6891;2003;192;6861;2868,036;true
18;2802;193;6891;2059;192;6856;4074,518;true
19;4292;193;6891;2256;193;6881;3541,67;true
20;3062;193;6891;2176;193;6880;3791,324;true
21;2313;193;6891;2151;193;6886;3378,473;true
22;4734;193;6891;2181;192;6856;4176,525;true
23;2176;193;6891;2176;193;6891;4189,116;false
24;2546;193;6891;2351;193;6881;4373,529;true
25;2374;193;6891;2273;193;6886;4715,734;true
26;3466;193;6891;2951;191;6805;5213,178;true
27;2339;193;6891;2339;193;6891;4870,94;false
28;2323;193;6891;2323;193;6891;5921,178;false
29;3056;193;6891;2772;193;6881;5204,806;true
30;2982;193;6891;2982;193;6891;4908,006;false
31;2654;193;6891;2654;193;6891;6016,585;false
32;3576;193;6891;3241;193;6886;5508,689;true
33;3978;193;6891;3874;193;6888;7006,739;true
34;4312;193;6891;4312;193;6891;6961,417;false
35;3819;193;6891;3819;193;6891;7510,297;false
36;3576;193;6891;3241;193;6886;5508,689;true
37;3962;193;6891;3962;193;6891;7357,245;false
38;1815;193;6891;1717;192;6830;2078,557;true
39;3064;193;6891;1745;192;6830;1878,919;true
40;1746;193;6891;1722;193;6876;1837,128;true
41;1712;193;6891;1712;193;6891;2274,373;false
42;1802;193;6891;1703;193;6888;2040,474;true
43;3228;193;6891;1835;193;6861;2028,834;true
44;1791;193;6891;1791;193;6891;1879,584;false
45;1800;193;6891;1793;193;6886;1894,303;true
46;1835;193;6891;1761;192;6846;1857,427;true
47;1796;193;6891;1708;193;6871;1668,73;true
48;1694;193;6891;1694;193;6891;1725,578;false
49;1731;193;6891;1706;193;6876;1683,54;true
50;1698;193;6891;1698;193;6891;1819,85;false
51;1711;193;6891;1711;193;6891;1564,959;false
52;1688;193;6891;1688;193;6891;1710,797;false
53;1687;193;6891;1687;193;6891;1690,85;false
54;1705;193;6891;1700;193;6881;1707,419;true
55;1709;193;6891;1709;193;6891;1683,225;false
56;1718;193;6891;1718;193;6891;1812,783;false
57;1723;193;6891;1701;192;6861;1710,165;true
58;1731;193;6891;1709;193;6878;1630,203;true
59;1696;193;6891;1696;193;6891;1785,109;false
